Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetBuy
1,2324 仁寶,47.05,+ 2.70,+6.09%,"400,805","177,995","222,810"
2,1314 中石化,8.08,+ 0.55,+7.30%,"180,153","70,160","109,994"
3,00403A主動統一升級50,10.79,+ 0.09,+0.84%,"603,168","506,805","96,363"
4,2353 宏碁,43.40,+ 0.85,+2.00%,"302,714","217,599","85,114"
5,1605 華新,42.70,+ 2.25,+5.56%,"148,416","81,788","66,628"
6,2344 華邦電,177.50,-7.00,-3.79%,"332,157","270,430","61,727"
7,2834 臺企銀,16.85,+ 0.55,+3.37%,"90,845","29,840","61,005"
8,1504 東元,83.00,+ 7.50,+9.93%,"95,894","43,493","52,401"
9,2371 大同,31.65,+ 1.80,+6.03%,"67,766","18,002","49,764"
10,2887 台新新光金,28.30,+ 2.20,+8.43%,"303,603","254,724","48,879"
11,2489 瑞軒,50.10,+ 2.30,+4.81%,"76,507","31,703","44,803"
12,2002 中鋼,19.40,+ 0.45,+2.37%,"111,693","70,796","40,897"
13,2890 永豐金,33.00,+ 2.00,+6.45%,"93,687","53,361","40,326"
14,1714 和桐,11.00,+ 1.00,+10.00%,"48,728","8,892","39,836"
15,2323 中環,12.75,+ 1.15,+9.91%,"72,297","33,225","39,072"
16,1513 中興電,184.50,+ 16.50,+9.82%,"45,938","8,755","37,183"
17,1809 中釉,56.20,+ 3.60,+6.84%,"44,368","7,762","36,606"
18,2317 鴻海,309.00,+ 7.50,+2.49%,"149,621","113,076","36,544"
19,1528 恩德,30.70,+ 0.65,+2.16%,"48,919","14,185","34,734"
20,2312 金寶,43.40,+ 2.10,+5.08%,"167,087","135,198","31,889"
21,3706 神達,100.00,+ 4.80,+5.04%,"99,764","68,634","31,130"
22,3059 華晶科,50.60,-0.40,-0.78%,"45,397","14,609","30,789"
23,6005 群益證,44.70,+ 3.45,+8.36%,"46,972","21,818","25,154"
24,009819中信數據及電力,11.55,+ 0.50,+4.52%,"48,912","23,927","24,985"
25,3042 晶技,217.50,+ 7.50,+3.57%,"48,213","23,254","24,959"
26,2474 可成,257.00,+ 11.50,+4.68%,"45,227","21,180","24,047"
27,2349 錸德,16.15,+ 1.45,+9.86%,"36,104","12,360","23,744"
28,2892 第一金,29.00,+ 0.85,+3.02%,"81,559","57,902","23,657"
29,3049 精金,15.80,+ 1.40,+9.72%,"55,989","32,371","23,618"
30,2484 希華,54.50,+ 2.60,+5.01%,"35,454","12,712","22,743"
31,2867 三商壽,8.00,+ 0.21,+2.70%,"42,224","20,131","22,093"
32,1609 大亞,42.15,+ 3.80,+9.91%,"31,492","10,699","20,793"
33,1710 東聯,16.00,+ 1.45,+9.97%,"34,746","13,981","20,765"
34,00997A主動群益美國增長,14.02,+ 0.76,+5.73%,"38,154","19,241","18,913"
35,1514 亞力,136.00,+ 12.00,+9.68%,"22,381","4,659","17,722"
36,00988A主動統一全球創新,22.66,+ 0.96,+4.42%,"132,309","115,220","17,089"
37,1708 東鹼,43.35,+ 3.90,+9.89%,"20,427","3,566","16,861"
38,1608 華榮,39.40,+ 3.55,+9.90%,"32,966","16,323","16,643"
39,9933 中鼎,42.70,+ 3.35,+8.51%,"20,359","3,972","16,388"
40,2885 元大金,63.70,+ 4.10,+6.88%,"45,089","30,837","14,252"
41,2891 中信金,70.50,+ 6.40,+9.98%,"84,077","70,382","13,695"
42,3149 正達,90.80,+ 4.70,+5.46%,"50,509","37,608","12,901"
43,1101 台泥,24.85,+ 0.20,+0.81%,"45,323","33,068","12,255"
44,2801 彰銀,21.10,+ 0.50,+2.43%,"49,123","36,953","12,170"
45,2402 毅嘉,69.70,+ 1.00,+1.46%,"18,391","6,690","11,701"
46,2009 第一銅,45.20,+ 4.10,+9.98%,"15,999","4,651","11,349"
47,2342 茂矽,44.65,+ 4.05,+9.98%,"15,955","4,795","11,160"
48,2601 益航,6.40,+ 0.07,+1.11%,"17,417","6,290","11,126"
49,00673R期元大S＆P原油反1,12.12,-0.48,-3.81%,"25,653","14,830","10,823"
50,6191 精成科,100.50,+ 3.50,+3.61%,"15,277","4,532","10,745"
