Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetBuy
1,2383 台光電,"4,890.00",+ 195.00,+4.15%,"18,481,738","27,915,409","-9,433,671"
2,6213 聯茂,505.00,+ 10.00,+2.02%,"11,506,038","19,141,613","-7,635,575"
3,2455 全新,556.00,+ 22.00,+4.12%,"10,896,104","15,704,152","-4,808,047"
4,2481 強茂,168.50,+ 5.50,+3.37%,"6,710,672","11,172,832","-4,462,159"
5,3406 玉晶光,972.00,+ 7.00,+0.73%,"7,813,006","10,564,808","-2,751,801"
6,3450 聯鈞,538.00,+ 13.00,+2.48%,"6,185,418","8,838,960","-2,653,541"
7,00406A主動中信台灣收益,9.59,+ 0.28,+3.01%,"1,929,954","4,517,402","-2,587,447"
8,2368 金像電,"1,020.00",+ 70.00,+7.37%,"11,134,142","13,642,667","-2,508,524"
9,1303 南亞,238.00,+ 2.00,+0.85%,"19,568,217","21,857,692","-2,289,474"
10,3026 禾伸堂,797.00,+ 37.00,+4.87%,"8,191,140","10,445,240","-2,254,100"
11,6669 緯穎,"2,140.00",+ 5.00,+0.23%,"10,373,767","12,533,367","-2,159,599"
12,2489 瑞軒,44.15,+ 0.95,+2.20%,"3,483,126","5,339,343","-1,856,217"
13,3037 欣興,981.00,+ 41.00,+4.36%,"14,306,182","16,137,276","-1,831,094"
14,2492 華新科,309.50,+ 12.50,+4.21%,"4,756,120","6,562,759","-1,806,638"
15,2338 光罩,50.00,+ 1.20,+2.46%,"1,163,474","2,854,591","-1,691,117"
16,3016 嘉晶,116.50,+ 1.00,+0.87%,"1,356,009","2,860,470","-1,504,461"
17,00981A主動統一台股增長,29.07,+ 0.94,+3.34%,"4,181,081","5,611,346","-1,430,264"
18,3532 台勝科,447.50,+ 6.00,+1.36%,"3,023,160","4,298,870","-1,275,709"
19,6672 騰輝電子-KY,302.00,+ 8.50,+2.90%,"1,812,820","3,032,501","-1,219,681"
20,3036 文曄,205.50,+ 1.50,+0.74%,"2,614,548","3,816,223","-1,201,674"
21,6505 台塑化,86.50,+ 0.30,+0.35%,"2,011,707","3,094,484","-1,082,776"
22,2426 鼎元,102.00,+ 6.00,+6.25%,"5,129,486","6,143,212","-1,013,725"
23,8021 尖點,460.00,+ 10.00,+2.22%,"3,818,667","4,807,653","-988,986"
24,6706 惠特,149.50,+ 4.50,+3.10%,"894,979","1,848,508","-953,528"
25,8039 台虹,269.50,+ 12.50,+4.86%,"5,017,054","5,906,949","-889,894"
26,2354 鴻準,65.70,-0.60,-0.90%,"947,615","1,682,480","-734,865"
27,6442 光聖,"1,575.00",+ 65.00,+4.30%,"2,920,801","3,652,547","-731,746"
28,3481 群創,48.25,-0.25,-0.52%,"6,233,620","6,900,169","-666,548"
29,2409 友達,30.35,+ 0.35,+1.17%,"10,471,885","11,123,300","-651,414"
30,6715 嘉基,433.00,+ 39.00,+9.90%,"1,910,039","2,458,077","-548,038"
31,2399 映泰,48.45,-0.55,-1.12%,"369,759","893,589","-523,829"
32,7795 長廣,487.00,+ 4.00,+0.83%,"572,352","1,076,252","-503,899"
33,4977 眾達-KY,175.00,+ 2.00,+1.16%,"597,018","1,070,945","-473,927"
34,009828中信台日韓PCB,9.34,+ 0.16,+1.74%,"378,527","803,838","-425,311"
35,2413 環科,53.10,0.00,0.00%,"505,252","928,644","-423,391"
36,3042 晶技,184.50,+ 6.00,+3.36%,"1,912,595","2,297,821","-385,225"
37,0056 元大高股息,56.85,+ 0.55,+0.98%,"1,094,784","1,479,167","-384,382"
38,2379 瑞昱,727.00,+ 12.00,+1.68%,"1,860,586","2,243,998","-383,412"
39,6271 同欣電,229.50,+ 4.50,+2.00%,"776,612","1,113,942","-337,329"
40,2801 彰銀,28.95,-0.65,-2.20%,"1,338,820","1,646,473","-307,653"
41,6531 愛普*,968.00,+ 48.00,+5.22%,"2,568,802","2,838,624","-269,821"
42,2371 大同,29.20,-0.50,-1.68%,"670,275","937,508","-267,232"
43,2302 麗正,44.40,+ 0.20,+0.45%,"161,698","426,704","-265,006"
44,2484 希華,70.40,+ 0.10,+0.14%,"291,288","553,585","-262,296"
45,3605 宏致,154.00,+ 14.00,+10.00%,"5,788,857","6,025,478","-236,621"
46,00712 復華富時不動產,7.97,-0.05,-0.62%,"893,587","1,115,699","-222,112"
47,3533 嘉澤,"1,585.00",+ 30.00,+1.93%,"1,100,242","1,320,990","-220,748"
48,8271 宇瞻,205.50,+ 1.50,+0.74%,"244,784","449,253","-204,469"
49,2634 漢翔,64.60,+ 0.70,+1.10%,"291,511","494,669","-203,158"
50,4764 雙鍵,204.50,+ 1.00,+0.49%,"135,654","324,359","-188,705"
