Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetSell
1,00406A主動中信台灣收益,9.84,+ 0.14,+1.44%,"721,769","2,527,978","-1,806,208"
2,00918 大華優利高填息30,34.10,-0.09,-0.26%,"236,488","1,272,075","-1,035,586"
3,00712 復華富時不動產,7.91,+ 0.04,+0.51%,"269,933","1,173,236","-903,302"
4,00919 群益台灣精選高息,32.16,-0.11,-0.34%,"283,909","1,081,795","-797,885"
5,009828中信台日韓PCB,9.65,+ 0.25,+2.66%,"197,370","619,072","-421,702"
6,00673R期元大S＆P原油反1,10.45,0.00,0.00%,"228,778","616,553","-387,774"
7,00961 FT臺灣永續高息,13.26,-0.03,-0.23%,"108,690","384,574","-275,884"
8,00953B群益優選非投等債,9.55,0.00,0.00%,"251,219","490,576","-239,356"
9,00632R元大台灣50反1,9.52,-0.03,-0.31%,"850,225","1,067,835","-217,610"
10,00929 復華台灣科技優息,29.13,+ 0.07,+0.24%,"171,215","348,861","-177,645"
11,00984D主動聯博全球非投,9.86,-0.01,-0.10%,"120,080","286,721","-166,640"
12,009826貝萊德世界股票,10.10,+ 0.08,+0.80%,"88,724","208,926","-120,201"
13,2324 仁寶,37.05,-0.55,-1.46%,"239,155","359,302","-120,146"
14,00896 中信綠能及電動車,27.50,+ 0.05,+0.18%,"53,454","148,510","-95,055"
15,00404A主動聯博動能50,9.87,+ 0.07,+0.71%,"101,905","192,728","-90,823"
16,009803玉山市值動能50,21.57,+ 0.11,+0.51%,"43,481","117,704","-74,223"
17,2002 中鋼,18.65,0.00,0.00%,"156,562","226,681","-70,119"
18,2344 華邦電,171.00,-3.00,-1.72%,"562,001","630,525","-68,524"
19,1101 台泥,24.55,+ 0.40,+1.66%,"496,980","555,300","-58,319"
20,3231 緯創,180.50,-6.00,-3.22%,"260,926","311,810","-50,884"
21,009829大華韓國KOSPI50,10.97,+ 0.18,+1.67%,"172,894","222,483","-49,589"
22,6919 康霈*,82.60,-0.50,-0.60%,"72,206","118,223","-46,017"
23,00664R國泰臺灣加權反1,1.55,+ 0.01,+0.65%,"161,239","207,019","-45,780"
24,009827玉山未來全球算力,10.36,+ 0.16,+1.57%,"51,291","96,229","-44,937"
25,00985B群益ESG投等債0-5,10.09,-0.02,-0.20%,"78,960","121,890","-42,930"
26,8112 至上,82.20,-0.90,-1.08%,"20,647","62,201","-41,553"
27,00962 台新AI優息動能,15.07,-0.03,-0.20%,"25,761","66,531","-40,770"
28,2889 國票金,16.85,-0.05,-0.30%,"187,043","221,691","-34,648"
29,2634 漢翔,63.10,-0.60,-0.94%,"51,452","86,082","-34,630"
30,9904 寶成,24.60,-0.25,-1.01%,"89,728","120,864","-31,136"
31,1409 新纖,24.10,-0.35,-1.43%,"81,244","111,460","-30,215"
32,00830 國泰費城半導體,86.55,+ 1.75,+2.06%,"49,742","76,301","-26,559"
33,2301 光寶科,284.50,-4.00,-1.39%,"96,156","122,039","-25,882"
34,8039 台虹,262.50,-2.50,-0.94%,"60,660","86,519","-25,858"
35,6949 沛爾生醫*-創,50.80,-3.00,-5.58%,"48,028","71,895","-23,866"
36,00753L中信中國50正2,9.21,+ 0.26,+2.91%,"72,365","96,205","-23,840"
37,3706 神達,79.30,-0.50,-0.63%,"47,007","69,467","-22,459"
38,00930 永豐ESG低碳高息,24.81,+ 0.08,+0.32%,"17,326","39,220","-21,894"
39,3036 文曄,205.00,-1.50,-0.73%,"50,519","71,920","-21,401"
40,2408 南亞科,497.00,-19.00,-3.68%,"266,922","287,476","-20,553"
41,00410A主動永豐科技趨勢,12.25,+ 0.09,+0.74%,"75,467","95,791","-20,324"
42,009819中信數據及電力,9.78,+ 0.08,+0.82%,"31,125","51,131","-20,005"
43,2105 正新,30.00,-0.05,-0.17%,"29,058","48,903","-19,845"
44,009805台新美國電力基建,14.96,-0.02,-0.13%,"39,271","58,763","-19,491"
45,00708L期元大S＆P黃金正2,78.05,-1.05,-1.33%,"27,822","46,838","-19,015"
46,2426 鼎元,98.80,-1.00,-1.00%,"120,757","139,697","-18,939"
47,1714 和桐,16.10,+ 0.15,+0.94%,"64,665","83,402","-18,737"
48,2327 國巨*,571.00,+ 14.00,+2.51%,"138,290","156,815","-18,524"
49,5871 中租-KY,108.00,-2.50,-2.26%,"53,893","71,347","-17,453"
50,2489 瑞軒,41.95,-1.05,-2.44%,"88,544","105,570","-17,025"
