Rank,Stock,Price,Change,ChangePercent,NetBuy
1,00403A主動統一升級50,11.10,-0.28,-2.46%,"798,530"
2,2303 聯電,170.00,+ 10.00,+6.25%,"605,266"
3,2890 永豐金,39.80,0.00,0.00%,"288,399"
4,2002 中鋼,19.20,-0.30,-1.54%,"229,999"
5,2609 陽明,51.30,-1.00,-1.91%,"219,200"
6,00992A主動群益科技創新,18.95,-0.47,-2.42%,"200,635"
7,2834 臺企銀,17.65,+ 0.20,+1.15%,"188,230"
8,1303 南亞,154.50,+ 2.00,+1.31%,"183,211"
9,2882 國泰金,113.50,+ 0.50,+0.44%,"179,475"
10,1301 台塑,49.55,-2.85,-5.44%,"172,290"
11,2884 玉山金,35.80,0.00,0.00%,"162,546"
12,00878 國泰永續高股息,33.98,-0.14,-0.41%,"159,795"
13,2337 旺宏,172.00,-13.50,-7.28%,"145,992"
14,2892 第一金,32.45,+ 0.15,+0.46%,"142,753"
15,2801 彰銀,23.20,+ 0.35,+1.53%,"139,690"
16,2408 南亞科,454.50,-50.50,-10.00%,"135,558"
17,00981A主動統一台股增長,31.60,-0.63,-1.95%,"128,322"
18,2867 三商壽,8.72,+ 0.03,+0.35%,"115,361"
19,5880 合庫金,24.55,+ 0.10,+0.41%,"112,351"
20,2881 富邦金,137.50,-1.00,-0.72%,"109,462"
21,2449 京元電子,329.50,-9.50,-2.80%,"107,548"
22,2610 華航,22.30,+ 0.50,+2.29%,"101,637"
23,2027 大成鋼,40.00,-1.10,-2.68%,"90,395"
24,2885 元大金,68.30,-0.50,-0.73%,"89,965"
25,00982A主動群益台灣強棒,24.79,-0.66,-2.59%,"84,027"
26,00891 中信關鍵半導體,38.70,-0.41,-1.05%,"78,331"
27,1326 台化,53.10,-3.10,-5.52%,"77,325"
28,3702 大聯大,108.00,-4.50,-4.00%,"74,982"
29,00999A主動野村臺灣高息,11.20,-0.23,-2.01%,"68,677"
30,0056 元大高股息,53.60,-0.45,-0.83%,"60,541"
31,6005 群益證,39.75,-0.05,-0.13%,"53,007"
32,1605 華新,37.80,-2.95,-7.24%,"49,290"
33,3036 文曄,220.50,-4.50,-2.00%,"48,191"
34,2897 王道銀行,10.65,+ 0.10,+0.95%,"45,487"
35,00919 群益台灣精選高息,30.58,-0.22,-0.71%,"44,567"
36,00940 元大台灣價值高息,12.69,-0.14,-1.09%,"42,226"
37,2891 中信金,72.40,+ 1.90,+2.70%,"40,857"
38,1314 中石化,7.85,-0.19,-2.36%,"37,825"
39,2317 鴻海,259.50,-9.00,-3.35%,"37,665"
40,00900 富邦特選高股息30,19.79,-0.06,-0.30%,"36,587"
41,6176 瑞儀,90.00,-0.20,-0.22%,"36,400"
42,2637 慧洋-KY,76.80,-0.30,-0.39%,"36,221"
43,00400A主動國泰動能高息,15.17,-0.40,-2.57%,"33,459"
44,2845 遠東銀,13.10,+ 0.25,+1.95%,"33,047"
45,00953B群益優選非投等債,9.63,0.00,0.00%,"32,739"
46,8070 長華*,58.60,+ 1.70,+2.99%,"32,169"
47,00983A主動中信ARK創新,11.79,-0.26,-2.16%,"30,988"
48,00993A主動安聯台灣,14.29,-0.35,-2.39%,"30,422"
49,6213 聯茂,281.00,-27.00,-8.77%,"29,811"
50,00939 統一台灣高息動能,21.82,-0.14,-0.64%,"29,706"
