Rank,Stock,Price,Change,ChangePercent,NetBuy
1,2609 陽明,63.60,-0.90,-1.40%,"159,445"
2,2886 兆豐金,47.00,+ 0.15,+0.32%,"76,458"
3,2892 第一金,33.80,+ 0.25,+0.75%,"62,904"
4,2615 萬海,126.50,+ 2.00,+1.61%,"52,647"
5,1216 統一,77.90,+ 0.50,+0.65%,"51,809"
6,2603 長榮,246.00,-4.50,-1.80%,"47,110"
7,3045 台灣大,115.50,+ 0.50,+0.43%,"44,381"
8,2002 中鋼,19.05,-0.15,-0.78%,"39,656"
9,2303 聯電,125.00,+ 1.50,+1.21%,"35,883"
10,2883 凱基金,31.70,+ 0.70,+2.26%,"35,240"
11,2881 富邦金,141.50,+ 9.50,+7.20%,"35,165"
12,1102 亞泥,34.90,+ 0.10,+0.29%,"34,658"
13,1402 遠東新,29.00,-0.45,-1.53%,"30,370"
14,2618 長榮航,42.20,-0.45,-1.06%,"27,248"
15,2344 華邦電,179.00,+ 2.00,+1.13%,"26,924"
16,00991A主動復華未來50,17.63,+ 0.18,+1.03%,"21,758"
17,2606 裕民,78.00,+ 5.70,+7.88%,"20,672"
18,2426 鼎元,90.80,+ 8.20,+9.93%,"18,640"
19,1101 台泥,24.60,-0.10,-0.40%,"18,004"
20,009821野村稀土關鍵資源,15.71,+ 0.02,+0.13%,"17,997"
21,2542 興富發,47.50,-0.80,-1.66%,"15,480"
22,2882 國泰金,103.00,+ 4.10,+4.15%,"14,231"
23,2637 慧洋-KY,95.50,-1.60,-1.65%,"14,210"
24,5871 中租-KY,115.00,-0.50,-0.43%,"13,841"
25,2027 大成鋼,50.60,-0.40,-0.78%,"13,124"
26,2610 華航,20.40,-0.10,-0.49%,"12,233"
27,2880 華南金,39.80,+ 0.55,+1.40%,"11,300"
28,00997A主動群益美國增長,11.04,-0.05,-0.45%,"10,714"
29,9904 寶成,25.10,+ 0.05,+0.20%,"10,299"
30,2903 遠百,22.65,-0.15,-0.66%,"10,160"
31,00632R元大台灣50反1,10.16,-0.07,-0.68%,"9,882"
32,2105 正新,31.35,-0.10,-0.32%,"9,320"
33,2515 中工,12.00,0.00,0.00%,"8,716"
34,4904 遠傳,102.50,+ 1.00,+0.99%,"8,662"
35,3037 欣興,"1,095.00",+ 20.00,+1.86%,"8,605"
36,3532 台勝科,378.00,+ 1.50,+0.40%,"8,369"
37,2353 宏碁,31.05,-0.05,-0.16%,"8,338"
38,2812 台中銀,18.95,-0.10,-0.52%,"7,692"
39,00878 國泰永續高股息,32.64,+ 0.21,+0.65%,"7,275"
40,5876 上海商銀,43.75,+ 0.35,+0.81%,"7,139"
41,2646 星宇航空,21.10,-0.20,-0.94%,"6,905"
42,1605 華新,38.45,+ 0.35,+0.92%,"6,724"
43,3711 日月光投控,591.00,-1.00,-0.17%,"6,716"
44,6213 聯茂,530.00,+ 47.50,+9.84%,"6,705"
45,2912 統一超,224.00,+ 0.50,+0.22%,"6,660"
46,2408 南亞科,510.00,+ 9.00,+1.80%,"6,641"
47,2451 創見,299.00,-17.00,-5.38%,"6,478"
48,3034 聯詠,555.00,+ 13.00,+2.40%,"6,038"
49,00982A主動群益台灣強棒,21.65,+ 0.23,+1.07%,"5,428"
50,8112 至上,94.00,-1.40,-1.47%,"5,316"
