Rank,Stock,Price,Change,ChangePercent,NetBuy
1,2303 聯電,164.00,0.00,0.00%,"552,797"
2,00403A主動統一升級50,10.62,+ 0.06,+0.57%,"512,120"
3,2002 中鋼,19.05,+ 0.05,+0.26%,"306,436"
4,2890 永豐金,39.50,+ 0.35,+0.89%,"235,803"
5,2834 臺企銀,17.80,+ 0.05,+0.28%,"222,415"
6,2887 台新新光金,33.00,+ 1.10,+3.45%,"220,389"
7,2610 華航,23.10,-0.10,-0.43%,"209,664"
8,1301 台塑,53.20,+ 1.00,+1.92%,"208,512"
9,2801 彰銀,23.55,+ 0.15,+0.64%,"201,112"
10,2609 陽明,51.40,+ 1.30,+2.59%,"190,515"
11,2892 第一金,33.00,+ 0.35,+1.07%,"174,328"
12,5880 合庫金,24.85,+ 0.15,+0.61%,"154,433"
13,2618 長榮航,43.90,+ 0.10,+0.23%,"110,358"
14,2867 三商壽,8.40,0.00,0.00%,"109,107"
15,00992A主動群益科技創新,17.80,-0.06,-0.34%,"107,507"
16,00981A主動統一台股增長,29.94,+ 0.03,+0.10%,"94,974"
17,2027 大成鋼,40.40,+ 0.50,+1.25%,"83,539"
18,2449 京元電子,308.50,+ 0.50,+0.16%,"72,056"
19,3702 大聯大,104.50,-2.00,-1.88%,"71,869"
20,2885 元大金,65.70,-0.60,-0.90%,"71,170"
21,2882 國泰金,101.50,-4.50,-4.25%,"66,280"
22,1314 中石化,8.11,+ 0.14,+1.76%,"64,844"
23,2891 中信金,70.30,0.00,0.00%,"58,238"
24,00940 元大台灣價值高息,12.48,+ 0.14,+1.13%,"57,905"
25,1326 台化,54.90,+ 0.70,+1.29%,"56,995"
26,00878 國泰永續高股息,32.90,+ 0.19,+0.58%,"56,360"
27,2337 旺宏,158.50,-4.00,-2.46%,"53,290"
28,2884 玉山金,34.50,-0.05,-0.14%,"52,050"
29,3711 日月光投控,627.00,-5.00,-0.79%,"50,263"
30,3036 文曄,209.00,-6.50,-3.02%,"46,030"
31,6176 瑞儀,86.90,-0.80,-0.91%,"45,102"
32,2897 王道銀行,10.50,0.00,0.00%,"43,363"
33,3045 台灣大,118.00,-0.50,-0.42%,"42,034"
34,1303 南亞,151.50,+ 3.50,+2.36%,"41,310"
35,6213 聯茂,344.00,-2.50,-0.72%,"37,945"
36,2006 東和鋼鐵,70.00,+ 0.20,+0.29%,"37,580"
37,6005 群益證,37.55,-0.25,-0.66%,"36,977"
38,2812 台中銀,19.95,+ 0.15,+0.76%,"34,570"
39,8046 南電,"1,080.00",-45.00,-4.00%,"33,614"
40,6505 台塑化,55.30,+ 1.80,+3.36%,"32,312"
41,2637 慧洋-KY,72.60,+ 0.90,+1.26%,"31,279"
42,1714 和桐,18.90,+ 0.35,+1.89%,"31,112"
43,00983A主動中信ARK創新,12.04,+ 0.32,+2.73%,"30,313"
44,1718 中纖,12.25,+ 1.10,+9.87%,"30,033"
45,2401 凌陽,31.40,-0.25,-0.79%,"28,190"
46,009805新光美國電力基建,16.89,-0.16,-0.94%,"25,966"
47,2501 國建,24.20,+ 0.05,+0.21%,"25,159"
48,00712 復華富時不動產,8.77,+ 0.14,+1.62%,"24,181"
49,00900 富邦特選高股息30,18.98,+ 0.11,+0.58%,"21,363"
50,00939 統一台灣高息動能,21.26,+ 0.02,+0.09%,"20,928"
