Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetSell
1,00406A主動中信台灣收益,9.46,-0.18,-1.87%,"215,352","845,353","-630,000"
2,00918 大華優利高填息30,35.46,-0.02,-0.06%,"46,627","243,138","-196,510"
3,00712 復華富時不動產,8.64,+ 0.03,+0.35%,"48,315","199,625","-151,310"
4,00953B群益優選非投等債,9.56,0.00,0.00%,"73,504","223,799","-150,295"
5,009828中信台日韓PCB,9.33,-0.53,-5.38%,"38,252","188,087","-149,834"
6,00919 群益台灣精選高息,32.52,+ 0.17,+0.53%,"57,916","176,776","-118,859"
7,00673R期元大S＆P原油反1,11.40,+ 0.03,+0.26%,"40,191","152,226","-112,035"
8,2344 華邦電,169.00,-10.00,-5.59%,"201,032","300,431","-99,398"
9,00984D主動聯博全球非投,9.91,0.00,0.00%,"43,655","135,026","-91,370"
10,2408 南亞科,477.50,-40.50,-7.82%,"87,714","157,522","-69,807"
11,009826貝萊德世界股票,10.05,+ 0.01,+0.10%,"26,287","75,325","-49,037"
12,00409A主動復華全球50,9.59,-0.11,-1.13%,"32,475","79,559","-47,083"
13,2327 國巨*,511.00,-29.00,-5.37%,"39,023","72,389","-33,366"
14,2634 漢翔,64.40,-2.00,-3.01%,"11,386","44,178","-32,792"
15,00929 復華台灣科技優息,28.89,-0.54,-1.83%,"37,986","70,661","-32,674"
16,009827玉山未來全球算力,9.93,+ 0.03,+0.30%,"13,277","45,072","-31,795"
17,00961 FT臺灣永續高息,13.42,+ 0.05,+0.37%,"26,003","55,789","-29,785"
18,009829大華韓國KOSPI50,10.03,-0.17,-1.67%,"37,863","65,743","-27,880"
19,2324 仁寶,38.75,-0.95,-2.39%,"43,769","70,505","-26,735"
20,6919 康霈*,84.50,-3.60,-4.09%,"55,490","81,685","-26,194"
21,2337 旺宏,117.00,-6.00,-4.88%,"20,801","45,328","-24,527"
22,00896 中信綠能及電動車,27.86,-0.44,-1.55%,"11,466","35,988","-24,521"
23,6770 力積電,67.80,-2.60,-3.69%,"111,926","135,780","-23,854"
24,1409 新纖,24.60,-0.75,-2.96%,"16,177","36,441","-20,264"
25,2889 國票金,16.45,+ 0.45,+2.81%,"67,808","87,338","-19,530"
26,6116 彩晶,13.90,-0.25,-1.77%,"22,733","40,862","-18,128"
27,00632R元大台灣50反1,10.00,+ 0.09,+0.91%,"294,612","312,383","-17,771"
28,00830 國泰費城半導體,79.40,-0.25,-0.31%,"9,071","26,238","-17,166"
29,00985B群益ESG投等債0-5,10.13,-0.01,-0.10%,"26,019","42,504","-16,485"
30,8039 台虹,293.00,-20.50,-6.54%,"13,894","29,085","-15,191"
31,1303 南亞,221.00,-16.50,-6.95%,"96,953","111,927","-14,973"
32,2002 中鋼,19.00,-0.05,-0.26%,"40,881","55,686","-14,804"
33,009819中信數據及電力,9.60,-0.05,-0.52%,"6,124","20,098","-13,974"
34,00664R國泰臺灣加權反1,1.61,+ 0.01,+0.63%,"47,682","61,528","-13,845"
35,009805台新美國電力基建,14.78,+ 0.08,+0.54%,"10,051","23,797","-13,745"
36,2426 鼎元,95.00,-9.50,-9.09%,"29,788","42,051","-12,262"
37,00404A主動聯博動能50,9.70,-0.10,-1.02%,"17,593","29,855","-12,262"
38,8112 至上,89.30,-1.90,-2.08%,"4,981","17,144","-12,163"
39,3702 大聯大,102.00,0.00,0.00%,"12,519","24,547","-12,027"
40,1714 和桐,16.55,-0.80,-4.61%,"32,280","43,875","-11,594"
41,00410A主動永豐科技趨勢,11.84,-0.47,-3.82%,"26,781","38,285","-11,504"
42,1101 台泥,24.45,-0.35,-1.41%,"368,322","379,720","-11,398"
43,9904 寶成,24.55,-0.20,-0.81%,"24,744","36,123","-11,378"
44,3036 文曄,190.50,+ 3.50,+1.87%,"16,195","27,171","-10,976"
45,3189 景碩,775.00,-72.00,-8.50%,"21,862","32,686","-10,824"
46,8046 南電,"1,080.00",-120.00,-10.00%,"7,130","17,275","-10,145"
47,00708L期元大S＆P黃金正2,82.05,+ 4.20,+5.39%,"10,287","19,781","-9,493"
48,8033 雷虎,173.00,-8.00,-4.42%,"5,039","14,260","-9,221"
49,3042 晶技,174.00,-6.00,-3.33%,"14,929","23,707","-8,778"
50,009803玉山市值動能50,21.78,-0.19,-0.86%,"6,862","15,384","-8,522"
