Rank,Stock,Price,Change,ChangePercent,NetBuy
1,00403A主動統一升級50,10.81,+ 0.11,+1.03%,"328,442"
2,00981A主動統一台股增長,30.65,+ 0.50,+1.66%,"193,146"
3,00409A主動復華全球50,10.14,+ 0.07,+0.70%,"150,065"
4,00405A主動富邦台灣龍耀,9.36,+ 0.13,+1.41%,"108,348"
5,2409 友達,34.70,-1.95,-5.32%,"91,426"
6,009828中信台日韓PCB,9.85,+ 0.20,+2.07%,"81,710"
7,00991A主動復華未來50,18.00,+ 0.12,+0.67%,"57,150"
8,1101 台泥,25.65,+ 1.10,+4.48%,"44,894"
9,00407A主動凱基台灣,10.12,+ 0.08,+0.80%,"42,878"
10,2303 聯電,160.00,0.00,0.00%,"40,191"
11,00402A主動安聯美國科技,10.08,+ 0.08,+0.80%,"33,670"
12,6770 力積電,73.10,+ 1.30,+1.81%,"32,738"
13,00400A主動國泰動能高息,15.57,+ 0.08,+0.52%,"25,902"
14,00992A主動群益科技創新,18.69,+ 0.04,+0.21%,"21,860"
15,00406A主動中信台灣收益,9.92,+ 0.08,+0.81%,"21,836"
16,2610 華航,20.45,-0.05,-0.24%,"19,835"
17,8150 南茂,107.00,+ 1.50,+1.42%,"19,123"
18,00988A主動統一全球創新,16.95,+ 0.22,+1.32%,"18,022"
19,2344 華邦電,172.50,+ 1.50,+0.88%,"17,908"
20,2618 長榮航,42.85,+ 0.35,+0.82%,"17,829"
21,2886 兆豐金,50.00,-0.50,-0.99%,"17,378"
22,3189 景碩,906.00,-3.00,-0.33%,"12,899"
23,2317 鴻海,256.00,+ 3.00,+1.19%,"12,672"
24,3016 嘉晶,145.50,+ 13.00,+9.81%,"12,556"
25,3711 日月光投控,693.00,0.00,0.00%,"12,488"
26,2449 京元電子,304.00,-13.00,-4.10%,"12,195"
27,3037 欣興,"1,160.00",+ 40.00,+3.57%,"11,077"
28,00997A主動群益美國增長,11.60,+ 0.15,+1.31%,"9,710"
29,00982A主動群益台灣強棒,23.06,+ 0.04,+0.17%,"9,555"
30,8046 南電,"1,210.00",+ 45.00,+3.86%,"9,265"
31,1102 亞泥,35.95,+ 0.50,+1.41%,"8,391"
32,2104 國際中橡,11.65,+ 1.05,+9.91%,"8,377"
33,00929 復華台灣科技優息,29.14,+ 0.01,+0.03%,"8,345"
34,6168 宏齊,41.20,-2.80,-6.36%,"8,221"
35,2892 第一金,39.85,-0.05,-0.13%,"7,619"
36,00999A主動野村臺灣高息,11.35,+ 0.09,+0.80%,"7,216"
37,2609 陽明,59.90,-0.90,-1.48%,"6,822"
38,009829大華韓國KOSPI50,11.12,+ 0.15,+1.37%,"6,782"
39,2408 南亞科,515.00,+ 18.00,+3.62%,"6,751"
40,6257 矽格,247.00,-2.00,-0.80%,"6,226"
41,00927 群益半導體收益,39.89,+ 0.01,+0.03%,"6,100"
42,2412 中華電,145.50,+ 0.50,+0.34%,"6,035"
43,00993A主動安聯台灣,13.85,+ 0.07,+0.51%,"5,777"
44,00891 中信關鍵半導體,37.70,+ 0.29,+0.78%,"5,625"
45,1312 國喬,14.60,-0.10,-0.68%,"5,595"
46,6456 GIS-KY,78.60,+ 5.00,+6.79%,"5,593"
47,00830 國泰費城半導體,88.60,+ 2.05,+2.37%,"5,470"
48,2354 鴻準,65.90,+ 0.30,+0.46%,"5,462"
49,00632R元大台灣50反1,9.49,-0.03,-0.32%,"5,375"
50,3045 台灣大,123.00,0.00,0.00%,"5,156"
