名次,股票名稱,收盤價,漲跌,漲跌幅,2日買進張數,2日賣出張數,2日買賣超張數
1,3481 群創,14.35,0.15,1.06%,"64,644","22,343","42,301"
2,2303 聯電,48.00,0.50,1.05%,"51,911","18,282","33,629"
3,2344 華邦電,57.80,2.00,3.58%,"64,933","35,648","29,285"
4,00878 國泰永續高股息,21.12,0.07,0.33%,"43,505","15,750","27,754"
5,2882 國泰金,69.00,1.40,2.07%,"46,400","19,609","26,791"
6,2887 台新新光金,19.15,0.40,2.13%,"100,432","78,533","21,899"
7,2605 新興,31.55,2.85,9.93%,"29,439","9,542","19,896"
8,00712 復華富時不動產,9.30,0.03,0.32%,"33,824","16,963","16,860"
9,2356 英業達,46.05,0.95,2.11%,"20,781","4,671","16,110"
10,2883 凱基金,16.00,0.15,0.95%,"30,858","16,434","14,424"
11,00919 群益台灣精選高息,21.83,0.15,0.69%,"44,833","31,533","13,300"
12,2409 友達,11.85,0.20,1.72%,"37,391","24,326","13,064"
13,3706 神達,92.80,1.30,1.42%,"17,781","5,250","12,531"
14,00940 元大台灣價值高息,9.29,0.00,0.00%,"21,612","9,310","12,302"
15,2881 富邦金,94.70,1.60,1.72%,"23,877","11,725","12,151"
16,00900 富邦特選高股息30,13.23,-0.02,-0.15%,"21,037","9,230","11,807"
17,2327 國巨*,236.00,3.50,1.51%,"15,516","3,848","11,668"
18,2002 中鋼,18.90,-0.15,-0.79%,"27,895","16,405","11,490"
19,2317 鴻海,228.50,1.50,0.66%,"20,102","9,073","11,028"
20,2009 第一銅,47.75,4.30,9.90%,"13,667","2,910","10,756"
21,0056 元大高股息,36.40,0.09,0.25%,"17,386","6,743","10,642"
22,00941 中信上游半導體,17.29,0.19,1.11%,"17,134","6,845","10,288"
23,2885 元大金,37.30,0.75,2.05%,"30,631","20,395","10,235"
24,2880 華南金,30.75,0.50,1.65%,"17,030","7,568","9,461"
25,3189 景碩,148.00,0.00,0.00%,"14,451","5,227","9,223"
26,2382 廣達,294.50,2.00,0.68%,"17,434","8,378","9,055"
27,5608 四維航,20.75,1.85,9.79%,"12,384","4,068","8,315"
28,2606 裕民,69.60,6.30,9.95%,"14,183","6,794","7,389"
29,2406 國碩,23.35,2.00,9.37%,"11,014","4,185","6,829"
30,00939 統一台灣高息動能,14.10,0.08,0.57%,"11,094","4,364","6,729"
31,3231 緯創,146.00,1.00,0.69%,"22,523","15,840","6,682"
32,00929 復華台灣科技優息,17.75,0.00,0.00%,"11,273","5,200","6,072"
33,2834 臺企銀,16.00,0.15,0.95%,"15,183","9,187","5,995"
34,2324 仁寶,30.40,0.25,0.83%,"16,566","10,626","5,940"
35,2889 國票金,17.25,0.10,0.58%,"14,514","8,798","5,715"
36,6919 康霈*,183.00,16.50,9.91%,"9,295","4,155","5,140"
37,2891 中信金,44.35,0.65,1.49%,"30,398","25,531","4,866"
38,2312 金寶,22.80,0.05,0.22%,"9,276","4,880","4,395"
39,9904 寶成,31.40,0.00,0.00%,"8,125","4,118","4,006"
40,6706 惠特,107.00,7.00,7.00%,"7,462","3,703","3,759"
41,00915 凱基優選高股息30,22.33,0.23,1.04%,"5,807","2,409","3,398"
42,3037 欣興,198.50,2.00,1.02%,"13,504","10,193","3,310"
43,00885 富邦越南,17.18,-0.02,-0.12%,"6,956","3,726","3,230"
44,2402 毅嘉,51.20,1.50,3.02%,"6,255","3,048","3,207"
45,1313 聯成,11.45,0.15,1.33%,"6,205","3,175","3,029"
46,00830 國泰費城半導體,58.50,0.20,0.34%,"16,016","13,145","2,871"
47,2359 所羅門,138.50,12.50,9.92%,"4,255","1,434","2,820"
48,1101 台泥,22.95,0.05,0.22%,"15,758","13,338","2,419"
49,2855 統一證,25.30,0.45,1.81%,"4,788","2,481","2,307"
50,2027 大成鋼,38.85,0.30,0.78%,"10,841","8,543","2,298"
