Rank,Stock,Price,Change,ChangePercent,NetBuy
1,6770 力積電,85.70,+ 7.10,+9.03%,"83,296"
2,2610 華航,23.25,+ 0.95,+4.26%,"61,357"
3,2618 長榮航,44.00,+ 1.05,+2.44%,"25,401"
4,1301 台塑,54.50,+ 4.95,+9.99%,"20,646"
5,1326 台化,57.70,+ 5.20,+9.90%,"20,605"
6,2834 臺企銀,17.80,+ 0.15,+0.85%,"15,294"
7,2002 中鋼,19.35,+ 0.15,+0.78%,"14,042"
8,8105 凌巨,23.50,+ 2.10,+9.81%,"10,154"
9,00712 復華富時不動產,8.60,+ 0.07,+0.82%,"10,131"
10,2006 東和鋼鐵,69.80,+ 0.10,+0.14%,"7,741"
11,4938 和碩,84.00,+ 3.60,+4.48%,"7,649"
12,2303 聯電,178.00,+ 8.00,+4.71%,"7,333"
13,1314 中石化,7.99,+ 0.14,+1.78%,"6,079"
14,1319 東陽,79.50,+ 0.10,+0.13%,"5,723"
15,9105 泰金寶-DR,10.00,+ 0.87,+9.53%,"5,414"
16,2542 興富發,43.10,+ 0.40,+0.94%,"5,257"
17,00945B凱基美國非投等債,14.48,+ 0.04,+0.28%,"4,873"
18,00985B群益ESG投等債0-5,10.23,+ 0.04,+0.39%,"4,853"
19,6176 瑞儀,90.20,+ 0.20,+0.22%,"4,711"
20,00953B群益優選非投等債,9.64,+ 0.01,+0.10%,"4,704"
21,00662 富邦NASDAQ,120.45,-1.05,-0.86%,"4,394"
22,2369 菱生,43.30,-1.25,-2.81%,"4,288"
23,2441 超豐,142.50,+ 6.50,+4.78%,"4,023"
24,6505 台塑化,55.20,+ 3.10,+5.95%,"3,880"
25,2449 京元電子,333.50,+ 4.00,+1.21%,"3,806"
26,1477 聚陽,217.00,+ 2.00,+0.93%,"3,796"
27,2399 映泰,54.30,+ 3.40,+6.68%,"3,792"
28,6213 聯茂,309.00,+ 28.00,+9.96%,"3,765"
29,1304 台聚,13.60,+ 0.80,+6.25%,"3,588"
30,00405A主動富邦台灣龍耀,9.42,-0.09,-0.95%,"3,562"
31,2356 英業達,66.40,+ 0.30,+0.45%,"3,461"
32,1714 和桐,19.05,+ 1.20,+6.72%,"3,384"
33,2353 宏碁,34.20,+ 0.80,+2.40%,"3,345"
34,00752 中信中國50,21.17,+ 0.15,+0.71%,"3,275"
35,8046 南電,955.00,+ 46.00,+5.06%,"3,229"
36,2401 凌陽,34.80,+ 2.00,+6.10%,"3,140"
37,2603 長榮,186.50,-2.50,-1.32%,"3,139"
38,3094 聯傑,45.25,+ 4.10,+9.96%,"3,085"
39,3045 台灣大,119.50,+ 0.50,+0.42%,"3,062"
40,6695 芯鼎,68.90,+ 6.20,+9.89%,"2,977"
41,3149 正達,102.00,+ 7.90,+8.40%,"2,895"
42,1717 長興,73.90,+ 2.20,+3.07%,"2,843"
43,2609 陽明,51.60,+ 0.30,+0.58%,"2,752"
44,9907 統一實,15.05,-0.10,-0.66%,"2,746"
45,1312 國喬,14.00,+ 0.20,+1.45%,"2,688"
46,3016 嘉晶,137.50,-15.00,-9.84%,"2,653"
47,009819中信數據及電力,10.34,-0.06,-0.58%,"2,618"
48,8261 富鼎,246.50,-13.50,-5.19%,"2,616"
49,5880 合庫金,24.40,-0.15,-0.61%,"2,563"
50,2103 台橡,21.95,+ 1.05,+5.02%,"2,561"
