Rank,Stock,Price,Change,ChangePercent,NetSell
1,2834 臺企銀,16.45,+ 0.10,+0.61%,"-183,248"
2,3481 群創,46.40,-0.40,-0.85%,"-156,058"
3,1303 南亞,207.00,+ 18.50,+9.81%,"-133,305"
4,2303 聯電,123.50,-1.50,-1.20%,"-115,271"
5,2409 友達,25.50,-0.15,-0.58%,"-110,090"
6,2884 玉山金,38.70,-0.30,-0.77%,"-88,702"
7,2492 華新科,269.50,+ 1.50,+0.56%,"-68,844"
8,2801 彰銀,23.90,+ 0.15,+0.63%,"-65,452"
9,2327 國巨*,537.00,-7.00,-1.29%,"-63,467"
10,2812 台中銀,19.00,+ 0.05,+0.26%,"-58,749"
11,2880 華南金,39.60,-0.20,-0.50%,"-58,585"
12,1718 中纖,10.70,+ 0.05,+0.47%,"-52,702"
13,4958 臻鼎-KY,453.00,+ 9.00,+2.03%,"-52,354"
14,2610 華航,20.80,+ 0.40,+1.96%,"-52,291"
15,00878 國泰永續高股息,32.82,+ 0.18,+0.55%,"-51,258"
16,6005 群益證,30.70,+ 0.35,+1.15%,"-41,393"
17,2885 元大金,62.80,+ 0.40,+0.64%,"-40,170"
18,2481 強茂,150.50,+ 13.50,+9.85%,"-38,156"
19,2449 京元電子,244.00,+ 4.50,+1.88%,"-36,829"
20,6505 台塑化,70.40,-0.60,-0.85%,"-32,557"
21,5388 中磊,77.40,+ 0.30,+0.39%,"-31,187"
22,6239 力成,286.00,+ 12.50,+4.57%,"-29,825"
23,2382 廣達,332.50,+ 4.00,+1.22%,"-26,919"
24,3702 大聯大,108.00,-2.00,-1.82%,"-26,299"
25,2332 友訊,20.00,-0.10,-0.50%,"-26,281"
26,1714 和桐,16.55,+ 0.05,+0.30%,"-25,341"
27,3036 文曄,196.50,-2.00,-1.01%,"-23,356"
28,009820元大納斯達克精選,9.68,+ 0.03,+0.31%,"-23,126"
29,00712 復華富時不動產,8.84,-0.03,-0.34%,"-22,649"
30,00891 中信關鍵半導體,34.36,+ 0.69,+2.05%,"-22,449"
31,1301 台塑,60.10,+ 2.30,+3.98%,"-21,741"
32,1326 台化,60.30,+ 2.30,+3.97%,"-21,260"
33,8150 南茂,91.10,+ 3.60,+4.11%,"-21,187"
34,3090 日電貿,165.50,-0.50,-0.30%,"-20,075"
35,1409 新纖,24.85,+ 0.40,+1.64%,"-19,781"
36,00881 國泰台灣科技龍頭,49.53,+ 1.03,+2.12%,"-18,913"
37,6116 彩晶,14.40,+ 0.30,+2.13%,"-18,121"
38,8926 台汽電,57.10,+ 0.10,+0.18%,"-17,688"
39,2308 台達電,"1,750.00",+ 40.00,+2.34%,"-16,225"
40,1314 中石化,7.99,+ 0.09,+1.14%,"-16,015"
41,2368 金像電,"1,040.00",+ 69.00,+7.11%,"-15,167"
42,2478 大毅,122.00,+ 1.50,+1.24%,"-14,751"
43,2633 台灣高鐵,26.35,+ 0.05,+0.19%,"-14,728"
44,8033 雷虎,192.50,+ 13.50,+7.54%,"-14,401"
45,2645 長榮航太,179.00,+ 8.50,+4.99%,"-14,317"
46,2489 瑞軒,41.50,+ 0.95,+2.34%,"-13,948"
47,2352 佳世達,28.10,-0.05,-0.18%,"-13,731"
48,00830 國泰費城半導體,82.20,-0.05,-0.06%,"-13,214"
49,8046 南電,"1,180.00",+ 20.00,+1.72%,"-12,837"
50,2458 義隆,139.50,+ 2.00,+1.45%,"-12,729"
