Rank,Stock,Price,Change,ChangePercent,NetSell
1,3481 群創,66.00,+ 1.60,+2.48%,"-169,380"
2,2344 華邦電,222.00,+ 3.50,+1.60%,"-96,814"
3,6116 彩晶,19.95,+ 1.15,+6.12%,"-87,025"
4,2886 兆豐金,44.75,-0.75,-1.65%,"-74,263"
5,6770 力積電,81.60,+ 7.40,+9.97%,"-63,502"
6,3231 緯創,162.50,+ 1.00,+0.62%,"-60,387"
7,1101 台泥,24.35,-0.15,-0.61%,"-47,403"
8,2324 仁寶,37.50,-0.25,-0.66%,"-44,234"
9,3576 聯合再生,18.05,+ 0.05,+0.28%,"-43,310"
10,4904 遠傳,108.00,-0.50,-0.46%,"-42,064"
11,2317 鴻海,268.50,0.00,0.00%,"-37,907"
12,9904 寶成,26.10,-0.05,-0.19%,"-33,756"
13,00405A主動富邦台灣龍耀,9.79,+ 0.15,+1.56%,"-31,271"
14,5876 上海商銀,41.45,-1.05,-2.47%,"-29,025"
15,00991A主動復華未來50,21.33,+ 0.65,+3.14%,"-26,258"
16,4958 臻鼎-KY,622.00,-20.00,-3.12%,"-22,480"
17,1216 統一,74.30,-0.20,-0.27%,"-21,980"
18,2327 國巨*,"1,065.00",-15.00,-1.39%,"-21,857"
19,2633 台灣高鐵,25.95,-0.20,-0.76%,"-21,259"
20,00988A主動統一全球創新,23.73,+ 0.77,+3.35%,"-19,610"
21,2845 遠東銀,12.85,-0.10,-0.77%,"-19,013"
22,2880 華南金,37.60,-0.75,-1.96%,"-16,462"
23,2353 宏碁,34.00,-0.40,-1.16%,"-14,690"
24,2855 統一證,52.00,-0.20,-0.38%,"-14,465"
25,1409 新纖,28.15,+ 2.55,+9.96%,"-13,697"
26,2356 英業達,67.80,+ 0.10,+0.15%,"-13,533"
27,4915 致伸,76.30,+ 0.40,+0.53%,"-12,481"
28,2464 盟立,173.00,+ 1.00,+0.58%,"-12,139"
29,6153 嘉聯益,23.95,-0.50,-2.04%,"-11,962"
30,2492 華新科,617.00,+ 56.00,+9.98%,"-11,366"
31,2406 國碩,35.60,+ 0.75,+2.15%,"-11,301"
32,3706 神達,87.40,+ 0.50,+0.58%,"-10,712"
33,6443 元晶,39.00,-0.35,-0.89%,"-10,012"
34,2542 興富發,42.70,-2.05,-4.58%,"-9,940"
35,00688L國泰20年美債正2,7.03,-0.06,-0.85%,"-9,334"
36,2882 國泰金,113.00,-2.50,-2.16%,"-9,135"
37,2027 大成鋼,41.10,+ 0.10,+0.24%,"-8,812"
38,00945B凱基美國非投等債,14.44,+ 0.01,+0.07%,"-8,681"
39,6239 力成,366.00,+ 2.50,+0.69%,"-8,629"
40,2332 友訊,18.95,-1.10,-5.49%,"-8,275"
41,00997A主動群益美國增長,14.74,+ 0.31,+2.15%,"-8,051"
42,2504 國產,32.80,-0.80,-2.38%,"-8,048"
43,5871 中租-KY,118.00,+ 4.00,+3.51%,"-8,028"
44,3036 文曄,225.00,+ 2.50,+1.12%,"-7,746"
45,8046 南電,864.00,-10.00,-1.14%,"-7,442"
46,1513 中興電,181.00,+ 4.50,+2.55%,"-7,352"
47,1714 和桐,18.35,-2.00,-9.83%,"-7,254"
48,2451 創見,309.50,-2.00,-0.64%,"-7,253"
49,2615 萬海,80.50,+ 0.10,+0.12%,"-7,246"
50,2912 統一超,221.00,-2.50,-1.12%,"-7,018"
