Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetSell
1,00406A主動中信台灣收益,9.44,-0.16,-1.67%,"52,159","326,329","-274,170"
2,00685L群益臺灣加權正2,11.84,-0.42,-3.43%,"59,209","254,825","-195,615"
3,00712 復華富時不動產,8.38,-0.15,-1.76%,"34,161","177,771","-143,610"
4,00631L元大台灣50正2,35.98,-1.17,-3.15%,"38,975","163,952","-124,976"
5,00919 群益台灣精選高息,32.48,-0.07,-0.22%,"25,720","143,019","-117,299"
6,00673R期元大S＆P原油反1,10.06,-0.65,-6.07%,"31,345","139,725","-108,380"
7,00918 大華優利高填息30,35.34,-0.04,-0.11%,"22,327","125,152","-102,825"
8,2409 友達,30.20,-1.00,-3.21%,"69,633","135,192","-65,559"
9,009816凱基台灣TOP50,15.88,-0.15,-0.94%,"25,419","88,246","-62,827"
10,009828中信台日韓PCB,9.45,-0.14,-1.46%,"18,320","76,238","-57,918"
11,0050 元大台灣50,107.70,-1.45,-1.33%,"25,473","81,707","-56,234"
12,00981A主動統一台股增長,29.44,-0.45,-1.51%,"24,781","80,951","-56,169"
13,3481 群創,47.70,-1.65,-3.34%,"17,453","67,472","-50,019"
14,00929 復華台灣科技優息,28.62,-0.38,-1.31%,"9,129","58,010","-48,880"
15,00961 FT臺灣永續高息,13.36,-0.07,-0.52%,"10,765","57,764","-46,999"
16,2344 華邦電,171.50,-8.00,-4.46%,"10,920","47,759","-36,838"
17,00404A主動聯博動能50,9.82,-0.15,-1.50%,"9,500","44,871","-35,370"
18,1409 新纖,24.45,-0.70,-2.78%,"5,644","33,739","-28,094"
19,3231 緯創,185.50,+ 0.50,+0.27%,"26,384","53,740","-27,355"
20,00896 中信綠能及電動車,27.92,-0.44,-1.55%,"7,982","33,237","-25,255"
21,009826貝萊德世界股票,9.97,-0.04,-0.40%,"9,981","35,200","-25,219"
22,00400A主動國泰動能高息,14.80,-0.21,-1.40%,"11,113","32,176","-21,063"
23,009803玉山市值動能50,21.76,-0.40,-1.81%,"5,181","24,545","-19,363"
24,00991A主動復華未來50,17.36,-0.38,-2.14%,"16,993","33,819","-16,825"
25,2324 仁寶,37.80,-0.85,-2.20%,"12,149","28,962","-16,812"
26,2408 南亞科,493.00,-22.00,-4.27%,"6,311","21,824","-15,513"
27,8150 南茂,86.70,-4.20,-4.62%,"3,171","16,198","-13,027"
28,2308 台達電,"1,620.00",-55.00,-3.28%,"3,632","16,651","-13,018"
29,6116 彩晶,14.10,-0.60,-4.08%,"10,254","23,231","-12,977"
30,00881 國泰台灣科技龍頭,49.96,-0.54,-1.07%,"7,400","20,301","-12,900"
31,00999A主動野村臺灣高息,11.36,-0.14,-1.22%,"5,683","16,771","-11,088"
32,00409A主動復華全球50,9.63,-0.18,-1.83%,"13,315","24,244","-10,929"
33,2330 台積電,"2,410.00",-40.00,-1.63%,"7,696","17,812","-10,115"
34,1301 台塑,64.60,-1.00,-1.52%,"5,552","15,084","-9,531"
35,9904 寶成,24.20,+ 0.10,+0.41%,"7,422","16,683","-9,260"
36,2002 中鋼,18.90,-0.20,-1.05%,"14,051","23,106","-9,055"
37,00405A主動富邦台灣龍耀,8.59,-0.18,-2.05%,"19,643","28,455","-8,811"
38,00878 國泰永續高股息,34.00,-0.15,-0.44%,"12,721","21,485","-8,763"
39,0056 元大高股息,55.30,-0.40,-0.72%,"7,242","15,601","-8,359"
40,00992A主動群益科技創新,17.87,-0.29,-1.60%,"7,800","15,796","-7,996"
41,2492 華新科,311.50,-22.50,-6.74%,"6,419","14,251","-7,832"
42,2615 萬海,112.00,+ 1.50,+1.36%,"13,284","20,633","-7,348"
43,00935 野村臺灣新科技50,58.55,-1.15,-1.93%,"4,914","12,152","-7,237"
44,1714 和桐,15.35,-1.15,-6.97%,"3,643","10,840","-7,196"
45,00401A主動摩根台灣鑫收,14.07,-0.16,-1.12%,"7,292","14,371","-7,078"
46,2356 英業達,62.00,-0.60,-0.96%,"4,719","11,744","-7,025"
47,00407A主動凱基台灣,9.55,-0.13,-1.34%,"20,829","27,712","-6,882"
48,6505 台塑化,83.60,-2.60,-3.02%,"18,198","25,019","-6,821"
49,2327 國巨*,544.00,-28.00,-4.90%,"8,759","15,487","-6,728"
50,2337 旺宏,119.00,-3.50,-2.86%,"5,445","12,173","-6,728"
