Rank,Stock,Price,Change,ChangePercent,NetSell
1,0050 元大台灣50,103.80,+ 3.15,+3.13%,"-937,449"
2,00403A主動統一升級50,9.81,+ 0.27,+2.83%,"-571,821"
3,6770 力積電,66.10,+ 6.00,+9.98%,"-354,003"
4,1303 南亞,177.00,+ 6.50,+3.81%,"-275,486"
5,00988A主動統一全球創新,17.19,+ 0.96,+5.91%,"-226,688"
6,2886 兆豐金,51.20,+ 0.50,+0.99%,"-224,669"
7,2330 台積電,"2,405.00",+ 85.00,+3.66%,"-206,003"
8,2337 旺宏,117.50,-2.50,-2.08%,"-205,598"
9,2801 彰銀,23.65,-0.15,-0.63%,"-197,270"
10,3481 群創,47.80,0.00,0.00%,"-194,192"
11,2892 第一金,35.90,+ 0.60,+1.70%,"-175,070"
12,2344 華邦電,169.00,+ 12.00,+7.64%,"-144,813"
13,2880 華南金,43.80,+ 0.55,+1.27%,"-128,425"
14,00990A主動元大AI新經濟,16.20,+ 0.71,+4.58%,"-90,375"
15,2408 南亞科,445.00,+ 9.00,+2.06%,"-79,016"
16,3702 大聯大,129.00,+ 11.50,+9.79%,"-72,785"
17,3037 欣興,969.00,+ 45.00,+4.87%,"-70,644"
18,00919 群益台灣精選高息,29.94,+ 0.43,+1.46%,"-69,043"
19,1101 台泥,24.05,+ 0.50,+2.12%,"-68,940"
20,00830 國泰費城半導體,87.70,+ 5.15,+6.24%,"-66,685"
21,9904 寶成,23.45,-0.30,-1.26%,"-64,364"
22,009820元大納斯達克精選,9.99,+ 0.37,+3.85%,"-64,304"
23,1714 和桐,14.75,+ 0.20,+1.37%,"-63,353"
24,3711 日月光投控,593.00,+ 8.00,+1.37%,"-59,609"
25,2382 廣達,304.00,+ 3.50,+1.16%,"-59,326"
26,2890 永豐金,39.55,-0.05,-0.13%,"-59,274"
27,2409 友達,24.45,0.00,0.00%,"-58,479"
28,00878 國泰永續高股息,33.15,+ 0.58,+1.78%,"-56,706"
29,2449 京元電子,247.00,+ 1.50,+0.61%,"-55,065"
30,2352 佳世達,28.45,-0.45,-1.56%,"-54,839"
31,1802 台玻,53.90,+ 1.60,+3.06%,"-47,159"
32,00929 復華台灣科技優息,28.78,+ 0.63,+2.24%,"-46,823"
33,6282 康舒,48.00,+ 0.10,+0.21%,"-44,955"
34,8150 南茂,86.50,+ 4.00,+4.85%,"-44,753"
35,00891 中信關鍵半導體,35.13,+ 1.27,+3.75%,"-43,287"
36,00400A主動國泰動能高息,13.69,+ 0.24,+1.78%,"-41,629"
37,4958 臻鼎-KY,488.00,+ 44.00,+9.91%,"-40,140"
38,0056 元大高股息,51.45,+ 0.85,+1.68%,"-40,000"
39,1409 新纖,22.60,0.00,0.00%,"-39,832"
40,1605 華新,34.85,+ 1.10,+3.26%,"-39,717"
41,2308 台達電,"1,650.00",+ 30.00,+1.85%,"-39,481"
42,1326 台化,58.60,+ 0.40,+0.69%,"-38,719"
43,8926 台汽電,63.30,+ 0.70,+1.12%,"-38,145"
44,2633 台灣高鐵,25.90,+ 0.15,+0.58%,"-36,775"
45,00881 國泰台灣科技龍頭,52.65,+ 1.75,+3.44%,"-35,301"
46,00982A主動群益台灣強棒,22.33,+ 0.72,+3.33%,"-33,232"
47,2369 菱生,33.70,+ 0.50,+1.51%,"-32,577"
48,2542 興富發,44.05,-0.10,-0.23%,"-31,013"
49,2317 鴻海,258.50,+ 8.50,+3.40%,"-30,139"
50,8422 可寧衛*,26.00,-0.25,-0.95%,"-29,687"
