Rank,Stock,Price,Change,ChangePercent,NetBuy
1,2618 長榮航,40.85,-1.25,-2.97%,"502,979"
2,2002 中鋼,19.10,+ 0.25,+1.33%,"398,411"
3,1301 台塑,66.20,+ 2.70,+4.25%,"257,704"
4,2303 聯電,138.50,-0.50,-0.36%,"204,785"
5,5880 合庫金,25.60,+ 0.05,+0.20%,"188,924"
6,2610 華航,20.60,-0.75,-3.51%,"187,348"
7,00712 復華富時不動產,8.85,-0.05,-0.56%,"175,524"
8,2882 國泰金,97.30,+ 0.50,+0.52%,"163,771"
9,00981A主動統一台股增長,28.69,+ 0.19,+0.67%,"135,031"
10,2891 中信金,63.50,-0.50,-0.78%,"122,257"
11,00918 大華優利高填息30,32.35,-0.05,-0.15%,"120,882"
12,2883 凱基金,30.85,+ 0.40,+1.31%,"120,119"
13,2353 宏碁,30.15,-0.40,-1.31%,"117,241"
14,2867 三商壽,9.18,-0.10,-1.08%,"112,532"
15,6505 台塑化,93.20,+ 8.10,+9.52%,"107,636"
16,2884 玉山金,35.65,-0.40,-1.11%,"100,314"
17,2812 台中銀,20.45,0.00,0.00%,"98,352"
18,2834 臺企銀,17.90,-0.20,-1.10%,"77,958"
19,00919 群益台灣精選高息,29.50,+ 0.04,+0.14%,"67,194"
20,3045 台灣大,112.00,-0.50,-0.44%,"63,688"
21,4938 和碩,87.20,+ 2.80,+3.32%,"59,794"
22,1314 中石化,8.41,-0.01,-0.12%,"59,449"
23,2603 長榮,203.50,-2.50,-1.21%,"58,619"
24,2887 台新新光金,34.50,-0.10,-0.29%,"58,027"
25,00999A主動野村臺灣高息,10.55,0.00,0.00%,"50,300"
26,2105 正新,31.20,-0.05,-0.16%,"49,281"
27,6005 群益證,34.45,+ 0.30,+0.88%,"46,856"
28,2881 富邦金,128.50,+ 1.50,+1.18%,"46,258"
29,2006 東和鋼鐵,71.20,+ 0.10,+0.14%,"44,151"
30,3576 聯合再生,18.35,-1.10,-5.66%,"40,047"
31,2885 元大金,63.30,+ 0.20,+0.32%,"39,475"
32,2609 陽明,50.50,-0.90,-1.75%,"36,427"
33,00983A主動中信ARK創新,11.57,-0.25,-2.12%,"36,307"
34,6176 瑞儀,88.00,+ 0.60,+0.69%,"36,238"
35,2606 裕民,63.20,-0.90,-1.40%,"33,698"
36,2449 京元電子,286.00,-9.00,-3.05%,"32,309"
37,2637 慧洋-KY,81.30,-2.30,-2.75%,"31,637"
38,2615 萬海,84.50,-0.60,-0.71%,"30,448"
39,1326 台化,71.70,+ 1.10,+1.56%,"30,068"
40,00631L元大台灣50正2,35.07,+ 0.27,+0.78%,"29,648"
41,1802 台玻,54.30,-1.30,-2.34%,"29,293"
42,2889 國票金,15.65,-0.05,-0.32%,"28,604"
43,2401 凌陽,28.20,-1.70,-5.69%,"27,692"
44,00940 元大台灣價值高息,12.27,-0.01,-0.08%,"27,072"
45,6919 康霈*,100.50,-3.50,-3.37%,"26,644"
46,009805台新美國電力基建,16.36,-0.04,-0.24%,"26,278"
47,2385 群光,106.00,-0.50,-0.47%,"24,631"
48,9907 統一實,15.15,0.00,0.00%,"23,736"
49,2634 漢翔,61.90,-2.50,-3.88%,"23,201"
50,00900 富邦特選高股息30,18.43,-0.02,-0.11%,"23,175"
