Rank,Stock,Price,Change,ChangePercent,NetBuy
1,2303 聯電,121.00,-10.50,-7.98%,"259,095"
2,2609 陽明,51.70,-2.80,-5.14%,"72,719"
3,00953B群益優選非投等債,9.55,+ 0.01,+0.10%,"54,917"
4,2890 永豐金,31.90,-0.80,-2.45%,"39,397"
5,2884 玉山金,32.90,-0.45,-1.35%,"32,226"
6,2027 大成鋼,41.80,-2.00,-4.57%,"30,810"
7,3702 大聯大,108.00,-6.50,-5.68%,"29,094"
8,6770 力積電,67.50,-7.10,-9.52%,"28,669"
9,2882 國泰金,95.00,-5.00,-5.00%,"28,325"
10,2834 臺企銀,16.45,-0.45,-2.66%,"23,932"
11,2892 第一金,29.10,-0.20,-0.68%,"23,298"
12,3036 文曄,250.00,-23.00,-8.42%,"22,272"
13,1314 中石化,7.94,-0.15,-1.85%,"19,322"
14,2801 彰銀,21.00,-0.45,-2.10%,"17,375"
15,00940 元大台灣價值高息,11.99,-0.55,-4.39%,"17,254"
16,2867 三商壽,7.97,-0.11,-1.36%,"17,078"
17,00945B凱基美國非投等債,14.43,+ 0.02,+0.14%,"16,360"
18,8070 長華*,59.30,-3.40,-5.42%,"16,273"
19,1718 中纖,10.00,+ 0.15,+1.52%,"14,247"
20,5880 合庫金,23.05,-0.40,-1.71%,"14,096"
21,00878 國泰永續高股息,31.11,-1.21,-3.74%,"12,451"
22,6176 瑞儀,94.10,-6.90,-6.83%,"10,687"
23,2885 元大金,62.00,-3.30,-5.05%,"10,637"
24,2615 萬海,84.60,-1.50,-1.74%,"10,331"
25,2845 遠東銀,12.25,-0.15,-1.21%,"10,142"
26,8422 可寧衛*,26.95,-1.15,-4.09%,"9,319"
27,2501 國建,23.95,-0.15,-0.62%,"9,230"
28,2887 台新新光金,27.75,-0.85,-2.97%,"9,111"
29,6239 力成,309.00,-29.00,-8.58%,"8,827"
30,2637 慧洋-KY,78.50,-2.10,-2.61%,"8,372"
31,2897 王道銀行,10.10,-0.20,-1.94%,"8,353"
32,00712 復華富時不動產,8.69,-0.02,-0.23%,"7,535"
33,6505 台塑化,52.60,-2.70,-4.88%,"7,497"
34,1303 南亞,97.50,-7.00,-6.70%,"7,057"
35,1710 東聯,14.70,-1.00,-6.37%,"6,474"
36,00985B群益ESG投等債0-5,10.15,+ 0.02,+0.20%,"6,444"
37,2103 台橡,21.15,-0.55,-2.53%,"6,289"
38,3045 台灣大,115.00,-1.00,-0.86%,"6,028"
39,8150 南茂,87.20,-9.60,-9.92%,"5,660"
40,00915 凱基優選高股息30,29.28,-1.25,-4.09%,"5,508"
41,2481 強茂,148.50,-16.50,-10.00%,"5,303"
42,3481 群創,48.35,-5.35,-9.96%,"5,276"
43,6757 台灣虎航,52.20,-2.20,-4.04%,"5,121"
44,2376 技嘉,345.00,-24.00,-6.50%,"4,948"
45,9933 中鼎,41.80,-1.65,-3.80%,"4,825"
46,2404 漢唐,"1,110.00",-95.00,-7.88%,"4,590"
47,2484 希華,55.30,+ 2.50,+4.73%,"4,453"
48,2474 可成,220.00,-10.50,-4.56%,"4,379"
49,3189 景碩,698.00,-14.00,-1.97%,"4,289"
50,009805新光美國電力基建,16.26,-0.33,-1.99%,"3,999"
