Rank,Stock,Price,Change,ChangePercent,NetBuy
1,00403A主動統一升級50,10.79,+ 0.09,+0.84%,"360,938"
2,2303 聯電,130.50,-11.00,-7.77%,"129,887"
3,2317 鴻海,309.00,+ 7.50,+2.49%,"127,286"
4,3231 緯創,194.00,+ 3.00,+1.57%,"122,041"
5,2890 永豐金,33.00,+ 2.00,+6.45%,"112,873"
6,1303 南亞,113.00,+ 0.50,+0.44%,"88,375"
7,3481 群創,59.40,+ 3.20,+5.69%,"83,489"
8,2324 仁寶,47.05,+ 2.70,+6.09%,"82,512"
9,1402 遠東新,27.30,+ 1.05,+4.00%,"78,576"
10,1326 台化,56.50,+ 2.10,+3.86%,"76,165"
11,2882 國泰金,91.80,+ 2.60,+2.91%,"75,378"
12,2609 陽明,53.70,+ 0.10,+0.19%,"74,896"
13,2834 臺企銀,16.85,+ 0.55,+3.37%,"64,920"
14,00878 國泰永續高股息,33.30,+ 0.81,+2.49%,"64,674"
15,2884 玉山金,33.00,+ 0.80,+2.48%,"63,809"
16,2353 宏碁,43.40,+ 0.85,+2.00%,"58,916"
17,2881 富邦金,113.00,-0.50,-0.44%,"51,303"
18,0056 元大高股息,53.80,+ 1.00,+1.89%,"51,270"
19,00992A主動群益科技創新,18.52,+ 0.38,+2.09%,"50,594"
20,3706 神達,100.00,+ 4.80,+5.04%,"50,470"
21,2408 南亞科,401.50,-18.00,-4.29%,"50,419"
22,2337 旺宏,162.00,-13.50,-7.69%,"43,203"
23,2610 華航,19.95,+ 0.45,+2.31%,"39,628"
24,00400A主動國泰動能高息,15.02,+ 0.26,+1.76%,"37,291"
25,00981A主動統一台股增長,31.81,+ 0.48,+1.53%,"36,678"
26,2867 三商壽,8.00,+ 0.21,+2.70%,"33,954"
27,1301 台塑,52.00,+ 1.10,+2.16%,"33,643"
28,2449 京元電子,322.50,+ 16.00,+5.22%,"32,098"
29,00891 中信關鍵半導體,36.75,+ 0.34,+0.93%,"27,902"
30,1101 台泥,24.85,+ 0.20,+0.81%,"27,716"
31,2885 元大金,63.70,+ 4.10,+6.88%,"27,254"
32,1605 華新,42.70,+ 2.25,+5.56%,"27,009"
33,2027 大成鋼,43.85,+ 0.20,+0.46%,"24,937"
34,2892 第一金,29.00,+ 0.85,+3.02%,"22,417"
35,00999A主動野村臺灣高息,11.42,+ 0.22,+1.96%,"21,688"
36,2406 國碩,38.00,+ 2.20,+6.15%,"18,571"
37,2354 鴻準,65.10,+ 1.10,+1.72%,"18,155"
38,5880 合庫金,23.40,+ 0.35,+1.52%,"17,913"
39,3702 大聯大,118.00,-1.00,-0.84%,"16,489"
40,6505 台塑化,55.90,+ 1.40,+2.57%,"16,438"
41,8422 可寧衛*,28.10,+ 0.75,+2.74%,"15,636"
42,3036 文曄,292.50,+ 2.00,+0.69%,"15,512"
43,00982A主動群益台灣強棒,24.16,+ 0.33,+1.38%,"14,502"
44,00980A主動野村臺灣優選,25.13,+ 0.43,+1.74%,"13,721"
45,6456 GIS-KY,91.10,+ 8.20,+9.89%,"13,488"
46,2897 王道銀行,10.20,+ 0.20,+2.00%,"13,335"
47,6176 瑞儀,102.50,-1.00,-0.97%,"13,218"
48,2014 中鴻,18.80,+ 0.60,+3.30%,"13,032"
49,00900 富邦特選高股息30,20.24,+ 0.32,+1.61%,"12,615"
50,2301 光寶科,250.00,+ 22.50,+9.89%,"12,553"
