Rank,Stock,Price,Change,ChangePercent,NetBuy
1,2887 台新新光金,23.80,+ 0.70,+3.03%,"613,648"
2,3481 群創,36.10,+ 0.70,+1.98%,"559,369"
3,00919 群益台灣精選高息,25.76,-0.13,-0.50%,"517,042"
4,2317 鴻海,248.50,+ 4.00,+1.64%,"502,267"
5,00878 國泰永續高股息,27.90,-0.22,-0.78%,"413,739"
6,2303 聯電,110.00,+ 2.00,+1.85%,"326,549"
7,2883 凱基金,21.85,-0.25,-1.13%,"304,564"
8,2344 華邦電,129.50,-4.50,-3.36%,"234,744"
9,2356 英業達,52.20,-1.00,-1.88%,"228,301"
10,0056 元大高股息,44.45,-0.70,-1.55%,"213,437"
11,00922 國泰台灣領袖50,35.80,-0.45,-1.24%,"205,377"
12,2409 友達,19.05,-0.50,-2.56%,"204,294"
13,00918 大華優利高填息30,25.35,-0.52,-2.01%,"196,728"
14,00712 復華富時不動產,8.82,-0.07,-0.79%,"187,713"
15,2301 光寶科,204.50,-2.50,-1.21%,"184,996"
16,1326 台化,44.45,-0.50,-1.11%,"174,871"
17,1303 南亞,85.30,0.00,0.00%,"173,209"
18,009820元大納斯達克精選,10.15,+ 0.11,+1.10%,"163,976"
19,2890 永豐金,30.20,-0.30,-0.98%,"161,638"
20,1301 台塑,45.70,-0.40,-0.87%,"159,593"
21,2881 富邦金,96.10,+ 1.50,+1.59%,"154,934"
22,00900 富邦特選高股息30,16.68,-0.39,-2.28%,"153,427"
23,2027 大成鋼,39.85,+ 0.05,+0.13%,"135,393"
24,3231 緯創,135.50,-2.50,-1.81%,"132,766"
25,00830 國泰費城半導體,82.90,-1.40,-1.66%,"125,061"
26,2892 第一金,29.30,-0.20,-0.68%,"121,121"
27,00940 元大台灣價值高息,10.95,-0.22,-1.97%,"116,206"
28,2327 國巨*,455.50,-6.50,-1.41%,"109,543"
29,2891 中信金,54.80,0.00,0.00%,"106,380"
30,2884 玉山金,31.95,+ 0.10,+0.31%,"103,656"
31,2886 兆豐金,39.40,+ 0.10,+0.25%,"101,941"
32,00993A主動安聯台灣,12.66,-0.56,-4.24%,"95,178"
33,2867 三商壽,7.72,+ 0.02,+0.26%,"92,119"
34,00929 復華台灣科技優息,25.78,-0.32,-1.23%,"87,961"
35,3702 大聯大,110.00,-1.00,-0.90%,"86,317"
36,2382 廣達,306.00,-28.50,-8.52%,"68,914"
37,6116 彩晶,10.25,-0.15,-1.44%,"65,000"
38,00939 統一台灣高息動能,18.15,-0.15,-0.82%,"62,322"
39,3045 台灣大,114.50,-0.50,-0.43%,"56,342"
40,2324 仁寶,28.65,-1.60,-5.29%,"56,131"
41,00915 凱基優選高股息30,26.68,-0.09,-0.34%,"56,052"
42,1216 統一,75.70,+ 0.90,+1.20%,"55,991"
43,2882 國泰金,77.90,+ 1.20,+1.56%,"55,191"
44,2880 華南金,32.40,-0.20,-0.61%,"54,696"
45,3033 威健,47.90,+ 1.50,+3.23%,"53,403"
46,2376 技嘉,326.50,-0.50,-0.15%,"50,796"
47,2492 華新科,206.00,-14.00,-6.36%,"47,786"
48,00885 富邦越南,19.25,-0.10,-0.52%,"44,483"
49,1605 華新,34.90,-0.70,-1.97%,"42,091"
50,2408 南亞科,311.50,-29.50,-8.65%,"40,633"
