Rank,Stock,Price,Change,ChangePercent,NetBuy
1,6770 力積電,88.70,+ 8.00,+9.91%,"115,572"
2,2324 仁寶,36.70,+ 3.20,+9.55%,"96,629"
3,2317 鴻海,289.00,+ 26.00,+9.89%,"93,205"
4,2337 旺宏,166.50,+ 6.50,+4.06%,"89,819"
5,2408 南亞科,347.00,+ 23.00,+7.10%,"81,650"
6,2409 友達,23.00,+ 1.80,+8.49%,"65,501"
7,2881 富邦金,110.00,0.00,0.00%,"60,620"
8,1402 遠東新,25.65,+ 0.85,+3.43%,"56,579"
9,2610 華航,19.10,+ 0.50,+2.69%,"42,221"
10,2882 國泰金,85.70,+ 0.90,+1.06%,"35,333"
11,1303 南亞,98.10,+ 7.60,+8.40%,"34,296"
12,2449 京元電子,328.50,+ 8.50,+2.66%,"34,219"
13,00403A主動統一升級50,10.70,+ 0.23,+2.20%,"32,070"
14,00992A主動群益科技創新,18.35,+ 0.34,+1.89%,"28,378"
15,00999A主動野村臺灣高息,10.90,+ 0.34,+3.22%,"28,017"
16,0056 元大高股息,50.20,+ 1.37,+2.81%,"23,685"
17,1605 華新,38.75,+ 2.75,+7.64%,"23,382"
18,1326 台化,49.90,+ 4.50,+9.91%,"22,985"
19,2356 英業達,70.20,+ 6.30,+9.86%,"22,339"
20,3231 緯創,158.50,+ 14.00,+9.69%,"19,783"
21,00878 國泰永續高股息,30.76,+ 0.76,+2.53%,"18,781"
22,3706 神達,88.80,+ 5.70,+6.86%,"18,780"
23,2353 宏碁,35.20,+ 3.20,+10.00%,"18,474"
24,00982A主動群益台灣強棒,24.34,+ 0.53,+2.23%,"12,953"
25,2885 元大金,59.60,+ 0.50,+0.85%,"12,566"
26,2890 永豐金,30.00,+ 0.50,+1.69%,"11,454"
27,2609 陽明,52.70,+ 0.40,+0.76%,"10,824"
28,6116 彩晶,17.10,+ 1.55,+9.97%,"10,612"
29,2329 華泰,61.10,+ 1.20,+2.00%,"10,133"
30,00891 中信關鍵半導體,36.05,+ 0.69,+1.95%,"9,782"
31,1301 台塑,47.45,+ 2.40,+5.33%,"9,428"
32,6005 群益證,38.50,+ 2.50,+6.94%,"7,895"
33,6239 力成,379.00,+ 21.50,+6.01%,"7,737"
34,00637L元大滬深300正2,22.40,+ 0.86,+3.99%,"6,496"
35,2646 星宇航空,20.45,+ 0.40,+2.00%,"6,335"
36,009820元大納斯達克精選,10.39,+ 0.23,+2.26%,"6,324"
37,2376 技嘉,370.00,+ 32.50,+9.63%,"6,316"
38,2330 台積電,"2,355.00",+ 60.00,+2.61%,"6,206"
39,8039 台虹,162.00,+ 8.50,+5.54%,"6,061"
40,1314 中石化,7.04,-0.06,-0.85%,"5,892"
41,3062 建漢,30.70,+ 1.30,+4.42%,"5,146"
42,2357 華碩,761.00,+ 69.00,+9.97%,"5,106"
43,8131 福懋科,73.50,+ 4.30,+6.21%,"4,987"
44,3380 明泰,38.60,+ 2.50,+6.93%,"4,903"
45,2349 錸德,14.00,+ 0.35,+2.56%,"4,831"
46,2027 大成鋼,41.65,-0.10,-0.24%,"4,707"
47,2377 微星,131.00,+ 7.50,+6.07%,"4,601"
48,00900 富邦特選高股息30,18.92,+ 0.62,+3.39%,"4,525"
49,8112 至上,88.60,+ 2.60,+3.02%,"4,503"
50,00983A主動中信ARK創新,12.08,+ 0.52,+4.50%,"4,256"
