Rank,Stock,Price,Change,ChangePercent,NetSell
1,00403A主動統一升級50,10.13,-0.28,-2.69%,"-1,362,843"
2,2883 凱基金,26.75,-0.85,-3.08%,"-469,613"
3,0050 元大台灣50,100.95,-3.20,-3.07%,"-466,693"
4,00981A主動統一台股增長,29.89,-0.92,-2.99%,"-372,089"
5,2880 華南金,33.50,-1.30,-3.74%,"-330,548"
6,2892 第一金,29.10,-0.20,-0.68%,"-299,197"
7,2618 長榮航,36.40,-1.30,-3.45%,"-273,778"
8,2382 廣達,376.50,-14.00,-3.59%,"-232,304"
9,3481 群創,48.35,-5.35,-9.96%,"-229,790"
10,2002 中鋼,18.65,-0.65,-3.37%,"-195,062"
11,1101 台泥,23.85,-0.55,-2.25%,"-179,602"
12,00991A主動復華未來50,18.69,-0.53,-2.76%,"-169,025"
13,2801 彰銀,21.00,-0.45,-2.10%,"-147,824"
14,2105 正新,33.50,-0.60,-1.76%,"-106,708"
15,2330 台積電,"2,295.00",-70.00,-2.96%,"-101,330"
16,4938 和碩,92.10,-4.80,-4.95%,"-100,061"
17,00990A主動元大AI新經濟,18.90,-1.35,-6.67%,"-94,744"
18,00988A主動統一全球創新,20.25,-1.21,-5.64%,"-88,047"
19,9904 寶成,25.90,-0.55,-2.08%,"-86,965"
20,1102 亞泥,33.75,-0.65,-1.89%,"-86,808"
21,2633 台灣高鐵,25.10,-0.40,-1.57%,"-86,143"
22,1504 東元,71.60,-6.80,-8.67%,"-78,091"
23,2855 統一證,53.20,-5.90,-9.98%,"-64,976"
24,00631L元大台灣50正2,33.80,-2.87,-7.83%,"-63,474"
25,2886 兆豐金,41.20,-0.75,-1.79%,"-55,232"
26,5871 中租-KY,115.50,-2.50,-2.12%,"-55,203"
27,2912 統一超,222.00,-10.00,-4.31%,"-54,654"
28,2327 國巨*,751.00,-18.00,-2.34%,"-53,588"
29,2812 台中銀,19.05,-0.25,-1.30%,"-51,574"
30,2603 長榮,224.00,-8.00,-3.45%,"-49,323"
31,009816凱基台灣TOP50,14.68,-0.51,-3.36%,"-48,783"
32,2412 中華電,138.50,-2.50,-1.77%,"-48,509"
33,2347 聯強,85.30,-3.00,-3.40%,"-45,110"
34,2371 大同,28.85,-1.45,-4.79%,"-44,625"
35,1216 統一,72.90,-0.90,-1.22%,"-44,192"
36,5880 合庫金,23.05,-0.40,-1.71%,"-43,450"
37,2542 興富發,41.90,-1.10,-2.56%,"-42,247"
38,8150 南茂,87.20,-9.60,-9.92%,"-40,601"
39,1402 遠東新,26.75,-0.80,-2.90%,"-37,586"
40,2313 華通,252.00,-7.00,-2.70%,"-34,844"
41,1802 台玻,62.00,-5.60,-8.28%,"-33,971"
42,8112 至上,84.70,-7.90,-8.53%,"-33,114"
43,2887 台新新光金,27.75,-0.85,-2.97%,"-31,344"
44,9910 豐泰,78.50,+ 1.60,+2.08%,"-30,869"
45,2515 中工,12.95,-0.20,-1.52%,"-28,531"
46,2208 台船,17.50,-0.85,-4.63%,"-28,199"
47,4904 遠傳,101.00,-0.50,-0.49%,"-28,185"
48,9945 潤泰新,24.60,-0.55,-2.19%,"-27,749"
49,9907 統一實,16.45,-0.20,-1.20%,"-26,565"
50,1210 大成,54.00,-0.40,-0.74%,"-25,170"
