Rank,Stock,Price,Change,ChangePercent,NetSell
1,2834 臺企銀,17.00,-0.10,-0.58%,"-19,378"
2,3481 群創,48.50,+ 0.40,+0.83%,"-16,945"
3,6770 力積電,68.50,+ 0.70,+1.03%,"-16,246"
4,2409 友達,26.80,+ 0.25,+0.94%,"-14,773"
5,2481 強茂,156.00,0.00,0.00%,"-14,570"
6,2603 長榮,233.00,-6.00,-2.51%,"-8,089"
7,4958 臻鼎-KY,463.00,-1.00,-0.22%,"-7,534"
8,2801 彰銀,26.60,0.00,0.00%,"-6,872"
9,1303 南亞,225.50,+ 4.50,+2.04%,"-5,625"
10,1101 台泥,24.60,+ 0.15,+0.61%,"-5,210"
11,3006 晶豪科,278.50,+ 1.50,+0.54%,"-5,052"
12,2449 京元電子,262.00,+ 1.00,+0.38%,"-4,994"
13,2027 大成鋼,50.20,0.00,0.00%,"-4,372"
14,1314 中石化,8.12,0.00,0.00%,"-3,874"
15,8039 台虹,297.50,+ 4.50,+1.54%,"-3,816"
16,3711 日月光投控,588.00,-1.00,-0.17%,"-3,581"
17,009828中信台日韓PCB,9.43,+ 0.10,+1.07%,"-3,422"
18,00953B群益優選非投等債,9.57,+ 0.01,+0.10%,"-2,996"
19,1312 國喬,14.60,-0.30,-2.01%,"-2,967"
20,2542 興富發,48.55,-0.10,-0.21%,"-2,883"
21,00407A主動凱基台灣,9.73,+ 0.17,+1.78%,"-2,567"
22,2618 長榮航,42.50,-0.30,-0.70%,"-2,467"
23,8150 南茂,90.10,+ 1.00,+1.12%,"-2,381"
24,2323 中環,10.80,-0.05,-0.46%,"-2,346"
25,3036 文曄,192.50,+ 2.00,+1.05%,"-2,273"
26,1326 台化,69.80,+ 0.10,+0.14%,"-2,270"
27,5608 四維航,17.20,-0.25,-1.43%,"-2,199"
28,2486 一詮,256.00,-3.50,-1.35%,"-2,089"
29,2498 宏達電,41.60,0.00,0.00%,"-2,077"
30,6257 矽格,212.00,+ 3.00,+1.44%,"-2,040"
31,2897 王道銀行,10.85,-0.05,-0.46%,"-1,938"
32,6505 台塑化,78.10,+ 1.60,+2.09%,"-1,904"
33,6919 康霈*,86.40,+ 1.90,+2.25%,"-1,855"
34,5871 中租-KY,111.50,0.00,0.00%,"-1,844"
35,9105 泰金寶-DR,8.65,+ 0.11,+1.29%,"-1,820"
36,1710 東聯,15.95,-0.25,-1.54%,"-1,786"
37,1717 長興,76.10,-0.70,-0.91%,"-1,704"
38,2812 台中銀,19.35,-0.10,-0.51%,"-1,689"
39,2633 台灣高鐵,26.10,-0.10,-0.38%,"-1,675"
40,2201 裕隆,31.10,-0.30,-0.96%,"-1,656"
41,2890 永豐金,42.85,+ 0.25,+0.59%,"-1,642"
42,9933 中鼎,40.40,-0.40,-0.98%,"-1,532"
43,1102 亞泥,35.10,-0.10,-0.28%,"-1,502"
44,1802 台玻,59.10,+ 0.50,+0.85%,"-1,489"
45,3030 德律,284.00,-9.50,-3.24%,"-1,471"
46,2368 金像電,"1,045.00",-55.00,-5.00%,"-1,463"
47,1440 南紡,13.90,-0.30,-2.11%,"-1,444"
48,8112 至上,90.50,+ 1.20,+1.34%,"-1,420"
49,2845 遠東銀,13.65,0.00,0.00%,"-1,406"
50,1909 榮成,11.00,-0.15,-1.35%,"-1,405"
