名次,股票名稱,收盤價,漲跌,漲跌幅,4日買進張數,4日賣出張數,4日買賣超張數
1,3481 群創,14.35,0.15,1.06%,"129,759","55,144","74,614"
2,2303 聯電,48.00,0.50,1.05%,"98,960","32,801","66,158"
3,00878 國泰永續高股息,21.12,0.07,0.33%,"84,484","28,719","55,765"
4,2882 國泰金,69.00,1.40,2.07%,"92,007","37,357","54,650"
5,2887 台新新光金,19.15,0.40,2.13%,"189,600","143,687","45,913"
6,00712 復華富時不動產,9.30,0.03,0.32%,"75,205","40,490","34,715"
7,00900 富邦特選高股息30,13.23,-0.02,-0.15%,"57,466","26,565","30,900"
8,2880 華南金,30.75,0.50,1.65%,"45,403","18,779","26,623"
9,2002 中鋼,18.90,-0.15,-0.79%,"51,248","27,255","23,992"
10,2605 新興,31.55,2.85,9.93%,"39,854","16,150","23,703"
11,2356 英業達,46.05,0.95,2.11%,"32,144","13,270","18,873"
12,2889 國票金,17.25,0.10,0.58%,"33,969","15,399","18,570"
13,2891 中信金,44.35,0.65,1.49%,"62,683","44,968","17,715"
14,00940 元大台灣價值高息,9.29,0.00,0.00%,"38,124","21,323","16,800"
15,2883 凱基金,16.00,0.15,0.95%,"55,130","38,497","16,633"
16,2382 廣達,294.50,2.00,0.68%,"32,872","16,875","15,997"
17,2867 三商壽,7.26,-0.03,-0.41%,"41,552","25,647","15,904"
18,2027 大成鋼,38.85,0.30,0.78%,"35,600","20,042","15,558"
19,3037 欣興,198.50,2.00,1.02%,"42,176","28,201","13,974"
20,0056 元大高股息,36.40,0.09,0.25%,"32,968","19,051","13,916"
21,00941 中信上游半導體,17.29,0.19,1.11%,"22,643","9,413","13,230"
22,2885 元大金,37.30,0.75,2.05%,"56,153","43,090","13,062"
23,1301 台塑,42.80,-1.05,-2.39%,"33,436","22,100","11,335"
24,2344 華邦電,57.80,2.00,3.58%,"81,429","70,174","11,254"
25,2884 玉山金,30.80,0.40,1.32%,"57,839","47,196","10,643"
26,2009 第一銅,47.75,4.30,9.90%,"17,141","6,542","10,599"
27,5608 四維航,20.75,1.85,9.79%,"16,900","6,581","10,318"
28,9904 寶成,31.40,0.00,0.00%,"20,263","10,275","9,988"
29,2834 臺企銀,16.00,0.15,0.95%,"27,835","18,221","9,613"
30,2890 永豐金,27.35,0.10,0.37%,"40,532","31,493","9,039"
31,3231 緯創,146.00,1.00,0.69%,"45,308","36,694","8,613"
32,2606 裕民,69.60,6.30,9.95%,"22,892","14,730","8,162"
33,00919 群益台灣精選高息,21.83,0.15,0.69%,"63,861","56,869","6,992"
34,2406 國碩,23.35,2.00,9.37%,"12,482","5,626","6,856"
35,00939 統一台灣高息動能,14.10,0.08,0.57%,"19,652","13,353","6,299"
36,00915 凱基優選高股息30,22.33,0.23,1.04%,"10,870","4,724","6,145"
37,00885 富邦越南,17.18,-0.02,-0.12%,"13,964","8,018","5,945"
38,2324 仁寶,30.40,0.25,0.83%,"26,153","20,253","5,900"
39,2881 富邦金,94.70,1.60,1.72%,"35,710","29,963","5,747"
40,3189 景碩,148.00,0.00,0.00%,"19,054","13,320","5,733"
41,00830 國泰費城半導體,58.50,0.20,0.34%,"22,532","16,882","5,649"
42,00929 復華台灣科技優息,17.75,0.00,0.00%,"18,211","12,622","5,588"
43,2308 台達電,999.00,2.00,0.20%,"16,063","10,804","5,258"
44,2637 慧洋-KY,73.60,4.50,6.51%,"17,001","11,861","5,139"
45,1313 聯成,11.45,0.15,1.33%,"14,458","9,449","5,008"
46,2327 國巨*,236.00,3.50,1.51%,"21,885","16,951","4,933"
47,00882 中信中國高股息,15.46,-0.05,-0.32%,"21,880","17,094","4,786"
48,2454 聯發科,"1,405.00",5.00,0.36%,"15,166","10,480","4,685"
49,00713 元大台灣高息低波,50.45,0.10,0.20%,"10,997","6,581","4,416"
