Rank,Stock,Price,Change,ChangePercent,NetBuy
1,2303 聯電,126.00,-2.00,-1.56%,"51,566"
2,2002 中鋼,19.25,+ 0.10,+0.52%,"47,898"
3,3481 群創,47.35,-2.15,-4.34%,"38,409"
4,3231 緯創,177.00,-2.00,-1.12%,"36,069"
5,2618 長榮航,41.95,+ 1.25,+3.07%,"35,262"
6,2834 臺企銀,18.20,+ 0.20,+1.11%,"31,915"
7,2812 台中銀,20.75,+ 0.30,+1.47%,"25,304"
8,2890 永豐金,39.60,+ 1.05,+2.72%,"24,607"
9,1303 南亞,174.00,-3.50,-1.97%,"22,193"
10,2883 凱基金,30.70,+ 0.05,+0.16%,"22,112"
11,2412 中華電,140.50,+ 1.50,+1.08%,"20,370"
12,2887 台新新光金,34.95,+ 0.80,+2.34%,"20,221"
13,5880 合庫金,25.95,+ 0.30,+1.17%,"20,198"
14,1402 遠東新,27.45,+ 0.10,+0.37%,"19,550"
15,2867 三商壽,9.31,+ 0.03,+0.32%,"17,455"
16,00992A主動群益科技創新,15.77,+ 0.10,+0.64%,"17,044"
17,1101 台泥,24.40,+ 0.60,+2.52%,"16,909"
18,2884 玉山金,36.40,+ 0.45,+1.25%,"16,457"
19,3045 台灣大,113.50,0.00,0.00%,"15,804"
20,4904 遠傳,107.50,+ 2.00,+1.90%,"13,834"
21,2610 華航,21.25,+ 0.75,+3.66%,"13,394"
22,2609 陽明,51.10,-0.40,-0.78%,"9,943"
23,5876 上海商銀,47.00,+ 0.85,+1.84%,"9,467"
24,1718 中纖,10.25,-0.75,-6.82%,"8,610"
25,2481 強茂,137.00,-3.00,-2.14%,"8,290"
26,4938 和碩,87.40,-1.00,-1.13%,"8,083"
27,2615 萬海,84.00,-3.00,-3.45%,"7,457"
28,2845 遠東銀,13.40,+ 0.05,+0.37%,"7,400"
29,2897 王道銀行,10.30,+ 0.15,+1.48%,"6,668"
30,2327 國巨*,625.00,-17.00,-2.65%,"6,151"
31,2881 富邦金,130.00,+ 2.50,+1.96%,"5,934"
32,2892 第一金,34.80,+ 0.50,+1.46%,"5,567"
33,2324 仁寶,37.15,-0.05,-0.13%,"5,321"
34,2027 大成鋼,44.55,+ 1.00,+2.30%,"5,207"
35,2882 國泰金,98.50,+ 1.50,+1.55%,"4,513"
36,1714 和桐,14.45,-0.45,-3.02%,"4,463"
37,8039 台虹,216.00,-24.00,-10.00%,"4,170"
38,2889 國票金,15.70,-0.05,-0.32%,"3,800"
39,2603 長榮,203.50,-2.50,-1.21%,"3,715"
40,5388 中磊,90.60,+ 1.90,+2.14%,"3,577"
41,00712 復華富時不動產,8.84,+ 0.06,+0.68%,"3,558"
42,2801 彰銀,24.70,+ 0.35,+1.44%,"3,528"
43,2885 元大金,64.70,+ 1.60,+2.54%,"3,164"
44,00680L元大美債20正2,6.69,+ 0.10,+1.52%,"3,099"
45,2489 瑞軒,30.05,-0.05,-0.17%,"3,076"
46,009819中信數據及電力,10.05,+ 0.01,+0.10%,"2,986"
47,9945 潤泰新,26.35,+ 0.25,+0.96%,"2,948"
48,1102 亞泥,33.10,+ 0.35,+1.07%,"2,787"
49,2903 遠百,22.30,+ 0.05,+0.22%,"2,601"
50,4919 新唐,132.50,-3.00,-2.21%,"2,586"
