Rank,Stock,Price,Change,ChangePercent,NetBuy
1,2887 台新新光金,23.10,-0.05,-0.22%,"157,815"
2,2409 友達,19.55,-0.65,-3.22%,"143,027"
3,009820元大納斯達克精選,10.04,+ 0.02,+0.20%,"87,265"
4,2356 英業達,53.20,+ 0.40,+0.76%,"67,601"
5,2344 華邦電,134.00,+ 12.00,+9.84%,"55,659"
6,00919 群益台灣精選高息,25.89,+ 0.34,+1.33%,"49,401"
7,2317 鴻海,244.50,-6.50,-2.59%,"31,714"
8,2027 大成鋼,39.80,+ 1.70,+4.46%,"30,728"
9,2892 第一金,29.50,0.00,0.00%,"29,739"
10,2337 旺宏,169.00,+ 1.00,+0.60%,"25,393"
11,2324 仁寶,30.25,-1.05,-3.35%,"21,322"
12,00918 大華優利高填息30,25.87,+ 0.39,+1.53%,"20,798"
13,2408 南亞科,341.00,+ 20.00,+6.23%,"20,109"
14,2481 強茂,115.50,-5.50,-4.55%,"19,206"
15,1216 統一,74.80,-0.40,-0.53%,"19,189"
16,2301 光寶科,207.00,-4.50,-2.13%,"18,868"
17,3045 台灣大,115.00,+ 3.00,+2.68%,"16,873"
18,5876 上海商銀,40.30,0.00,0.00%,"15,067"
19,2367 燿華,65.00,+ 3.80,+6.21%,"14,673"
20,00953B群益優選非投等債,9.57,+ 0.01,+0.10%,"14,665"
21,2606 裕民,64.60,+ 0.30,+0.47%,"13,814"
22,2303 聯電,108.00,+ 9.60,+9.76%,"13,673"
23,2881 富邦金,94.60,-0.10,-0.11%,"12,895"
24,3048 益登,51.00,+ 4.55,+9.80%,"12,837"
25,1714 和桐,10.00,+ 0.11,+1.11%,"12,422"
26,2492 華新科,220.00,+ 20.00,+10.00%,"10,764"
27,2355 敬鵬,53.90,+ 2.60,+5.07%,"10,454"
28,00900 富邦特選高股息30,17.07,+ 0.07,+0.41%,"10,145"
29,2542 興富發,43.15,+ 0.45,+1.05%,"9,618"
30,3006 晶豪科,238.00,+ 21.50,+9.93%,"9,502"
31,1605 華新,35.60,+ 0.40,+1.14%,"8,801"
32,4958 臻鼎-KY,436.50,-6.00,-1.36%,"8,547"
33,3033 威健,46.40,+ 3.45,+8.03%,"8,289"
34,1402 遠東新,26.75,0.00,0.00%,"8,201"
35,3042 晶技,149.50,+ 3.00,+2.05%,"7,898"
36,2485 兆赫,70.70,+ 3.50,+5.21%,"7,446"
37,009816凱基台灣TOP50,13.90,0.00,0.00%,"7,225"
38,2313 華通,245.50,+ 8.50,+3.59%,"7,148"
39,2412 中華電,137.50,0.00,0.00%,"7,010"
40,6116 彩晶,10.40,-0.85,-7.56%,"6,951"
41,00983A主動中信ARK創新,11.71,-0.08,-0.68%,"6,872"
42,2376 技嘉,327.00,+ 13.50,+4.31%,"6,824"
43,2363 矽統,63.00,+ 3.10,+5.18%,"6,805"
44,3034 聯詠,493.00,+ 6.50,+1.34%,"6,780"
45,3450 聯鈞,422.00,-19.00,-4.31%,"6,750"
46,3576 聯合再生,17.70,-0.55,-3.01%,"6,541"
47,8926 台汽電,57.60,+ 0.90,+1.59%,"6,481"
48,3189 景碩,522.00,+ 24.50,+4.92%,"6,449"
49,6285 啟碁,262.00,-8.50,-3.14%,"6,345"
50,00945B凱基美國非投等債,14.46,+ 0.01,+0.07%,"6,069"
