名次,股票名稱,收盤價,漲跌,漲跌幅,20日買進張數,20日賣出張數,20日買賣超張數
1,00712 復華富時不動產,9.30,0.03,0.32%,"322,289","173,458","148,830"
2,1303 南亞,63.40,-4.30,-6.35%,"539,217","392,566","146,651"
3,2867 三商壽,7.26,-0.03,-0.41%,"299,230","188,930","110,299"
4,2303 聯電,48.00,0.50,1.05%,"338,383","260,451","77,932"
5,00882 中信中國高股息,15.46,-0.05,-0.32%,"159,901","88,430","71,470"
6,1301 台塑,42.80,-1.05,-2.39%,"184,936","121,164","63,772"
7,2891 中信金,44.35,0.65,1.49%,"367,785","304,329","63,455"
8,3481 群創,14.35,0.15,1.06%,"351,031","289,305","61,726"
9,2890 永豐金,27.35,0.10,0.37%,"284,444","222,949","61,494"
10,2834 臺企銀,16.00,0.15,0.95%,"158,964","98,481","60,482"
11,3037 欣興,198.50,2.00,1.02%,"187,419","130,363","57,056"
12,2881 富邦金,94.70,1.60,1.72%,"454,460","397,540","56,920"
13,2882 國泰金,69.00,1.40,2.07%,"289,501","242,780","46,721"
14,00680L元大美債20正2,7.45,-0.03,-0.40%,"304,957","259,286","45,671"
15,2889 國票金,17.25,0.10,0.58%,"104,340","61,896","42,444"
16,00919 群益台灣精選高息,21.83,0.15,0.69%,"458,873","417,864","41,008"
17,2885 元大金,37.30,0.75,2.05%,"300,228","259,823","40,405"
18,00941 中信上游半導體,17.29,0.19,1.11%,"94,083","54,292","39,790"
19,2605 新興,31.55,2.85,9.93%,"72,451","38,273","34,177"
20,2883 凱基金,16.00,0.15,0.95%,"288,975","256,415","32,559"
21,2880 華南金,30.75,0.50,1.65%,"149,039","116,690","32,348"
22,1326 台化,34.45,-1.15,-3.23%,"183,493","151,812","31,681"
23,1409 新纖,15.45,-0.25,-1.59%,"73,676","43,661","30,014"
24,00637L元大滬深300正2,19.77,-0.11,-0.55%,"261,189","231,736","29,452"
25,9904 寶成,31.40,0.00,0.00%,"97,712","69,175","28,536"
26,00885 富邦越南,17.18,-0.02,-0.12%,"65,413","39,599","25,813"
27,00985B群益ESG投等債0-5,10.24,-0.02,-0.19%,"144,644","119,015","25,628"
28,2515 中工,13.90,0.00,0.00%,"135,857","110,642","25,215"
29,2027 大成鋼,38.85,0.30,0.78%,"133,041","108,615","24,426"
30,6505 台塑化,53.40,0.10,0.19%,"93,404","69,653","23,750"
31,2606 裕民,69.60,6.30,9.95%,"69,970","47,544","22,426"
32,8150 南茂,43.80,-0.05,-0.11%,"142,689","121,981","20,708"
33,00915 凱基優選高股息30,22.33,0.23,1.04%,"45,144","24,723","20,420"
34,1402 遠東新,28.90,-0.15,-0.52%,"111,607","95,346","16,261"
35,00713 元大台灣高息低波,50.45,0.10,0.20%,"64,574","48,938","15,635"
36,2486 一詮,93.90,-0.20,-0.21%,"75,288","59,840","15,448"
37,2903 遠百,23.95,-0.35,-1.44%,"52,635","37,457","15,177"
38,6005 群益證,25.40,0.25,0.99%,"55,802","40,819","14,983"
39,00632R元大台灣50反1,17.15,-0.01,-0.06%,"335,601","321,188","14,413"
40,2633 台灣高鐵,27.90,-0.10,-0.36%,"55,769","41,420","14,348"
41,00961 FT臺灣永續高息,9.47,0.02,0.21%,"44,527","30,352","14,175"
42,00940 元大台灣價值高息,9.29,0.00,0.00%,"207,395","193,238","14,157"
43,5608 四維航,20.75,1.85,9.79%,"33,861","21,147","12,714"
44,3189 景碩,148.00,0.00,0.00%,"78,596","66,046","12,550"
45,3715 定穎投控,111.50,-3.00,-2.62%,"150,266","137,787","12,479"
46,00945B凱基美國非投等債,14.49,-0.01,-0.07%,"70,661","58,266","12,395"
47,1102 亞泥,38.75,-0.20,-0.51%,"64,118","52,108","12,010"
48,8039 台虹,78.00,-1.30,-1.64%,"70,822","58,929","11,892"
49,00902 中信電池及儲能,13.05,-0.07,-0.53%,"44,898","33,081","11,816"
