Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetSell
1,00685L群益臺灣加權正2,12.15,+ 0.43,+3.67%,"230,224","923,815","-693,591"
2,00403A主動統一升級50,10.41,+ 0.30,+2.97%,"286,931","598,800","-311,868"
3,00991A主動復華未來50,19.13,+ 0.69,+3.74%,"98,824","336,838","-238,013"
4,00631L元大台灣50正2,37.04,+ 1.16,+3.23%,"148,620","359,069","-210,449"
5,00407A主動凱基台灣,9.34,+ 0.31,+3.43%,"80,577","288,323","-207,746"
6,009816凱基台灣TOP50,15.29,+ 0.32,+2.14%,"147,079","354,359","-207,280"
7,00981A主動統一台股增長,29.38,+ 0.98,+3.45%,"202,841","403,821","-200,980"
8,0050 元大台灣50,106.30,+ 1.90,+1.82%,"130,614","303,708","-173,093"
9,00405A主動富邦台灣龍耀,8.62,+ 0.33,+3.98%,"92,872","261,619","-168,746"
10,00927 群益半導體收益,41.29,+ 1.29,+3.23%,"44,423","204,399","-159,975"
11,0056 元大高股息,53.00,+ 1.25,+2.42%,"57,613","174,775","-117,162"
12,00961 FT臺灣永續高息,12.75,+ 0.14,+1.11%,"24,352","118,507","-94,154"
13,1314 中石化,8.86,+ 0.12,+1.37%,"74,086","154,399","-80,312"
14,00400A主動國泰動能高息,14.15,+ 0.44,+3.21%,"57,925","126,749","-68,824"
15,00929 復華台灣科技優息,30.12,+ 0.62,+2.10%,"26,487","95,186","-68,699"
16,00988A主動統一全球創新,19.21,+ 0.72,+3.89%,"55,292","121,019","-65,727"
17,3481 群創,58.50,+ 1.30,+2.27%,"129,306","193,237","-63,930"
18,00992A主動群益科技創新,17.49,+ 0.48,+2.82%,"28,491","90,207","-61,715"
19,1409 新纖,25.90,-0.50,-1.89%,"21,843","82,105","-60,261"
20,00984A主動安聯台灣高息,16.30,+ 0.42,+2.64%,"18,586","77,112","-58,526"
21,2891 中信金,63.50,-1.50,-2.31%,"129,084","184,131","-55,046"
22,3231 緯創,145.50,+ 3.00,+2.11%,"29,884","82,098","-52,213"
23,2412 中華電,133.00,0.00,0.00%,"44,241","91,176","-46,934"
24,1101 台泥,23.55,+ 0.85,+3.74%,"38,617","75,470","-36,852"
25,00406A主動中信台灣收益,9.76,+ 0.32,+3.39%,"25,620","57,277","-31,657"
26,2834 臺企銀,17.85,+ 0.20,+1.13%,"68,443","97,661","-29,217"
27,2356 英業達,61.10,-0.60,-0.97%,"58,851","87,534","-28,682"
28,2330 台積電,"2,440.00",+ 20.00,+0.83%,"30,089","55,832","-25,743"
29,00982A主動群益台灣強棒,23.67,+ 0.71,+3.09%,"25,264","50,065","-24,800"
30,2353 宏碁,31.05,+ 0.30,+0.98%,"70,757","94,431","-23,674"
31,6005 群益證,34.40,+ 0.30,+0.88%,"9,563","32,486","-22,923"
32,1102 亞泥,34.80,+ 0.60,+1.75%,"47,029","69,591","-22,561"
33,2352 佳世達,31.50,+ 0.90,+2.94%,"11,577","33,671","-22,094"
34,00990A主動元大AI新經濟,18.16,+ 0.79,+4.55%,"45,230","67,052","-21,821"
35,00892 富邦台灣半導體,43.18,+ 1.08,+2.57%,"10,777","32,001","-21,223"
36,2449 京元電子,307.00,+ 15.50,+5.32%,"19,095","38,982","-19,886"
37,2002 中鋼,18.65,+ 0.15,+0.81%,"43,401","63,240","-19,838"
38,00919 群益台灣精選高息,29.77,+ 0.35,+1.19%,"103,929","123,592","-19,663"
39,1326 台化,70.80,+ 3.80,+5.67%,"58,903","78,358","-19,455"
40,00997A主動群益美國增長,12.34,+ 0.36,+3.01%,"34,197","53,432","-19,235"
41,1802 台玻,63.20,+ 0.90,+1.44%,"24,735","43,816","-19,080"
42,8112 至上,87.60,+ 2.20,+2.58%,"12,191","28,239","-16,047"
43,2303 聯電,166.00,+ 15.00,+9.93%,"129,765","145,156","-15,391"
44,1504 東元,69.00,+ 5.40,+8.49%,"17,244","32,512","-15,268"
45,009804聯邦台精彩50,23.77,+ 0.68,+2.94%,"9,149","24,391","-15,242"
46,1717 長興,71.50,+ 1.50,+2.14%,"8,657","23,731","-15,074"
47,1714 和桐,16.70,-0.35,-2.05%,"25,620","40,434","-14,813"
48,2609 陽明,50.20,+ 2.20,+4.58%,"32,755","47,546","-14,790"
49,1402 遠東新,27.55,+ 1.20,+4.55%,"85,720","99,841","-14,120"
50,00935 野村臺灣新科技50,58.45,+ 1.80,+3.18%,"16,125","30,154","-14,028"
