名次,股票名稱,收盤價,漲跌,漲跌幅,3日買進張數,3日賣出張數,3日買賣超張數
1,00715L期街口布蘭特正2,10.43,-0.09,-0.86%,"172,781","44,726","128,055"
2,1802 台玻,37.10,1.85,5.25%,"97,839","55,216","42,623"
3,3481 群創,14.00,0.40,2.94%,"87,288","48,891","38,396"
4,2303 聯電,47.20,0.70,1.51%,"58,304","22,714","35,589"
5,00712 復華富時不動產,9.28,0.03,0.32%,"63,080","31,631","31,449"
6,00878 國泰永續高股息,21.01,0.15,0.72%,"52,926","23,104","29,821"
7,00900 富邦特選高股息30,13.25,-0.03,-0.23%,"43,149","20,567","22,581"
8,2867 三商壽,7.32,0.05,0.69%,"44,674","23,376","21,298"
9,00891 中信關鍵半導體,19.23,0.04,0.21%,"34,020","14,506","19,513"
10,00632R元大台灣50反1,17.30,-0.06,-0.35%,"54,725","35,596","19,129"
11,2880 華南金,30.20,0.75,2.55%,"35,318","16,752","18,566"
12,2884 玉山金,30.85,0.30,0.98%,"49,246","31,855","17,391"
13,2889 國票金,17.15,0.15,0.88%,"27,688","11,634","16,053"
14,2002 中鋼,18.85,0.25,1.34%,"31,466","16,435","15,031"
15,2882 國泰金,66.60,1.80,2.78%,"54,396","40,211","14,184"
16,1301 台塑,43.45,1.55,3.70%,"26,009","12,971","13,037"
17,2454 聯發科,"1,415.00",-30.00,-2.08%,"19,346","8,124","11,221"
18,3037 欣興,196.00,-1.00,-0.51%,"32,833","22,353","10,479"
19,00940 元大台灣價值高息,9.25,0.00,0.00%,"24,898","15,227","9,670"
20,2891 中信金,44.10,0.70,1.61%,"48,593","39,478","9,114"
21,1303 南亞,64.40,3.30,5.40%,"74,998","66,022","8,975"
22,1304 台聚,12.25,1.10,9.87%,"16,349","7,658","8,691"
23,2605 新興,28.20,0.85,3.11%,"15,918","8,678","7,240"
24,2890 永豐金,27.50,0.60,2.23%,"31,099","24,021","7,078"
25,9904 寶成,31.00,-0.10,-0.32%,"15,107","8,108","6,998"
26,2382 廣達,288.50,1.50,0.52%,"19,920","13,515","6,404"
27,1402 遠東新,29.00,0.40,1.40%,"16,072","10,318","5,754"
28,8039 台虹,81.00,-1.60,-1.94%,"26,424","20,867","5,556"
29,2027 大成鋼,38.45,0.05,0.13%,"32,951","27,521","5,429"
30,1326 台化,35.45,1.80,5.35%,"16,624","11,235","5,388"
31,3535 晶彩科,89.80,-1.80,-1.97%,"10,858","5,492","5,366"
32,00637L元大滬深300正2,19.96,0.07,0.35%,"25,220","19,973","5,247"
33,2834 臺企銀,15.90,0.10,0.63%,"18,846","13,646","5,200"
34,6153 嘉聯益,15.90,-0.25,-1.55%,"7,745","3,151","4,594"
35,00753L中信中國50正2,12.79,0.11,0.87%,"21,176","17,120","4,055"
36,00882 中信中國高股息,15.52,0.18,1.17%,"16,323","12,371","3,951"
37,00885 富邦越南,16.96,-0.12,-0.70%,"9,358","5,438","3,919"
38,1313 聯成,11.30,0.60,5.61%,"11,195","7,373","3,822"
39,00642U期元大S＆P石油,15.52,-0.06,-0.39%,"7,957","4,146","3,811"
40,00941 中信上游半導體,16.80,0.14,0.84%,"6,771","3,135","3,635"
41,1308 亞聚,14.55,1.30,9.81%,"6,818","3,457","3,361"
42,00915 凱基優選高股息30,22.14,0.20,0.91%,"6,170","2,968","3,201"
43,00830 國泰費城半導體,57.15,1.20,2.14%,"8,079","4,886","3,192"
44,2637 慧洋-KY,69.50,0.60,0.87%,"10,886","8,001","2,884"
45,2308 台達電,989.00,16.00,1.64%,"13,287","10,406","2,881"
46,5608 四維航,18.85,0.35,1.89%,"6,048","3,276","2,772"
47,2006 東和鋼鐵,71.40,0.90,1.28%,"6,093","3,331","2,761"
48,00929 復華台灣科技優息,17.63,0.02,0.11%,"13,261","10,618","2,642"
49,009802富邦旗艦50,10.88,0.05,0.46%,"7,611","5,193","2,417"
50,00713 元大台灣高息低波,50.30,0.15,0.30%,"6,788","4,387","2,400"
