Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetSell
1,00406A主動中信台灣收益,9.66,+ 0.25,+2.66%,"145,644","616,807","-471,163"
2,00981A主動統一台股增長,29.44,+ 0.67,+2.33%,"173,102","242,856","-69,753"
3,00984D主動聯博全球非投,10.07,+ 0.03,+0.30%,"38,354","96,556","-58,202"
4,00953B群益優選非投等債,9.70,+ 0.02,+0.21%,"73,451","119,240","-45,788"
5,3481 群創,46.40,-0.40,-0.85%,"59,258","101,711","-42,453"
6,2317 鴻海,246.50,+ 3.50,+1.44%,"28,662","63,033","-34,371"
7,00400A主動國泰動能高息,14.71,+ 0.33,+2.29%,"35,731","66,186","-30,454"
8,00991A主動復華未來50,18.02,+ 0.39,+2.21%,"166,611","195,982","-29,370"
9,009826貝萊德世界股票,10.16,+ 0.02,+0.20%,"29,683","58,605","-28,921"
10,00881 國泰台灣科技龍頭,49.53,+ 1.03,+2.12%,"41,348","68,058","-26,710"
11,2409 友達,25.50,-0.15,-0.58%,"48,749","71,700","-22,950"
12,00673R期元大S＆P原油反1,12.80,+ 0.58,+4.75%,"41,893","64,273","-22,380"
13,2834 臺企銀,16.45,+ 0.10,+0.61%,"56,134","78,433","-22,298"
14,2492 華新科,269.50,+ 1.50,+0.56%,"9,515","31,754","-22,238"
15,00961 FT臺灣永續高息,13.16,+ 0.04,+0.30%,"16,164","38,049","-21,884"
16,3231 緯創,182.00,+ 3.50,+1.96%,"31,102","52,881","-21,778"
17,009816凱基台灣TOP50,15.43,+ 0.22,+1.45%,"114,837","134,384","-19,546"
18,00929 復華台灣科技優息,28.98,+ 0.45,+1.58%,"25,493","44,586","-19,092"
19,6770 力積電,70.20,+ 1.20,+1.74%,"104,396","123,366","-18,969"
20,2885 元大金,62.80,+ 0.40,+0.64%,"33,928","50,423","-16,495"
21,2634 漢翔,69.00,+ 2.30,+3.45%,"35,377","50,376","-14,999"
22,2327 國巨*,537.00,-7.00,-1.29%,"11,880","25,265","-13,384"
23,00990A主動元大AI新經濟,15.24,+ 0.14,+0.93%,"15,515","28,640","-13,124"
24,00405A主動富邦台灣龍耀,8.63,+ 0.30,+3.60%,"99,252","112,238","-12,986"
25,00918 大華優利高填息30,34.18,+ 0.29,+0.86%,"15,390","27,625","-12,234"
26,2891 中信金,64.60,+ 0.10,+0.16%,"69,906","82,018","-12,112"
27,00712 復華富時不動產,8.84,-0.03,-0.34%,"30,144","41,409","-11,264"
28,00830 國泰費城半導體,82.20,-0.05,-0.06%,"9,578","20,163","-10,584"
29,00664R國泰臺灣加權反1,1.61,-0.04,-2.42%,"60,290","70,641","-10,350"
30,2605 新興,34.85,-1.85,-5.04%,"17,511","27,305","-9,793"
31,009805台新美國電力基建,15.18,-0.07,-0.46%,"7,296","16,741","-9,445"
32,5608 四維航,17.05,-1.05,-5.80%,"21,209","30,620","-9,411"
33,009819中信數據及電力,9.81,+ 0.01,+0.10%,"5,756","14,916","-9,159"
34,2892 第一金,33.40,-0.40,-1.18%,"86,467","95,097","-8,630"
35,00988A主動統一全球創新,16.23,+ 0.10,+0.62%,"40,912","49,465","-8,552"
36,6505 台塑化,70.40,-0.60,-0.85%,"24,027","32,567","-8,539"
37,00632R元大台灣50反1,9.99,-0.17,-1.67%,"218,284","226,180","-7,895"
38,4763 材料*-KY,46.60,+ 1.65,+3.67%,"9,018","16,843","-7,825"
39,2886 兆豐金,46.60,-0.40,-0.85%,"76,803","84,484","-7,681"
40,00637L元大滬深300正2,20.12,+ 0.30,+1.51%,"31,431","38,705","-7,274"
41,3605 宏致,112.00,-4.50,-3.86%,"7,787","15,006","-7,218"
42,00878 國泰永續高股息,32.82,+ 0.18,+0.55%,"40,337","47,508","-7,171"
43,2359 所羅門,146.50,+ 1.50,+1.03%,"3,674","10,258","-6,584"
44,00982A主動群益台灣強棒,22.19,+ 0.54,+2.49%,"36,507","43,023","-6,515"
45,2332 友訊,20.00,-0.10,-0.50%,"7,102","13,606","-6,503"
46,3702 大聯大,108.00,-2.00,-1.82%,"20,621","26,934","-6,313"
47,2377 微星,146.00,+ 2.00,+1.39%,"10,669","16,825","-6,156"
48,2890 永豐金,39.15,-0.15,-0.38%,"31,982","37,941","-5,958"
49,5388 中磊,77.40,+ 0.30,+0.39%,"2,921","8,843","-5,922"
50,00985B群益ESG投等債0-5,10.26,+ 0.01,+0.10%,"19,834","25,691","-5,857"
