名次,股票名稱,收盤價,漲跌,漲跌幅,30日買進張數,30日賣出張數,30日買賣超張數
1,00940 元大台灣價值高息,9.29,0.00,0.00%,"720,128","333,167","386,960"
2,00919 群益台灣精選高息,21.83,0.15,0.69%,"831,690","582,530","249,159"
3,2515 中工,13.90,0.00,0.00%,"355,340","202,054","153,285"
4,00712 復華富時不動產,9.30,0.03,0.32%,"421,161","280,781","140,379"
5,1303 南亞,63.40,-4.30,-6.35%,"615,851","484,691","131,160"
6,2303 聯電,48.00,0.50,1.05%,"532,493","404,785","127,707"
7,00929 復華台灣科技優息,17.75,0.00,0.00%,"389,887","266,962","122,925"
8,00882 中信中國高股息,15.46,-0.05,-0.32%,"244,647","127,756","116,891"
9,2867 三商壽,7.26,-0.03,-0.41%,"469,524","357,598","111,926"
10,6770 力積電,32.30,0.20,0.62%,"1,106,416","1,016,095","90,320"
11,2890 永豐金,27.35,0.10,0.37%,"404,428","318,200","86,227"
12,3037 欣興,198.50,2.00,1.02%,"270,613","189,581","81,031"
13,2883 凱基金,16.00,0.15,0.95%,"437,386","360,325","77,061"
14,2834 臺企銀,16.00,0.15,0.95%,"231,069","156,374","74,694"
15,00941 中信上游半導體,17.29,0.19,1.11%,"158,465","83,913","74,552"
16,2881 富邦金,94.70,1.60,1.72%,"522,841","452,485","70,355"
17,2885 元大金,37.30,0.75,2.05%,"387,079","323,251","63,827"
18,2891 中信金,44.35,0.65,1.49%,"496,502","439,513","56,988"
19,00939 統一台灣高息動能,14.10,0.08,0.57%,"129,713","73,478","56,235"
20,2889 國票金,17.25,0.10,0.58%,"130,186","75,706","54,479"
21,00637L元大滬深300正2,19.77,-0.11,-0.55%,"414,084","360,377","53,707"
22,00713 元大台灣高息低波,50.45,0.10,0.20%,"121,688","76,082","45,606"
23,3481 群創,14.35,0.15,1.06%,"450,243","409,277","40,966"
24,2880 華南金,30.75,0.50,1.65%,"198,282","159,753","38,528"
25,00680L元大美債20正2,7.45,-0.03,-0.40%,"447,444","409,393","38,051"
26,00915 凱基優選高股息30,22.33,0.23,1.04%,"74,198","37,947","36,251"
27,00961 FT臺灣永續高息,9.47,0.02,0.21%,"83,996","49,407","34,589"
28,2605 新興,31.55,2.85,9.93%,"82,472","49,501","32,971"
29,6505 台塑化,53.40,0.10,0.19%,"122,785","92,029","30,755"
30,00642U期元大S＆P石油,15.47,0.11,0.72%,"108,655","78,136","30,518"
31,00934 中信成長高股息,20.60,-0.05,-0.24%,"69,026","39,352","29,674"
32,1301 台塑,42.80,-1.05,-2.39%,"231,748","202,300","29,447"
33,2882 國泰金,69.00,1.40,2.07%,"350,888","323,973","26,914"
34,1409 新纖,15.45,-0.25,-1.59%,"92,245","66,805","25,440"
35,00927 群益半導體收益,20.60,-0.11,-0.53%,"67,165","42,924","24,240"
36,5521 工信,15.30,0.25,1.66%,"80,909","57,510","23,399"
37,00902 中信電池及儲能,13.05,-0.07,-0.53%,"73,757","52,664","21,093"
38,00985B群益ESG投等債0-5,10.24,-0.02,-0.19%,"213,654","192,594","21,060"
39,00936 台新永續高息中小,15.76,0.06,0.38%,"51,850","31,582","20,268"
40,00885 富邦越南,17.18,-0.02,-0.12%,"98,703","79,425","19,277"
41,8112 至上,68.90,-0.50,-0.72%,"172,605","154,132","18,473"
42,2633 台灣高鐵,27.90,-0.10,-0.36%,"73,881","55,630","18,250"
43,1326 台化,34.45,-1.15,-3.23%,"215,425","197,488","17,936"
44,009802富邦旗艦50,10.95,0.05,0.46%,"73,622","57,401","16,221"
45,2337 旺宏,32.90,0.10,0.30%,"772,454","756,509","15,945"
46,00945B凱基美國非投等債,14.49,-0.01,-0.07%,"104,648","89,408","15,240"
47,2606 裕民,69.60,6.30,9.95%,"79,225","64,013","15,211"
48,6005 群益證,25.40,0.25,0.99%,"75,278","61,390","13,888"
49,2027 大成鋼,38.85,0.30,0.78%,"158,440","144,840","13,600"
