Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetBuy
1,00940 元大台灣價值高息,9.43,-0.28,-2.88%,"1,213,636","383,187","830,448"
2,2883 凱基金,19.55,-0.85,-4.17%,"723,429","386,576","336,852"
3,00680L元大美債20正2,7.31,-0.13,-1.75%,"610,947","314,146","296,800"
4,00929 復華台灣科技優息,18.69,-0.74,-3.81%,"521,998","263,169","258,829"
5,0056 元大高股息,37.58,-1.05,-2.72%,"592,929","408,020","184,908"
6,3481 群創,27.80,+ 0.30,+1.09%,"1,533,214","1,366,027","167,186"
7,009817國泰日本不動產,9.71,-0.14,-1.42%,"240,985","106,947","134,037"
8,00688L國泰20年美債正2,7.30,-0.11,-1.48%,"273,791","162,339","111,451"
9,00882 中信中國高股息,15.92,-0.13,-0.81%,"214,324","110,092","104,232"
10,00900 富邦特選高股息30,13.86,-0.47,-3.28%,"185,350","82,966","102,384"
11,00713 元大台灣高息低波,51.60,-1.00,-1.90%,"167,359","67,511","99,848"
12,2884 玉山金,33.35,-0.65,-1.91%,"390,545","291,410","99,134"
13,00939 統一台灣高息動能,15.19,-0.59,-3.74%,"159,033","61,719","97,314"
14,2409 友達,15.60,-0.25,-1.58%,"873,046","779,470","93,575"
15,2867 三商壽,7.88,-0.18,-2.23%,"237,373","147,660","89,712"
16,1101 台泥,24.30,-0.85,-3.38%,"305,266","216,845","88,420"
17,2887 台新新光金,23.95,-0.45,-1.84%,"760,201","676,326","83,874"
18,2489 瑞軒,39.30,-4.35,-9.97%,"169,254","98,957","70,296"
19,2890 永豐金,31.25,-0.40,-1.26%,"279,788","214,984","64,803"
20,2002 中鋼,19.15,-0.75,-3.77%,"478,631","415,081","63,549"
21,00915 凱基優選高股息30,23.06,-0.58,-2.45%,"99,214","40,413","58,800"
22,2515 中工,15.80,-0.90,-5.39%,"219,554","165,659","53,894"
23,2382 廣達,282.00,-7.00,-2.42%,"163,878","114,489","49,389"
24,00881 國泰台灣科技龍頭,34.58,-1.81,-4.97%,"232,540","184,980","47,560"
25,1303 南亞,74.10,-8.20,-9.96%,"371,763","325,822","45,940"
26,00637L元大滬深300正2,18.59,-0.20,-1.06%,"277,546","233,022","44,524"
27,2609 陽明,61.60,+ 0.90,+1.48%,"200,141","162,706","37,435"
28,00936 台新永續高息中小,16.93,-0.46,-2.65%,"67,073","30,459","36,613"
29,2880 華南金,34.60,-0.60,-1.70%,"178,685","143,798","34,887"
30,3576 聯合再生,20.30,-2.25,-9.98%,"264,127","231,837","32,290"
31,1314 中石化,9.81,+ 0.89,+9.98%,"205,793","174,299","31,493"
32,2603 長榮,210.50,0.00,0.00%,"114,782","86,413","28,369"
33,8150 南茂,58.40,-3.50,-5.65%,"148,963","121,458","27,504"
34,00878 國泰永續高股息,21.75,-0.64,-2.86%,"488,164","465,131","23,033"
35,2412 中華電,136.00,-0.50,-0.37%,"146,859","125,550","21,308"
36,2897 王道銀行,9.65,-0.18,-1.83%,"73,428","52,722","20,705"
37,3702 大聯大,69.90,-2.10,-2.92%,"70,362","50,434","19,927"
38,6213 聯茂,115.00,-12.50,-9.80%,"77,297","60,615","16,681"
39,3036 文曄,215.50,0.00,0.00%,"86,550","69,965","16,584"
40,00960 野村全球航運龍頭,17.50,+ 0.09,+0.52%,"36,663","21,476","15,186"
41,2323 中環,10.40,-0.65,-5.88%,"70,660","55,618","15,042"
42,00987A主動台新優勢成長,10.50,-0.79,-7.00%,"67,723","53,627","14,096"
43,2347 聯強,68.50,-2.00,-2.84%,"49,211","35,306","13,905"
44,009811統一美國50,11.15,-0.29,-2.53%,"61,235","47,574","13,660"
45,00902 中信電池及儲能,13.64,-0.36,-2.57%,"42,539","29,096","13,443"
46,3017 奇鋐,"1,665.00",-180.00,-9.76%,"38,583","25,173","13,409"
47,4927 泰鼎-KY,41.50,-4.60,-9.98%,"61,944","48,605","13,338"
48,2337 旺宏,92.30,-10.20,-9.95%,"653,232","640,440","12,791"
49,3028 增你強,51.90,-2.50,-4.60%,"56,461","44,448","12,013"
50,2317 鴻海,210.50,-12.50,-5.61%,"368,675","356,907","11,768"
