Rank,Stock,Price,Change,ChangePercent,NetSell
1,2344 華邦電,205.00,-6.50,-3.07%,"-208,809"
2,3481 群創,69.40,+ 3.40,+5.15%,"-206,765"
3,2886 兆豐金,44.55,-0.65,-1.44%,"-146,336"
4,0050 元大台灣50,107.15,-2.95,-2.68%,"-135,504"
5,6116 彩晶,19.40,+ 0.40,+2.11%,"-101,992"
6,00991A主動復華未來50,20.39,-0.17,-0.83%,"-101,303"
7,4904 遠傳,107.00,0.00,0.00%,"-93,328"
8,2317 鴻海,256.00,-3.50,-1.35%,"-91,954"
9,3231 緯創,157.50,-1.00,-0.63%,"-87,006"
10,2880 華南金,37.00,-0.55,-1.46%,"-77,308"
11,2884 玉山金,35.00,-0.80,-2.23%,"-69,356"
12,00988A主動統一全球創新,22.53,-0.38,-1.66%,"-67,374"
13,00631L元大台灣50正2,38.08,-2.12,-5.27%,"-56,287"
14,1101 台泥,24.20,+ 0.05,+0.21%,"-52,144"
15,00405A主動富邦台灣龍耀,9.42,-0.09,-0.95%,"-51,556"
16,2324 仁寶,37.90,+ 1.35,+3.69%,"-40,841"
17,5876 上海商銀,41.55,-0.25,-0.60%,"-39,871"
18,1216 統一,75.10,0.00,0.00%,"-39,532"
19,9904 寶成,25.95,-0.05,-0.19%,"-38,874"
20,2845 遠東銀,13.00,-0.10,-0.76%,"-37,161"
21,00400A主動國泰動能高息,14.92,-0.25,-1.65%,"-36,462"
22,4958 臻鼎-KY,587.00,0.00,0.00%,"-35,479"
23,2408 南亞科,443.50,-11.00,-2.42%,"-35,323"
24,2633 台灣高鐵,25.95,+ 0.20,+0.78%,"-34,159"
25,009816凱基台灣TOP50,15.56,-0.41,-2.57%,"-33,080"
26,00997A主動群益美國增長,14.16,-0.34,-2.34%,"-30,970"
27,2892 第一金,32.05,-0.40,-1.23%,"-30,631"
28,1402 遠東新,28.45,-0.20,-0.70%,"-26,386"
29,2330 台積電,"2,390.00",-100.00,-4.02%,"-26,176"
30,3576 聯合再生,17.80,+ 0.35,+2.01%,"-24,617"
31,1409 新纖,27.95,-0.60,-2.10%,"-23,276"
32,2492 華新科,590.00,+ 13.00,+2.25%,"-19,545"
33,2882 國泰金,110.00,-3.50,-3.08%,"-19,496"
34,2327 國巨*,"1,050.00",+ 30.00,+2.94%,"-17,372"
35,1303 南亞,156.00,+ 1.50,+0.97%,"-17,252"
36,2855 統一證,49.15,-1.45,-2.87%,"-16,544"
37,6239 力成,338.00,-6.00,-1.74%,"-16,081"
38,00990A主動元大AI新經濟,20.51,-0.57,-2.70%,"-14,469"
39,1513 中興電,185.00,+ 3.00,+1.65%,"-14,077"
40,4915 致伸,74.30,-0.90,-1.20%,"-13,184"
41,2412 中華電,143.50,-0.50,-0.35%,"-13,021"
42,00927 群益半導體收益,42.15,-0.55,-1.29%,"-12,794"
43,2451 創見,294.00,-6.50,-2.16%,"-11,801"
44,00891 中信關鍵半導體,37.76,-0.94,-2.43%,"-11,757"
45,00935 野村臺灣新科技50,61.90,-1.30,-2.06%,"-11,750"
46,2464 盟立,174.50,+ 2.50,+1.45%,"-11,512"
47,00830 國泰費城半導體,96.70,-2.60,-2.62%,"-11,240"
48,1605 華新,38.15,+ 0.35,+0.93%,"-10,260"
49,2332 友訊,18.45,+ 0.10,+0.54%,"-9,945"
50,2406 國碩,34.30,+ 0.50,+1.48%,"-9,888"
