Rank,Stock,Price,Change,ChangePercent,NetBuy
1,2618 長榮航,41.75,+ 0.30,+0.72%,"533,330"
2,2002 中鋼,18.95,0.00,0.00%,"475,620"
3,2883 凱基金,28.95,-0.20,-0.69%,"271,165"
4,5880 合庫金,27.00,+ 0.90,+3.45%,"226,940"
5,1301 台塑,54.00,-2.20,-3.91%,"223,891"
6,2610 華航,21.70,0.00,0.00%,"223,594"
7,00712 復華富時不動產,8.90,-0.03,-0.34%,"199,660"
8,2303 聯電,110.00,+ 7.50,+7.32%,"169,637"
9,2882 國泰金,95.20,+ 1.10,+1.17%,"138,754"
10,2867 三商壽,9.58,+ 0.21,+2.24%,"130,326"
11,00918 大華優利高填息30,31.24,-0.22,-0.70%,"127,191"
12,2812 台中銀,20.65,0.00,0.00%,"124,679"
13,2353 宏碁,27.90,-0.75,-2.62%,"118,340"
14,6505 台塑化,71.60,-3.20,-4.28%,"99,201"
15,2105 正新,30.55,+ 0.15,+0.49%,"92,080"
16,2881 富邦金,124.00,+ 1.00,+0.81%,"86,251"
17,2884 玉山金,37.70,+ 1.20,+3.29%,"86,025"
18,2603 長榮,201.00,-0.50,-0.25%,"84,521"
19,2834 臺企銀,18.10,+ 0.15,+0.84%,"84,289"
20,4938 和碩,80.50,-1.50,-1.83%,"80,818"
21,00919 群益台灣精選高息,28.25,-0.25,-0.88%,"72,897"
22,3045 台灣大,114.00,+ 0.50,+0.44%,"69,249"
23,2409 友達,22.20,-1.05,-4.52%,"67,462"
24,2891 中信金,63.10,+ 1.10,+1.77%,"48,549"
25,2006 東和鋼鐵,73.40,+ 1.00,+1.38%,"47,468"
26,2615 萬海,84.40,-0.60,-0.71%,"46,695"
27,2606 裕民,60.70,-0.60,-0.98%,"41,793"
28,6176 瑞儀,84.80,+ 0.90,+1.07%,"36,803"
29,2609 陽明,50.00,-0.10,-0.20%,"35,058"
30,009805台新美國電力基建,15.02,-0.50,-3.22%,"34,134"
31,9907 統一實,15.35,+ 0.10,+0.66%,"32,041"
32,6919 康霈*,103.00,+ 1.00,+0.98%,"31,950"
33,2885 元大金,63.10,+ 0.90,+1.45%,"30,542"
34,2889 國票金,15.65,+ 0.25,+1.62%,"28,343"
35,1718 中纖,8.64,-0.56,-6.09%,"25,580"
36,2449 京元電子,203.50,-9.00,-4.24%,"25,314"
37,00900 富邦特選高股息30,17.55,-0.11,-0.62%,"24,528"
38,3034 聯詠,491.00,-14.00,-2.77%,"24,453"
39,6005 群益證,32.75,-0.10,-0.30%,"24,440"
40,2646 星宇航空,21.55,+ 0.05,+0.23%,"24,056"
41,00999A主動野村臺灣高息,9.40,-0.02,-0.21%,"22,003"
42,009819中信數據及電力,9.57,-0.12,-1.24%,"21,548"
43,2324 仁寶,33.75,-1.10,-3.16%,"21,352"
44,8033 雷虎,150.00,-7.00,-4.46%,"20,966"
45,2301 光寶科,190.00,+ 5.00,+2.70%,"20,395"
46,00753L中信中國50正2,9.69,-0.01,-0.10%,"20,265"
47,00662 富邦NASDAQ,113.90,-1.25,-1.09%,"20,250"
48,009824群益美國科技巨頭,9.52,-0.16,-1.65%,"19,594"
49,3005 神基,110.00,+ 3.00,+2.80%,"19,533"
50,2385 群光,104.50,+ 3.00,+2.96%,"19,112"
