名次,股票名稱,收盤價,漲跌,漲跌幅,3日買進張數,3日賣出張數,3日買賣超張數
1,3481 群創,14.35,0.15,1.06%,"104,262","36,378","67,883"
2,2882 國泰金,69.00,1.40,2.07%,"78,321","27,572","50,748"
3,2303 聯電,48.00,0.50,1.05%,"74,037","24,250","49,787"
4,00878 國泰永續高股息,21.12,0.07,0.33%,"66,042","23,108","42,933"
5,2887 台新新光金,19.15,0.40,2.13%,"154,313","113,501","40,812"
6,00900 富邦特選高股息30,13.23,-0.02,-0.15%,"54,199","20,877","33,322"
7,00712 復華富時不動產,9.30,0.03,0.32%,"61,175","33,561","27,614"
8,2880 華南金,30.75,0.50,1.65%,"38,481","13,187","25,293"
9,2605 新興,31.55,2.85,9.93%,"36,270","12,259","24,011"
10,2883 凱基金,16.00,0.15,0.95%,"44,189","25,732","18,457"
11,2002 中鋼,18.90,-0.15,-0.79%,"40,634","22,294","18,340"
12,2891 中信金,44.35,0.65,1.49%,"50,640","33,129","17,510"
13,00940 元大台灣價值高息,9.29,0.00,0.00%,"35,148","18,883","16,264"
14,0056 元大高股息,36.40,0.09,0.25%,"28,774","12,893","15,880"
15,2356 英業達,46.05,0.95,2.11%,"26,660","11,044","15,615"
16,2885 元大金,37.30,0.75,2.05%,"51,914","37,067","14,846"
17,3231 緯創,146.00,1.00,0.69%,"41,971","27,514","14,456"
18,2889 國票金,17.25,0.10,0.58%,"24,769","11,717","13,052"
19,00941 中信上游半導體,17.29,0.19,1.11%,"20,775","8,274","12,501"
20,2382 廣達,294.50,2.00,0.68%,"24,704","12,509","12,195"
21,2344 華邦電,57.80,2.00,3.58%,"70,740","58,707","12,032"
22,2867 三商壽,7.26,-0.03,-0.41%,"31,274","20,242","11,032"
23,2606 裕民,69.60,6.30,9.95%,"20,053","9,803","10,249"
24,2327 國巨*,236.00,3.50,1.51%,"19,680","9,471","10,208"
25,3189 景碩,148.00,0.00,0.00%,"16,896","6,750","10,145"
26,5608 四維航,20.75,1.85,9.79%,"15,446","5,566","9,879"
27,2890 永豐金,27.35,0.10,0.37%,"35,659","26,084","9,575"
28,2009 第一銅,47.75,4.30,9.90%,"14,252","5,154","9,097"
29,1301 台塑,42.80,-1.05,-2.39%,"27,457","18,504","8,953"
30,00939 統一台灣高息動能,14.10,0.08,0.57%,"16,629","7,919","8,709"
31,2317 鴻海,228.50,1.50,0.66%,"34,515","25,889","8,626"
32,2409 友達,11.85,0.20,1.72%,"52,552","43,934","8,618"
33,2881 富邦金,94.70,1.60,1.72%,"33,571","25,008","8,562"
34,2834 臺企銀,16.00,0.15,0.95%,"22,359","13,981","8,378"
35,1303 南亞,63.40,-4.30,-6.35%,"92,588","85,085","7,502"
36,2324 仁寶,30.40,0.25,0.83%,"22,203","14,759","7,443"
37,00929 復華台灣科技優息,17.75,0.00,0.00%,"14,671","7,551","7,119"
38,2406 國碩,23.35,2.00,9.37%,"11,767","4,670","7,097"
39,00919 群益台灣精選高息,21.83,0.15,0.69%,"52,953","46,158","6,794"
40,3706 神達,92.80,1.30,1.42%,"21,319","14,725","6,594"
41,2027 大成鋼,38.85,0.30,0.78%,"18,699","12,246","6,453"
42,00915 凱基優選高股息30,22.33,0.23,1.04%,"9,739","3,927","5,812"
43,1605 華新,30.65,0.30,0.99%,"25,664","20,050","5,613"
44,9904 寶成,31.40,0.00,0.00%,"12,035","6,628","5,407"
45,00830 國泰費城半導體,58.50,0.20,0.34%,"19,483","14,708","4,775"
46,00891 中信關鍵半導體,19.17,-0.04,-0.21%,"12,491","8,310","4,180"
47,6919 康霈*,183.00,16.50,9.91%,"10,372","6,228","4,143"
48,00713 元大台灣高息低波,50.45,0.10,0.20%,"9,050","5,273","3,777"
49,00885 富邦越南,17.18,-0.02,-0.12%,"9,248","5,528","3,720"
