Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetBuy
1,00878 國泰永續高股息,21.71,+ 0.01,+0.05%,"109,814","28,320","81,493"
2,00919 群益台灣精選高息,22.40,-0.08,-0.36%,"97,451","31,728","65,722"
3,0050 元大台灣50,65.60,+ 0.45,+0.69%,"77,810","37,621","40,188"
4,00940 元大台灣價值高息,9.26,0.00,0.00%,"54,171","15,879","38,291"
5,3231 緯創,150.50,+ 3.50,+2.38%,"46,847","16,477","30,369"
6,2337 旺宏,39.45,+ 0.70,+1.81%,"73,889","44,192","29,697"
7,00929 復華台灣科技優息,18.07,+ 0.10,+0.56%,"42,190","13,336","28,854"
8,00982A主動群益台灣強棒,14.61,+ 0.16,+1.11%,"55,888","27,580","28,307"
9,2002 中鋼,19.00,-0.25,-1.30%,"56,213","31,073","25,139"
10,00918 大華優利高填息30,22.61,+ 0.06,+0.27%,"36,485","14,158","22,326"
11,2884 玉山金,33.75,-0.10,-0.30%,"90,718","70,161","20,556"
12,2344 華邦電,82.60,-1.10,-1.31%,"126,940","107,799","19,141"
13,2330 台積電,"1,550.00",+ 30.00,+1.97%,"33,541","16,074","17,466"
14,00680L元大美債20正2,7.26,-0.01,-0.14%,"51,576","34,395","17,180"
15,00988A主動統一全球創新,10.08,-0.04,-0.40%,"37,589","20,604","16,985"
16,00939 統一台灣高息動能,14.70,+ 0.02,+0.14%,"24,328","8,128","16,200"
17,00922 國泰台灣領袖50,25.90,+ 0.13,+0.50%,"30,219","14,751","15,467"
18,2610 華航,20.20,0.00,0.00%,"42,598","28,281","14,316"
19,2883 凱基金,17.25,-0.25,-1.43%,"48,260","34,135","14,124"
20,2609 陽明,55.70,-0.60,-1.07%,"20,054","7,311","12,743"
21,2891 中信金,50.20,0.00,0.00%,"38,747","27,521","11,226"
22,00891 中信關鍵半導體,19.96,+ 0.09,+0.45%,"20,027","9,066","10,960"
23,00900 富邦特選高股息30,13.76,+ 0.03,+0.22%,"21,502","10,921","10,581"
24,0052 富邦科技,37.89,+ 0.44,+1.17%,"45,270","34,973","10,297"
25,1101 台泥,23.20,-0.40,-1.69%,"33,743","23,488","10,255"
26,2317 鴻海,230.50,+ 2.50,+1.10%,"47,374","37,459","9,914"
27,00885 富邦越南,18.03,+ 0.36,+2.04%,"15,747","5,870","9,877"
28,8021 尖點,190.00,+ 3.50,+1.88%,"22,042","13,286","8,755"
29,2867 三商壽,8.00,-0.03,-0.37%,"31,478","23,327","8,151"
30,00936 台新永續高息中小,16.19,+ 0.11,+0.68%,"12,302","4,421","7,881"
31,2324 仁寶,30.40,+ 0.05,+0.16%,"21,251","13,458","7,792"
32,3706 神達,86.40,+ 2.90,+3.47%,"15,110","7,501","7,608"
33,00688L國泰20年美債正2,7.24,-0.02,-0.28%,"19,979","12,538","7,440"
34,2882 國泰金,75.80,-0.40,-0.52%,"51,565","44,267","7,297"
35,00881 國泰台灣科技龍頭,32.62,+ 0.18,+0.55%,"21,179","13,984","7,194"
36,00927 群益半導體收益,21.84,+ 0.21,+0.97%,"12,991","5,993","6,998"
37,00713 元大台灣高息低波,50.55,-0.30,-0.59%,"13,909","7,282","6,627"
38,2618 長榮航,36.55,+ 0.25,+0.69%,"29,538","23,786","5,752"
39,6531 愛普*,448.00,+ 5.50,+1.24%,"8,989","3,802","5,186"
40,2449 京元電子,247.50,+ 4.00,+1.64%,"47,315","42,316","4,998"
41,009802富邦旗艦50,11.26,+ 0.01,+0.09%,"10,850","6,046","4,804"
42,8131 福懋科,64.70,+ 5.80,+9.85%,"12,764","8,008","4,755"
43,3711 日月光投控,250.50,+ 1.50,+0.60%,"21,951","17,206","4,745"
44,2603 長榮,190.00,-1.00,-0.52%,"12,460","7,798","4,661"
45,1303 南亞,60.20,+ 1.90,+3.26%,"33,426","28,777","4,649"
46,006208富邦台50,150.10,+ 0.95,+0.64%,"18,297","13,706","4,591"
47,2303 聯電,49.25,-0.25,-0.51%,"38,929","34,356","4,573"
48,00915 凱基優選高股息30,22.81,-0.11,-0.48%,"7,732","3,415","4,317"
49,3189 景碩,159.00,+ 11.00,+7.43%,"15,108","10,847","4,260"
50,4967 十銓,189.00,+ 17.00,+9.88%,"10,413","6,518","3,894"
