Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetBuy
1,00632R元大台灣50反1,11.45,-0.01,-0.09%,"63,375","243,449","-180,074"
2,00631L元大台灣50正2,31.08,+ 0.08,+0.26%,"141,428","250,062","-108,633"
3,2303 聯電,83.10,+ 1.90,+2.34%,"173,094","242,174","-69,080"
4,009816凱基台灣TOP50,13.68,+ 0.08,+0.59%,"129,611","191,031","-61,419"
5,2337 旺宏,160.50,+ 6.00,+3.88%,"172,695","225,527","-52,833"
6,0050 元大台灣50,94.60,0.00,0.00%,"82,852","125,271","-42,419"
7,4958 臻鼎-KY,426.50,-6.00,-1.39%,"40,318","81,111","-40,793"
8,1605 華新,32.40,+ 0.70,+2.21%,"19,916","57,715","-37,799"
9,2388 威盛,79.90,-3.20,-3.85%,"22,161","57,349","-35,188"
10,2801 彰銀,20.80,0.00,0.00%,"10,876","38,271","-27,395"
11,00997A主動群益美國增長,11.76,-0.04,-0.34%,"19,324","45,728","-26,404"
12,2892 第一金,28.40,+ 0.15,+0.53%,"20,645","46,216","-25,571"
13,2881 富邦金,92.20,+ 1.20,+1.32%,"24,852","49,550","-24,698"
14,8150 南茂,84.10,+ 7.60,+9.93%,"20,022","43,860","-23,838"
15,2884 玉山金,31.55,+ 0.25,+0.80%,"35,874","59,014","-23,139"
16,2883 凱基金,21.80,+ 0.40,+1.87%,"58,190","81,104","-22,915"
17,2367 燿華,61.20,+ 2.10,+3.55%,"36,089","58,899","-22,810"
18,0052 富邦科技,55.40,0.00,0.00%,"29,272","51,425","-22,153"
19,00712 復華富時不動產,9.08,-0.09,-0.98%,"13,651","33,989","-20,338"
20,00922 國泰台灣領袖50,35.47,+ 0.03,+0.08%,"8,584","28,828","-20,244"
21,2301 光寶科,171.00,-0.50,-0.29%,"16,970","36,941","-19,971"
22,009819中信數據及電力,10.15,+ 0.05,+0.50%,"23,527","42,777","-19,251"
23,2426 鼎元,69.30,+ 6.30,+10.00%,"6,019","25,246","-19,227"
24,00929 復華台灣科技優息,23.56,+ 0.53,+2.30%,"62,816","81,671","-18,855"
25,2330 台積電,"2,250.00",-25.00,-1.10%,"26,645","44,459","-17,814"
26,2880 華南金,32.65,+ 0.60,+1.87%,"10,849","28,477","-17,628"
27,3033 威健,38.55,+ 0.65,+1.72%,"14,136","30,819","-16,683"
28,3037 欣興,903.00,-8.00,-0.88%,"28,446","43,775","-15,330"
29,2327 國巨*,348.50,+ 6.00,+1.75%,"39,818","54,798","-14,980"
30,00664R國泰臺灣加權反1,1.85,0.00,0.00%,"17,343","32,316","-14,973"
31,00939 統一台灣高息動能,17.58,+ 0.34,+1.97%,"10,360","23,946","-13,585"
32,00673R期元大S＆P原油反1,11.74,-0.37,-3.06%,"31,984","45,289","-13,305"
33,4989 榮科,105.00,+ 2.00,+1.94%,"11,544","24,815","-13,271"
34,00706L期元大S＆P日圓正2,19.80,-0.10,-0.50%,"2,112","14,517","-12,405"
35,2312 金寶,28.10,+ 0.25,+0.90%,"27,546","39,818","-12,272"
36,2890 永豐金,30.65,+ 0.10,+0.33%,"22,979","35,246","-12,267"
37,00878 國泰永續高股息,26.58,+ 0.43,+1.64%,"82,568","94,136","-11,568"
38,2399 映泰,43.10,-0.65,-1.49%,"13,596","24,607","-11,011"
39,1314 中石化,7.34,+ 0.11,+1.52%,"11,585","22,499","-10,915"
40,00991A主動復華未來50,17.55,+ 0.02,+0.11%,"82,400","93,280","-10,880"
41,2886 兆豐金,39.10,+ 0.10,+0.26%,"11,364","22,231","-10,867"
42,00996A主動兆豐台灣豐收,13.79,+ 0.18,+1.32%,"13,241","24,018","-10,776"
43,00993A主動安聯台灣,13.18,+ 0.04,+0.30%,"13,653","24,411","-10,758"
44,8046 南電,997.00,+ 11.00,+1.12%,"11,932","22,522","-10,590"
45,2002 中鋼,18.60,0.00,0.00%,"35,494","46,067","-10,573"
46,6789 采鈺,604.00,-7.00,-1.15%,"7,900","18,202","-10,301"
47,4576 大銀微系統,236.50,+ 3.50,+1.50%,"8,782","18,932","-10,149"
48,3437 榮創,28.10,+ 0.45,+1.63%,"10,923","21,013","-10,091"
49,2374 佳能,81.00,-1.00,-1.22%,"17,531","27,579","-10,049"
50,00935 野村臺灣新科技50,53.05,-0.15,-0.28%,"11,642","21,622","-9,979"
