Rank,Stock,Price,Change,ChangePercent,NetSell
1,2883 凱基金,27.40,+ 1.70,+6.61%,"-184,117"
2,6770 力積電,81.00,-3.60,-4.26%,"-128,510"
3,2880 華南金,37.70,+ 1.30,+3.57%,"-124,905"
4,2618 長榮航,37.90,+ 0.20,+0.53%,"-119,217"
5,00919 群益台灣精選高息,30.52,-0.26,-0.84%,"-112,691"
6,2409 友達,29.25,+ 0.50,+1.74%,"-102,140"
7,2324 仁寶,42.35,-4.70,-9.99%,"-94,562"
8,0050 元大台灣50,106.10,-1.50,-1.39%,"-93,293"
9,3481 群創,55.80,-3.60,-6.06%,"-87,531"
10,2382 廣達,404.00,-13.00,-3.12%,"-74,109"
11,009820元大納斯達克精選,10.55,-0.34,-3.12%,"-54,900"
12,1504 東元,87.00,+ 4.00,+4.82%,"-54,247"
13,00918 大華優利高填息30,30.88,-0.85,-2.68%,"-53,422"
14,2344 華邦電,179.50,+ 2.00,+1.13%,"-52,925"
15,2105 正新,34.55,0.00,0.00%,"-51,468"
16,2313 華通,265.50,-1.00,-0.38%,"-44,839"
17,4938 和碩,97.00,-1.50,-1.52%,"-35,889"
18,00988A主動統一全球創新,22.09,-0.57,-2.52%,"-32,933"
19,00631L元大台灣50正2,38.30,-0.92,-2.35%,"-32,610"
20,2855 統一證,55.50,+ 1.20,+2.21%,"-31,238"
21,1802 台玻,68.90,-2.90,-4.04%,"-30,963"
22,00990A主動元大AI新經濟,20.70,-0.41,-1.94%,"-30,343"
23,2347 聯強,89.90,-1.20,-1.32%,"-27,004"
24,2542 興富發,43.10,+ 0.10,+0.23%,"-24,886"
25,2891 中信金,68.00,-2.50,-3.55%,"-24,449"
26,2603 長榮,236.00,-1.00,-0.42%,"-22,011"
27,00991A主動復華未來50,19.61,-0.38,-1.90%,"-20,186"
28,2312 金寶,41.05,-2.35,-5.41%,"-19,680"
29,2356 英業達,77.80,-7.60,-8.90%,"-18,792"
30,9904 寶成,26.40,-0.10,-0.38%,"-18,389"
31,2355 敬鵬,56.40,-2.90,-4.89%,"-18,240"
32,00999A主動野村臺灣高息,11.39,-0.03,-0.26%,"-17,921"
33,8039 台虹,140.50,-10.00,-6.64%,"-17,657"
34,8150 南茂,99.10,+ 3.30,+3.44%,"-16,938"
35,1717 長興,76.40,-1.70,-2.18%,"-15,826"
36,1216 統一,73.60,+ 0.30,+0.41%,"-15,343"
37,0052 富邦科技,62.30,-1.30,-2.04%,"-15,312"
38,3673 TPK-KY,87.60,-6.40,-6.81%,"-14,655"
39,5871 中租-KY,119.00,+ 1.50,+1.28%,"-14,582"
40,2489 瑞軒,49.05,-1.05,-2.10%,"-14,483"
41,1210 大成,54.20,+ 0.50,+0.93%,"-14,444"
42,2330 台積電,"2,385.00",-40.00,-1.65%,"-14,280"
43,2002 中鋼,19.25,-0.15,-0.77%,"-14,169"
44,2912 統一超,246.00,+ 7.00,+2.93%,"-13,019"
45,009816凱基台灣TOP50,15.48,-0.26,-1.65%,"-12,957"
46,2369 菱生,35.25,-0.25,-0.70%,"-12,845"
47,9910 豐泰,80.50,-2.00,-2.42%,"-12,800"
48,00935 野村臺灣新科技50,61.45,-1.20,-1.92%,"-12,176"
49,2367 燿華,62.00,-3.20,-4.91%,"-12,104"
50,3714 富采,68.50,-1.50,-2.14%,"-11,881"
