Rank,Stock,Price,Change,ChangePercent,NetSell
1,0050 元大台灣50,101.70,-2.20,-2.12%,"-701,543"
2,00403A主動統一升級50,9.63,-0.34,-3.41%,"-627,873"
3,6770 力積電,61.60,-4.40,-6.67%,"-281,794"
4,00991A主動復華未來50,16.42,-0.78,-4.53%,"-221,534"
5,1303 南亞,177.50,-19.50,-9.90%,"-218,069"
6,00988A主動統一全球創新,17.22,-0.64,-3.58%,"-213,750"
7,3481 群創,49.50,-2.40,-4.62%,"-193,204"
8,00981A主動統一台股增長,27.54,-1.15,-4.01%,"-176,318"
9,2801 彰銀,24.35,+ 0.10,+0.41%,"-141,639"
10,2886 兆豐金,48.45,+ 0.30,+0.62%,"-138,344"
11,2330 台積電,"2,350.00",-55.00,-2.29%,"-132,845"
12,2892 第一金,34.30,+ 0.15,+0.44%,"-132,441"
13,2344 華邦電,154.50,-6.50,-4.04%,"-101,826"
14,00992A主動群益科技創新,15.67,-0.69,-4.22%,"-87,647"
15,1101 台泥,23.80,-0.20,-0.83%,"-87,231"
16,2408 南亞科,401.00,-25.00,-5.87%,"-80,396"
17,2337 旺宏,124.00,-5.50,-4.25%,"-79,747"
18,3702 大聯大,117.50,-4.00,-3.29%,"-73,883"
19,2890 永豐金,38.55,+ 0.35,+0.92%,"-73,124"
20,00400A主動國泰動能高息,13.41,-0.52,-3.73%,"-71,294"
21,00990A主動元大AI新經濟,16.36,-0.50,-2.97%,"-69,288"
22,00919 群益台灣精選高息,29.49,-0.01,-0.03%,"-67,259"
23,3037 欣興,839.00,-57.00,-6.36%,"-65,683"
24,00929 復華台灣科技優息,28.78,-0.32,-1.10%,"-65,115"
25,1714 和桐,14.90,-0.55,-3.56%,"-62,930"
26,2317 鴻海,252.50,-5.00,-1.94%,"-60,132"
27,2887 台新新光金,34.15,-0.35,-1.01%,"-59,250"
28,0056 元大高股息,50.20,-0.45,-0.89%,"-57,655"
29,2352 佳世達,29.20,-0.90,-2.99%,"-57,071"
30,1802 台玻,51.00,-3.30,-6.08%,"-53,005"
31,1605 華新,32.85,-0.80,-2.38%,"-52,807"
32,00830 國泰費城半導體,88.05,-1.05,-1.18%,"-52,376"
33,00982A主動群益台灣強棒,21.98,-0.83,-3.64%,"-51,435"
34,2880 華南金,40.70,-0.55,-1.33%,"-48,784"
35,00878 國泰永續高股息,32.61,-0.12,-0.37%,"-47,671"
36,1326 台化,67.50,-4.20,-5.86%,"-41,905"
37,2610 華航,20.50,-0.10,-0.49%,"-39,946"
38,00405A主動富邦台灣龍耀,7.88,-0.38,-4.60%,"-39,609"
39,2542 興富發,44.20,-0.75,-1.67%,"-38,654"
40,009820元大納斯達克精選,9.87,-0.12,-1.20%,"-38,423"
41,3711 日月光投控,613.00,-36.00,-5.55%,"-36,750"
42,2449 京元電子,271.00,-15.00,-5.24%,"-34,990"
43,2633 台灣高鐵,26.05,+ 0.10,+0.39%,"-33,734"
44,6282 康舒,47.15,-1.75,-3.58%,"-32,472"
45,2313 華通,201.50,-12.50,-5.84%,"-31,060"
46,2369 菱生,32.90,-1.80,-5.19%,"-30,914"
47,1409 新纖,23.35,-0.45,-1.89%,"-27,911"
48,3706 神達,91.30,-0.70,-0.76%,"-27,466"
49,6213 聯茂,309.50,-34.00,-9.90%,"-26,461"
50,8422 可寧衛*,26.00,-0.25,-0.95%,"-26,094"
