Rank,Stock,Price,Change,ChangePercent,NetSell
1,0050 元大台灣50,104.40,+ 0.60,+0.58%,"-46,697"
2,009816凱基台灣TOP50,15.21,+ 0.09,+0.60%,"-44,692"
3,00403A主動統一升級50,9.94,+ 0.07,+0.71%,"-44,050"
4,00981A主動統一台股增長,28.77,+ 0.30,+1.05%,"-29,827"
5,1303 南亞,188.50,+ 8.50,+4.72%,"-25,603"
6,2317 鴻海,243.00,-0.50,-0.21%,"-23,067"
7,2834 臺企銀,16.35,0.00,0.00%,"-23,039"
8,1301 台塑,57.80,+ 0.80,+1.40%,"-20,771"
9,1314 中石化,7.90,-0.08,-1.00%,"-15,916"
10,6770 力積電,69.00,-1.80,-2.54%,"-15,590"
11,6505 台塑化,71.00,+ 1.10,+1.57%,"-15,580"
12,1326 台化,58.00,+ 0.90,+1.58%,"-15,090"
13,00400A主動國泰動能高息,14.38,+ 0.07,+0.49%,"-14,877"
14,00631L元大台灣50正2,34.68,+ 0.57,+1.67%,"-14,662"
15,00407A主動凱基台灣,9.44,+ 0.10,+1.07%,"-14,526"
16,3231 緯創,178.50,+ 3.00,+1.71%,"-13,693"
17,00991A主動復華未來50,17.63,+ 0.18,+1.03%,"-13,502"
18,3481 群創,46.80,+ 1.35,+2.97%,"-13,348"
19,2408 南亞科,510.00,+ 9.00,+1.80%,"-11,922"
20,00405A主動富邦台灣龍耀,8.33,+ 0.14,+1.71%,"-11,395"
21,2885 元大金,62.40,0.00,0.00%,"-10,335"
22,2303 聯電,125.00,+ 1.50,+1.21%,"-9,540"
23,1402 遠東新,29.00,-0.45,-1.53%,"-8,215"
24,2887 台新新光金,37.15,+ 0.65,+1.78%,"-8,115"
25,2002 中鋼,19.05,-0.15,-0.78%,"-7,965"
26,4763 材料*-KY,44.95,-1.85,-3.95%,"-7,775"
27,2344 華邦電,179.00,+ 2.00,+1.13%,"-6,494"
28,009820元大納斯達克精選,9.65,-0.08,-0.82%,"-6,045"
29,2605 新興,36.70,+ 0.10,+0.27%,"-6,017"
30,0056 元大高股息,52.55,+ 0.25,+0.48%,"-5,795"
31,00406A主動中信台灣收益,9.41,+ 0.05,+0.53%,"-5,598"
32,1101 台泥,24.60,-0.10,-0.40%,"-5,341"
33,00685L群益臺灣加權正2,11.34,+ 0.17,+1.52%,"-5,188"
34,3605 宏致,116.50,+ 1.00,+0.87%,"-5,062"
35,2801 彰銀,23.75,-0.25,-1.04%,"-4,888"
36,00918 大華優利高填息30,33.89,0.00,0.00%,"-4,613"
37,2352 佳世達,28.15,-0.50,-1.75%,"-4,463"
38,00712 復華富時不動產,8.87,+ 0.03,+0.34%,"-4,366"
39,00990A主動元大AI新經濟,15.10,-0.02,-0.13%,"-4,237"
40,2851 中再保,43.75,+ 0.90,+2.10%,"-3,954"
41,2855 統一證,46.20,0.00,0.00%,"-3,946"
42,1504 東元,70.80,-0.70,-0.98%,"-3,856"
43,5608 四維航,18.10,+ 0.10,+0.56%,"-3,737"
44,3036 文曄,198.50,-2.00,-1.00%,"-3,559"
45,6278 台表科,181.50,+ 2.50,+1.40%,"-3,447"
46,3042 晶技,185.00,+ 7.50,+4.23%,"-3,395"
47,6919 康霈*,105.50,-5.00,-4.52%,"-3,271"
48,00830 國泰費城半導體,82.25,+ 0.15,+0.18%,"-3,270"
49,1718 中纖,10.65,-0.10,-0.93%,"-3,189"
50,3049 精金,13.50,+ 0.80,+6.30%,"-3,136"
