Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetSell
1,00632R元大台灣50反1,9.97,-0.04,-0.40%,"95,937","263,873","-167,935"
2,00878 國泰永續高股息,33.75,-0.12,-0.35%,"43,715","203,571","-159,855"
3,00881 國泰台灣科技龍頭,55.15,+ 0.35,+0.64%,"44,349","203,441","-159,091"
4,00961 FT臺灣永續高息,13.30,-0.14,-1.04%,"31,852","171,653","-139,800"
5,00929 復華台灣科技優息,29.20,-0.24,-0.82%,"16,827","72,825","-55,997"
6,00891 中信關鍵半導體,36.23,-0.15,-0.41%,"14,130","68,687","-54,557"
7,00984D主動聯博全球非投,10.08,-0.04,-0.40%,"28,738","81,493","-52,754"
8,2002 中鋼,18.85,-0.15,-0.79%,"20,083","70,546","-50,462"
9,00953B群益優選非投等債,9.67,-0.05,-0.51%,"46,737","89,199","-42,462"
10,2317 鴻海,255.00,-4.50,-1.73%,"27,886","69,239","-41,353"
11,2880 華南金,39.20,+ 0.25,+0.64%,"56,632","95,276","-38,643"
12,2834 臺企銀,16.30,0.00,0.00%,"23,722","60,062","-36,339"
13,00923 群益台ESG低碳50,42.89,+ 0.01,+0.02%,"9,622","41,102","-31,479"
14,009826貝萊德世界股票,10.28,-0.02,-0.19%,"25,803","53,533","-27,730"
15,2886 兆豐金,46.60,-0.75,-1.58%,"80,844","105,956","-25,111"
16,2610 華航,20.25,+ 0.35,+1.76%,"32,124","57,187","-25,063"
17,00664R國泰臺灣加權反1,1.62,0.00,0.00%,"26,408","50,636","-24,227"
18,1718 中纖,10.65,-0.30,-2.74%,"17,503","36,306","-18,802"
19,2303 聯電,121.50,+ 0.50,+0.41%,"49,039","65,133","-16,093"
20,2337 旺宏,129.50,-7.50,-5.47%,"26,426","41,431","-15,005"
21,2449 京元電子,248.50,+ 1.50,+0.61%,"9,590","23,234","-13,643"
22,2105 正新,30.75,+ 0.35,+1.15%,"7,683","21,297","-13,613"
23,2377 微星,149.50,-9.50,-5.97%,"16,027","28,686","-12,659"
24,3033 威健,46.70,-1.55,-3.21%,"5,287","15,093","-9,805"
25,5388 中磊,79.30,-0.50,-0.63%,"3,897","13,521","-9,623"
26,2618 長榮航,41.80,+ 1.90,+4.76%,"46,669","54,618","-7,949"
27,00945B凱基美國非投等債,14.57,-0.08,-0.55%,"7,949","15,327","-7,377"
28,00985B群益ESG投等債0-5,10.26,-0.05,-0.48%,"14,818","22,112","-7,293"
29,1717 長興,71.80,+ 0.10,+0.14%,"9,175","16,407","-7,231"
30,00686R群益臺灣加權反1,0.99,0.00,0.00%,"16,266","23,475","-7,208"
31,3702 大聯大,111.00,-4.00,-3.48%,"9,868","16,974","-7,105"
32,1101 台泥,24.20,-0.05,-0.21%,"30,227","37,245","-7,017"
33,2327 國巨*,608.00,-14.00,-2.25%,"29,108","36,067","-6,959"
34,1314 中石化,7.81,+ 0.13,+1.69%,"19,676","26,605","-6,928"
35,00676R富邦臺灣加權反1,5.52,-0.01,-0.18%,"10,633","17,263","-6,630"
36,00753L中信中國50正2,9.65,+ 0.30,+3.21%,"10,894","17,481","-6,586"
37,2645 長榮航太,182.00,-18.00,-9.00%,"3,874","10,198","-6,323"
38,1402 遠東新,27.55,+ 0.45,+1.66%,"14,710","21,000","-6,289"
39,2478 大毅,125.00,-3.00,-2.34%,"3,445","9,645","-6,200"
40,00406A主動中信台灣收益,9.84,+ 0.06,+0.61%,"28,890","35,016","-6,125"
41,5871 中租-KY,108.50,-3.00,-2.69%,"4,637","10,757","-6,119"
42,3045 台灣大,111.00,+ 3.00,+2.78%,"17,469","23,424","-5,955"
43,2882 國泰金,98.10,-3.40,-3.35%,"28,316","34,015","-5,699"
44,2101 南港,31.90,+ 0.35,+1.11%,"3,663","9,148","-5,484"
45,4763 材料*-KY,50.10,-1.40,-2.72%,"8,779","14,138","-5,358"
46,2352 佳世達,29.00,-0.50,-1.69%,"4,911","9,993","-5,082"
47,2406 國碩,29.50,+ 0.30,+1.03%,"3,311","8,330","-5,018"
48,2412 中華電,136.00,+ 1.00,+0.74%,"8,772","13,605","-4,833"
49,2912 統一超,213.00,-1.50,-0.70%,"2,186","6,515","-4,328"
50,2208 台船,19.55,-0.75,-3.69%,"4,117","8,344","-4,227"
