Rank,Stock,Price,Change,ChangePercent,NetSell
1,0050 元大台灣50,104.45,+ 1.35,+1.31%,"-727,662"
2,2883 凱基金,29.65,-0.25,-0.84%,"-594,073"
3,3481 群創,67.00,+ 2.00,+3.08%,"-407,602"
4,6770 力積電,78.90,+ 0.60,+0.77%,"-370,913"
5,2324 仁寶,34.20,-0.60,-1.72%,"-280,390"
6,2344 華邦電,203.00,-3.50,-1.69%,"-249,854"
7,2880 華南金,37.30,+ 0.40,+1.08%,"-213,196"
8,00988A主動統一全球創新,21.45,-0.47,-2.14%,"-194,990"
9,2886 兆豐金,46.20,+ 0.05,+0.11%,"-189,647"
10,2382 廣達,367.00,+ 5.00,+1.38%,"-163,878"
11,2317 鴻海,246.50,-2.00,-0.80%,"-149,732"
12,00991A主動復華未來50,19.65,-0.10,-0.51%,"-142,793"
13,1402 遠東新,29.05,+ 0.55,+1.93%,"-142,408"
14,2105 正新,30.25,+ 0.85,+2.89%,"-133,108"
15,2330 台積電,"2,370.00",+ 30.00,+1.28%,"-123,321"
16,9904 寶成,25.40,+ 0.10,+0.40%,"-123,232"
17,3231 緯創,154.50,+ 1.50,+0.98%,"-117,142"
18,1101 台泥,24.15,0.00,0.00%,"-114,934"
19,4904 遠傳,106.00,-1.00,-0.93%,"-110,249"
20,009820元大納斯達克精選,9.79,+ 0.07,+0.72%,"-109,374"
21,2855 統一證,50.30,+ 0.30,+0.60%,"-104,978"
22,1504 東元,69.00,+ 1.10,+1.62%,"-104,332"
23,2409 友達,30.60,+ 2.65,+9.48%,"-94,143"
24,2313 華通,221.00,-1.50,-0.67%,"-85,236"
25,2312 金寶,33.60,+ 0.10,+0.30%,"-82,855"
26,4938 和碩,82.20,+ 1.20,+1.48%,"-81,697"
27,00919 群益台灣精選高息,29.46,-0.10,-0.34%,"-71,287"
28,2633 台灣高鐵,26.50,+ 0.45,+1.73%,"-69,805"
29,00405A主動富邦台灣龍耀,8.90,-0.10,-1.11%,"-69,485"
30,2327 國巨*,"1,040.00",+ 25.00,+2.46%,"-66,884"
31,2881 富邦金,128.50,-5.50,-4.10%,"-62,956"
32,6116 彩晶,19.25,+ 1.00,+5.48%,"-62,174"
33,2347 聯強,91.50,-1.30,-1.40%,"-61,537"
34,009816凱基台灣TOP50,15.05,+ 0.05,+0.33%,"-58,896"
35,5871 中租-KY,115.00,+ 1.50,+1.32%,"-57,653"
36,4958 臻鼎-KY,573.00,-7.00,-1.21%,"-50,366"
37,2542 興富發,43.10,+ 0.20,+0.47%,"-50,233"
38,00631L元大台灣50正2,36.28,+ 1.02,+2.89%,"-49,143"
39,6282 康舒,54.20,+ 0.10,+0.18%,"-44,658"
40,2371 大同,27.15,+ 0.95,+3.63%,"-41,823"
41,1216 統一,75.70,+ 1.10,+1.47%,"-40,638"
42,5876 上海商銀,42.80,+ 0.40,+0.94%,"-39,275"
43,00935 野村臺灣新科技50,58.95,+ 0.15,+0.26%,"-37,806"
44,1102 亞泥,35.45,-0.30,-0.84%,"-37,170"
45,2603 長榮,184.00,+ 3.00,+1.66%,"-35,656"
46,00997A主動群益美國增長,13.80,-0.18,-1.29%,"-35,538"
47,2412 中華電,142.00,-1.00,-0.70%,"-33,603"
48,1210 大成,55.20,0.00,0.00%,"-33,504"
49,9910 豐泰,70.60,+ 1.10,+1.58%,"-32,640"
50,1409 新纖,25.90,-0.20,-0.77%,"-31,287"
