Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetBuy
1,2409 友達,19.80,+ 1.80,+10.00%,"556,950","247,423","309,528"
2,3481 群創,27.25,+ 0.95,+3.61%,"412,732","196,854","215,878"
3,1802 台玻,68.20,+ 4.80,+7.57%,"292,052","122,616","169,436"
4,2337 旺宏,155.50,+ 8.00,+5.42%,"255,707","105,945","149,762"
5,00940 元大台灣價值高息,9.96,+ 0.06,+0.61%,"184,185","75,930","108,256"
6,2344 華邦電,93.50,-0.90,-0.95%,"167,859","95,826","72,033"
7,2408 南亞科,220.00,-5.50,-2.44%,"161,561","97,514","64,047"
8,2426 鼎元,52.90,+ 0.90,+1.73%,"71,718","10,051","61,667"
9,00632R元大台灣50反1,12.89,-0.36,-2.72%,"116,360","55,637","60,723"
10,00631L元大台灣50正2,24.83,+ 1.21,+5.12%,"216,061","159,593","56,467"
11,1711 永光,42.05,-0.50,-1.18%,"76,526","30,113","46,413"
12,00929 復華台灣科技優息,20.42,+ 0.33,+1.64%,"88,236","43,664","44,572"
13,2485 兆赫,78.30,-2.50,-3.09%,"103,019","58,788","44,231"
14,1303 南亞,89.00,+ 3.30,+3.85%,"142,070","99,527","42,543"
15,2883 凱基金,20.85,-0.20,-0.95%,"68,289","30,231","38,059"
16,2313 華通,257.50,-21.50,-7.71%,"104,284","66,576","37,708"
17,0050 元大台灣50,83.10,+ 2.50,+3.10%,"129,129","91,690","37,439"
18,3042 晶技,133.50,+ 4.00,+3.09%,"50,694","17,751","32,943"
19,2402 毅嘉,72.40,+ 5.00,+7.42%,"69,763","39,548","30,215"
20,6285 啟碁,224.00,-24.00,-9.68%,"60,205","30,393","29,813"
21,4919 新唐,110.50,+ 10.00,+9.95%,"46,944","18,121","28,824"
22,1326 台化,54.60,+ 4.65,+9.31%,"118,776","90,396","28,379"
23,1312 國喬,14.85,+ 1.35,+10.00%,"46,275","18,354","27,920"
24,6278 台表科,125.00,+ 11.00,+9.65%,"32,258","5,351","26,908"
25,00664R國泰臺灣加權反1,2.08,-0.06,-2.80%,"38,741","14,714","24,026"
26,1301 台塑,54.30,+ 2.90,+5.64%,"113,653","90,011","23,641"
27,4927 泰鼎-KY,50.70,+ 2.50,+5.19%,"46,055","22,584","23,471"
28,00922 國泰台灣領袖50,30.70,+ 0.81,+2.71%,"43,279","20,649","22,629"
29,1528 恩德,27.60,+ 0.25,+0.91%,"39,987","17,687","22,300"
30,2885 元大金,49.55,+ 2.10,+4.43%,"37,290","15,070","22,220"
31,0056 元大高股息,39.97,+ 0.45,+1.14%,"69,669","47,466","22,203"
32,6116 彩晶,8.86,+ 0.34,+3.99%,"32,106","10,372","21,733"
33,6282 康舒,50.40,+ 4.50,+9.80%,"30,766","9,087","21,678"
34,2317 鴻海,207.50,+ 7.50,+3.75%,"58,959","37,375","21,584"
35,2002 中鋼,20.50,+ 0.30,+1.49%,"50,312","28,986","21,326"
36,00990A主動元大AI新經濟,14.50,+ 0.58,+4.17%,"52,119","31,780","20,339"
37,009816凱基台灣TOP50,11.67,+ 0.29,+2.55%,"205,246","185,106","20,140"
38,3645 達邁,88.90,-1.50,-1.66%,"35,791","16,639","19,152"
39,2495 普安,41.10,+ 1.70,+4.31%,"33,222","14,611","18,612"
40,2484 希華,34.45,-0.45,-1.29%,"37,664","19,207","18,457"
41,0052 富邦科技,49.33,+ 1.47,+3.07%,"52,400","34,820","17,580"
42,00988A主動統一全球創新,15.67,+ 0.84,+5.66%,"93,293","76,280","17,012"
43,4956 光鋐,41.80,+ 3.80,+10.00%,"26,551","10,364","16,186"
44,6239 力成,217.50,-1.00,-0.46%,"26,374","11,008","15,366"
45,3702 大聯大,96.50,-0.10,-0.10%,"40,559","26,079","14,480"
46,00927 群益半導體收益,26.94,+ 0.45,+1.70%,"40,238","25,760","14,478"
47,2330 台積電,"2,055.00",+ 65.00,+3.27%,"46,188","31,883","14,306"
48,1605 華新,32.20,+ 0.60,+1.90%,"25,432","11,417","14,015"
49,00680L元大美債20正2,7.13,+ 0.09,+1.28%,"35,582","22,146","13,436"
50,2605 新興,36.25,-3.85,-9.60%,"19,982","6,992","12,990"
