Rank,Stock,Price,Change,ChangePercent,NetBuy
1,00403A主動統一升級50,10.56,-0.55,-4.95%,"651,992"
2,2002 中鋼,19.00,-0.05,-0.26%,"371,111"
3,00981A主動統一台股增長,29.91,-1.59,-5.05%,"269,441"
4,2610 華航,23.20,-1.00,-4.13%,"247,420"
5,2618 長榮航,43.80,-0.70,-1.57%,"236,330"
6,1301 台塑,52.20,-5.80,-10.00%,"218,500"
7,2887 台新新光金,31.90,+ 0.05,+0.16%,"166,547"
8,00992A主動群益科技創新,17.86,-0.96,-5.10%,"97,348"
9,5880 合庫金,24.70,-0.40,-1.59%,"97,134"
10,2834 臺企銀,17.75,-0.25,-1.39%,"90,995"
11,2891 中信金,70.30,-0.30,-0.42%,"88,808"
12,2801 彰銀,23.40,-0.10,-0.43%,"87,713"
13,2449 京元電子,308.00,-26.50,-7.92%,"77,729"
14,00919 群益台灣精選高息,29.56,-0.70,-2.31%,"75,619"
15,1802 台玻,66.00,-3.60,-5.17%,"63,311"
16,2303 聯電,164.00,-14.50,-8.12%,"58,496"
17,00918 大華優利高填息30,31.15,-1.33,-4.09%,"57,154"
18,3711 日月光投控,632.00,-9.00,-1.40%,"55,790"
19,2883 凱基金,29.90,-0.60,-1.97%,"46,720"
20,1326 台化,54.20,-5.30,-8.91%,"46,171"
21,2885 元大金,66.30,-0.40,-0.60%,"45,852"
22,1314 中石化,7.97,-0.07,-0.87%,"45,774"
23,2337 旺宏,162.50,+ 1.00,+0.62%,"43,791"
24,2890 永豐金,39.15,-0.80,-2.00%,"42,122"
25,00999A主動野村臺灣高息,10.62,-0.41,-3.72%,"36,666"
26,6213 聯茂,346.50,+ 7.00,+2.06%,"35,189"
27,2812 台中銀,19.80,-0.25,-1.25%,"33,893"
28,00990A主動元大AI新經濟,20.23,-0.95,-4.49%,"33,169"
29,2006 東和鋼鐵,69.80,-0.20,-0.29%,"33,054"
30,6005 群益證,37.80,-1.00,-2.58%,"32,795"
31,2867 三商壽,8.40,-0.19,-2.21%,"32,478"
32,2401 凌陽,31.65,-3.25,-9.31%,"25,151"
33,2369 菱生,40.95,-2.45,-5.65%,"22,306"
34,009805新光美國電力基建,17.05,-0.09,-0.53%,"22,236"
35,2426 鼎元,77.60,-7.50,-8.81%,"20,157"
36,2408 南亞科,449.00,-28.00,-5.87%,"19,555"
37,1303 南亞,148.00,-7.00,-4.52%,"19,516"
38,8046 南電,"1,125.00",+ 80.00,+7.66%,"18,770"
39,1714 和桐,18.55,+ 0.05,+0.27%,"18,656"
40,6919 康霈*,98.10,-1.20,-1.21%,"18,583"
41,2388 威盛,70.90,-4.90,-6.46%,"18,448"
42,2606 裕民,59.60,-2.10,-3.40%,"17,649"
43,1319 東陽,77.30,-2.30,-2.89%,"16,421"
44,2340 台亞,36.45,-2.75,-7.02%,"16,353"
45,00631L元大台灣50正2,35.26,-2.90,-7.60%,"15,829"
46,00982A主動群益台灣強棒,23.59,-1.15,-4.65%,"15,430"
47,009819中信數據及電力,10.14,-0.25,-2.41%,"14,686"
48,00940 元大台灣價值高息,12.34,-0.43,-3.37%,"14,417"
49,6505 台塑化,53.50,-2.40,-4.29%,"14,328"
50,2441 超豐,134.50,-7.00,-4.95%,"14,073"
