Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetBuy
1,3481 群創,24.55,+ 0.55,+2.29%,"451,933","742,848","-290,915"
2,2356 英業達,46.55,-1.45,-3.02%,"57,815","187,442","-129,627"
3,2409 友達,15.25,+ 0.20,+1.33%,"104,980","203,738","-98,758"
4,2324 仁寶,32.25,-1.10,-3.30%,"48,905","138,469","-89,564"
5,2489 瑞軒,24.20,+ 2.20,+10.00%,"28,686","95,842","-67,156"
6,1609 大亞,42.60,-0.35,-0.81%,"21,314","84,577","-63,263"
7,7780 大研生醫*,27.40,-1.45,-5.03%,"16,430","74,050","-57,620"
8,2408 南亞科,286.00,+ 14.50,+5.34%,"112,336","167,400","-55,064"
9,2301 光寶科,167.00,-5.00,-2.91%,"29,510","82,733","-53,223"
10,2303 聯電,69.30,+ 4.50,+6.94%,"224,232","270,177","-45,945"
11,1504 東元,87.20,-2.20,-2.46%,"28,564","70,605","-42,041"
12,2492 華新科,149.50,-4.00,-2.61%,"18,360","53,018","-34,657"
13,2481 強茂,89.00,-0.50,-0.56%,"14,524","47,504","-32,980"
14,3006 晶豪科,156.00,+ 14.00,+9.86%,"27,277","60,031","-32,754"
15,3049 精金,9.40,-0.60,-6.00%,"17,570","46,935","-29,365"
16,2367 燿華,48.50,+ 4.40,+9.98%,"145,738","174,327","-28,589"
17,1802 台玻,51.80,+ 2.00,+4.02%,"29,536","57,776","-28,240"
18,2457 飛宏,34.20,-0.85,-2.43%,"23,511","49,413","-25,902"
19,6282 康舒,58.80,-0.70,-1.18%,"62,373","86,287","-23,914"
20,8021 尖點,229.50,-3.50,-1.50%,"2,634","25,643","-23,009"
21,2328 廣宇,53.00,-0.50,-0.93%,"10,332","32,691","-22,359"
22,3149 正達,57.40,-1.90,-3.20%,"17,607","39,877","-22,269"
23,2371 大同,40.05,-0.15,-0.37%,"36,725","57,078","-20,354"
24,9105 泰金寶-DR,6.15,+ 0.01,+0.16%,"12,532","32,812","-20,281"
25,6770 力積電,60.60,+ 2.10,+3.59%,"316,572","335,348","-18,776"
26,2618 長榮航,38.50,-0.30,-0.77%,"24,558","42,466","-17,908"
27,2327 國巨*,287.00,-4.50,-1.54%,"24,894","42,464","-17,570"
28,6213 聯茂,117.50,-2.00,-1.67%,"9,477","26,323","-16,846"
29,4958 臻鼎-KY,164.50,-6.00,-3.52%,"8,266","23,899","-15,633"
30,8150 南茂,66.20,+ 0.30,+0.46%,"41,168","56,500","-15,332"
31,1717 長興,62.90,-0.90,-1.41%,"27,263","42,216","-14,952"
32,00637L元大滬深300正2,19.64,+ 0.19,+0.98%,"44,516","59,029","-14,514"
33,00632R元大台灣50反1,14.88,-0.01,-0.07%,"26,380","40,858","-14,478"
34,3543 州巧,49.00,-0.75,-1.51%,"6,095","19,705","-13,610"
35,1514 亞力,139.00,-3.50,-2.46%,"15,965","29,051","-13,086"
36,1618 合機,48.70,-1.40,-2.79%,"4,981","17,642","-12,661"
37,00995A主動中信台灣卓越,10.36,+ 0.04,+0.39%,"50,364","62,712","-12,347"
38,1529 樂事綠能,26.50,-0.60,-2.21%,"5,758","16,900","-11,142"
39,2369 菱生,28.90,+ 1.25,+4.52%,"20,319","31,062","-10,743"
40,1513 中興電,181.00,-3.00,-1.63%,"13,620","24,170","-10,550"
41,3189 景碩,208.00,-6.00,-2.80%,"21,471","31,668","-10,198"
42,6209 今國光,73.40,+ 6.60,+9.88%,"10,032","20,101","-10,070"
43,2610 華航,22.50,+ 0.15,+0.67%,"29,556","39,441","-9,885"
44,2312 金寶,27.10,-0.30,-1.09%,"40,121","49,702","-9,582"
45,3711 日月光投控,312.00,+ 4.50,+1.46%,"15,665","25,151","-9,486"
46,8104 錸寶,38.00,-1.60,-4.04%,"2,678","11,738","-9,060"
47,00988A主動統一全球創新,11.25,-0.17,-1.49%,"18,606","27,600","-8,994"
48,6155 鈞寶,57.10,-0.60,-1.04%,"3,909","12,751","-8,841"
49,1503 士電,228.00,+ 2.00,+0.88%,"7,249","15,637","-8,388"
50,6443 元晶,41.35,+ 2.25,+5.75%,"115,671","123,933","-8,261"
