Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetSell
1,00403A主動統一升級50,9.25,+ 0.78,+9.21%,"461,641","1,448,814","-987,173"
2,00685L群益臺灣加權正2,10.83,+ 1.67,+18.23%,"421,324","1,110,987","-689,662"
3,0050 元大台灣50,102.85,+ 9.35,+10.00%,"328,206","865,379","-537,173"
4,00406A主動中信台灣收益,8.59,+ 0.66,+8.32%,"131,787","531,935","-400,148"
5,009816凱基台灣TOP50,14.65,+ 1.24,+9.25%,"321,001","711,083","-390,081"
6,00631L元大台灣50正2,33.70,+ 5.32,+18.75%,"251,371","630,565","-379,193"
7,00981A主動統一台股增長,26.13,+ 2.37,+9.97%,"712,607","1,015,840","-303,233"
8,00405A主動富邦台灣龍耀,7.30,+ 0.62,+9.28%,"175,509","357,165","-181,656"
9,00991A主動復華未來50,15.41,+ 1.40,+9.99%,"695,174","863,160","-167,985"
10,0056 元大高股息,49.48,+ 3.19,+6.89%,"80,945","195,430","-114,485"
11,00407A主動凱基台灣,8.48,+ 0.66,+8.44%,"79,220","191,249","-112,028"
12,00400A主動國泰動能高息,12.94,+ 1.11,+9.38%,"97,227","195,879","-98,652"
13,00988A主動統一全球創新,16.26,+ 2.10,+14.83%,"61,822","120,022","-58,199"
14,00929 復華台灣科技優息,27.47,+ 1.47,+5.65%,"50,893","92,450","-41,556"
15,1301 台塑,55.00,+ 1.00,+1.85%,"27,666","64,592","-36,926"
16,2382 廣達,291.50,+ 12.50,+4.48%,"31,892","64,276","-32,383"
17,2337 旺宏,100.50,+ 8.70,+9.48%,"44,707","76,106","-31,399"
18,00878 國泰永續高股息,32.43,+ 1.68,+5.46%,"61,543","91,362","-29,818"
19,1314 中石化,7.57,+ 0.20,+2.71%,"33,128","61,075","-27,947"
20,00982A主動群益台灣強棒,20.39,+ 1.85,+9.98%,"75,005","102,021","-27,015"
21,1326 台化,57.40,+ 1.00,+1.77%,"32,065","58,759","-26,694"
22,2344 華邦電,130.00,+ 11.50,+9.70%,"80,684","106,755","-26,071"
23,6770 力積電,54.50,+ 4.95,+9.99%,"73,283","97,354","-24,071"
24,00984D主動聯博全球非投,10.17,+ 0.05,+0.49%,"38,721","62,759","-24,037"
25,00935 野村臺灣新科技50,52.65,+ 4.75,+9.92%,"35,262","57,846","-22,584"
26,00891 中信關鍵半導體,33.20,+ 3.01,+9.97%,"29,120","51,016","-21,895"
27,00992A主動群益科技創新,14.82,+ 1.34,+9.94%,"202,024","222,404","-20,379"
28,2408 南亞科,360.50,+ 32.50,+9.91%,"38,829","58,522","-19,693"
29,1605 華新,31.45,+ 2.85,+9.97%,"30,620","48,166","-17,545"
30,2449 京元電子,223.50,+ 20.00,+9.83%,"23,000","39,242","-16,242"
31,8112 至上,80.30,+ 4.70,+6.22%,"10,427","26,588","-16,161"
32,00919 群益台灣精選高息,29.57,+ 1.32,+4.67%,"90,017","106,034","-16,016"
33,00990A主動元大AI新經濟,15.56,+ 1.91,+13.99%,"40,990","56,505","-15,514"
34,2634 漢翔,61.90,+ 3.30,+5.63%,"15,776","30,253","-14,477"
35,00830 國泰費城半導體,84.00,+ 8.15,+10.74%,"23,265","36,572","-13,306"
36,2353 宏碁,28.85,+ 0.95,+3.41%,"42,539","54,821","-12,282"
37,00999A主動野村臺灣高息,10.16,+ 0.76,+8.09%,"34,933","46,927","-11,993"
38,1710 東聯,12.90,+ 0.20,+1.57%,"13,008","24,469","-11,460"
39,2308 台達電,"1,640.00",+ 110.00,+7.19%,"19,932","31,283","-11,351"
40,2409 友達,24.20,+ 2.00,+9.01%,"136,161","147,362","-11,201"
41,00637L元大滬深300正2,20.45,+ 0.64,+3.23%,"32,530","43,589","-11,059"
42,2327 國巨*,502.00,+ 45.50,+9.97%,"39,246","50,053","-10,807"
43,6505 台塑化,70.80,-0.80,-1.12%,"28,229","38,802","-10,573"
44,1312 國喬,11.30,+ 0.40,+3.67%,"13,102","23,314","-10,211"
45,00922 國泰台灣領袖50,39.03,+ 3.39,+9.51%,"29,568","39,737","-10,169"
46,0052 富邦科技,59.70,+ 5.40,+9.94%,"76,493","86,659","-10,165"
47,3576 聯合再生,16.30,+ 0.65,+4.15%,"7,671","16,961","-9,289"
48,00881 國泰台灣科技龍頭,50.60,+ 4.56,+9.90%,"33,442","42,571","-9,128"
49,2332 友訊,21.25,-0.35,-1.62%,"41,997","51,093","-9,096"
50,00984A主動安聯台灣高息,14.09,+ 0.82,+6.18%,"15,914","24,690","-8,776"
