Rank,Stock,Price,Change,ChangePercent,NetBuy
1,6770 力積電,73.70,+ 6.70,+10.00%,"113,974"
2,00403A主動統一升級50,10.10,+ 0.16,+1.61%,"66,042"
3,2324 仁寶,39.90,+ 3.60,+9.92%,"51,024"
4,1605 華新,40.00,+ 1.70,+4.44%,"44,292"
5,00981A主動統一台股增長,29.34,+ 0.61,+2.12%,"42,287"
6,2317 鴻海,270.00,+ 7.00,+2.66%,"29,371"
7,2356 英業達,69.00,+ 3.90,+5.99%,"25,668"
8,2002 中鋼,19.75,0.00,0.00%,"18,378"
9,1717 長興,78.60,+ 6.70,+9.32%,"16,329"
10,1402 遠東新,27.55,+ 0.25,+0.92%,"15,079"
11,2892 第一金,33.15,+ 0.45,+1.38%,"13,522"
12,00631L元大台灣50正2,35.45,+ 0.58,+1.66%,"12,401"
13,009816凱基台灣TOP50,15.26,+ 0.10,+0.66%,"12,383"
14,00400A主動國泰動能高息,14.36,+ 0.36,+2.57%,"12,067"
15,2337 旺宏,136.50,+ 4.00,+3.02%,"11,059"
16,2353 宏碁,31.75,+ 0.70,+2.25%,"10,521"
17,00407A主動凱基台灣,9.66,+ 0.11,+1.15%,"10,383"
18,3706 神達,92.40,+ 2.40,+2.67%,"9,467"
19,0050 元大台灣50,105.20,+ 0.60,+0.57%,"9,409"
20,1608 華榮,37.95,+ 1.50,+4.12%,"9,108"
21,2887 台新新光金,35.65,+ 0.10,+0.28%,"9,083"
22,2890 永豐金,39.85,+ 0.80,+2.05%,"8,870"
23,00988A主動統一全球創新,16.76,+ 0.21,+1.27%,"8,863"
24,3231 緯創,193.50,+ 2.50,+1.31%,"8,825"
25,00992A主動群益科技創新,17.29,+ 0.33,+1.95%,"8,796"
26,0056 元大高股息,52.70,+ 0.40,+0.76%,"8,298"
27,4938 和碩,91.40,+ 2.40,+2.70%,"8,260"
28,2377 微星,169.00,+ 15.00,+9.74%,"7,854"
29,1326 台化,59.60,+ 1.40,+2.41%,"7,276"
30,1718 中纖,11.20,+ 1.00,+9.80%,"7,148"
31,00405A主動富邦台灣龍耀,8.42,+ 0.27,+3.31%,"5,984"
32,2303 聯電,123.00,0.00,0.00%,"5,677"
33,2354 鴻準,63.00,+ 0.30,+0.48%,"5,606"
34,2449 京元電子,259.00,+ 13.00,+5.28%,"5,585"
35,9105 泰金寶-DR,8.33,+ 0.06,+0.73%,"5,563"
36,009821野村稀土關鍵資源,15.05,-0.02,-0.13%,"5,435"
37,2464 盟立,196.50,+ 9.00,+4.80%,"5,419"
38,1301 台塑,56.20,+ 0.60,+1.08%,"5,403"
39,1216 統一,76.30,+ 0.40,+0.53%,"5,055"
40,9933 中鼎,42.00,+ 3.35,+8.67%,"4,841"
41,00990A主動元大AI新經濟,15.90,+ 0.02,+0.13%,"4,811"
42,2891 中信金,66.60,-0.20,-0.30%,"4,780"
43,2371 大同,26.35,+ 0.40,+1.54%,"4,570"
44,2312 金寶,33.50,+ 0.65,+1.98%,"4,553"
45,4763 材料*-KY,52.60,+ 1.00,+1.94%,"4,405"
46,2376 技嘉,375.50,+ 25.00,+7.13%,"4,224"
47,00999A主動野村臺灣高息,11.19,+ 0.13,+1.18%,"4,194"
48,1513 中興電,165.50,+ 5.00,+3.12%,"4,032"
49,00991A主動復華未來50,17.79,+ 0.27,+1.54%,"3,940"
50,00712 復華富時不動產,8.91,+ 0.07,+0.79%,"3,889"
