Rank,Stock,Price,Change,ChangePercent,NetSell
1,2834 臺企銀,16.40,-0.10,-0.61%,"-117,660"
2,2303 聯電,123.00,0.00,0.00%,"-108,572"
3,2801 彰銀,23.10,-0.10,-0.43%,"-90,604"
4,2409 友達,26.10,-0.90,-3.33%,"-84,879"
5,2812 台中銀,18.50,-0.20,-1.07%,"-73,811"
6,1303 南亞,190.00,+ 5.00,+2.70%,"-71,193"
7,2886 兆豐金,49.40,-1.60,-3.14%,"-68,176"
8,2880 華南金,43.65,-0.35,-0.80%,"-66,808"
9,3481 群創,50.10,-2.20,-4.21%,"-62,002"
10,2892 第一金,32.70,-0.95,-2.82%,"-60,595"
11,1718 中纖,10.20,-0.05,-0.49%,"-55,735"
12,2382 廣達,315.50,+ 2.00,+0.64%,"-41,725"
13,2337 旺宏,132.50,-1.00,-0.75%,"-36,811"
14,2449 京元電子,246.00,-2.50,-1.01%,"-32,862"
15,6005 群益證,30.00,+ 0.45,+1.52%,"-30,236"
16,1301 台塑,55.60,0.00,0.00%,"-29,262"
17,3711 日月光投控,629.00,-1.00,-0.16%,"-28,899"
18,1326 台化,58.20,-0.60,-1.02%,"-27,542"
19,6505 台塑化,71.10,+ 2.10,+3.04%,"-26,259"
20,00878 國泰永續高股息,33.47,+ 0.07,+0.21%,"-25,512"
21,1714 和桐,16.65,0.00,0.00%,"-24,502"
22,2327 國巨*,617.00,+ 44.00,+7.68%,"-24,228"
23,00881 國泰台灣科技龍頭,53.50,+ 0.30,+0.56%,"-23,686"
24,4958 臻鼎-KY,490.00,+ 19.50,+4.14%,"-22,205"
25,6239 力成,282.50,-6.00,-2.08%,"-22,106"
26,2492 華新科,300.50,+ 27.00,+9.87%,"-21,497"
27,1314 中石化,7.70,-0.04,-0.52%,"-21,305"
28,00891 中信關鍵半導體,35.46,-0.04,-0.11%,"-21,127"
29,2481 強茂,141.50,+ 4.00,+2.91%,"-20,455"
30,009820元大納斯達克精選,10.06,-0.03,-0.30%,"-19,536"
31,6770 力積電,67.00,-0.60,-0.89%,"-18,847"
32,2332 友訊,22.60,-1.00,-4.24%,"-18,190"
33,6116 彩晶,14.20,-0.70,-4.70%,"-17,885"
34,8926 台汽電,55.80,-1.20,-2.11%,"-16,773"
35,2610 華航,20.25,-0.20,-0.98%,"-16,206"
36,3036 文曄,220.00,-9.00,-3.93%,"-14,672"
37,3090 日電貿,174.50,+ 13.50,+8.39%,"-13,409"
38,9904 寶成,24.05,-0.05,-0.21%,"-13,287"
39,2308 台達電,"1,805.00",-10.00,-0.55%,"-12,168"
40,2330 台積電,"2,395.00",+ 15.00,+0.63%,"-11,036"
41,1409 新纖,24.25,-0.50,-2.02%,"-10,769"
42,1710 東聯,14.95,+ 0.45,+3.10%,"-8,756"
43,2478 大毅,121.00,-1.00,-0.82%,"-7,448"
44,6271 同欣電,195.50,-1.50,-0.76%,"-7,408"
45,2548 華固,93.60,-0.20,-0.21%,"-7,287"
46,00953B群益優選非投等債,9.77,0.00,0.00%,"-7,268"
47,2820 華票,16.20,-0.15,-0.92%,"-7,225"
48,2633 台灣高鐵,25.70,-0.20,-0.77%,"-6,435"
49,2489 瑞軒,32.75,-0.65,-1.95%,"-5,930"
50,3048 益登,58.80,+ 1.50,+2.62%,"-5,798"
