Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetSell
1,00407A主動凱基台灣,9.95,+ 0.07,+0.71%,"139,718","860,715","-720,996"
2,00631L元大台灣50正2,38.16,+ 0.08,+0.21%,"204,085","553,390","-349,304"
3,009821野村稀土關鍵資源,14.61,-0.42,-2.79%,"73,648","377,008","-303,359"
4,009816凱基台灣TOP50,15.59,+ 0.03,+0.19%,"162,196","453,034","-290,838"
5,00991A主動復華未來50,20.70,+ 0.31,+1.52%,"95,189","321,161","-225,972"
6,0050 元大台灣50,107.20,+ 0.05,+0.05%,"115,965","283,007","-167,041"
7,00405A主動富邦台灣龍耀,9.43,+ 0.01,+0.11%,"94,187","243,221","-149,034"
8,3481 群創,70.90,+ 1.50,+2.16%,"437,457","579,830","-142,373"
9,00988A主動統一全球創新,23.07,+ 0.54,+2.40%,"72,403","189,960","-117,557"
10,00400A主動國泰動能高息,15.00,+ 0.08,+0.54%,"68,307","183,507","-115,200"
11,6116 彩晶,19.50,+ 0.10,+0.52%,"56,484","168,022","-111,538"
12,2317 鴻海,257.50,+ 1.50,+0.59%,"54,380","130,773","-76,392"
13,2409 友達,30.40,-0.10,-0.33%,"359,954","420,865","-60,911"
14,00712 復華富時不動產,8.60,0.00,0.00%,"49,323","109,781","-60,457"
15,00997A主動群益美國增長,14.53,+ 0.37,+2.61%,"37,831","93,868","-56,036"
16,2324 仁寶,36.85,-1.05,-2.77%,"59,548","104,283","-44,735"
17,2344 華邦電,219.50,+ 14.50,+7.07%,"261,871","305,680","-43,809"
18,00665L富邦恒生國企正2,7.61,-0.37,-4.64%,"35,791","78,306","-42,515"
19,3231 緯創,160.00,+ 2.50,+1.59%,"65,290","102,208","-36,917"
20,00406A主動中信台灣收益,10.28,+ 0.07,+0.69%,"43,634","78,607","-34,973"
21,9904 寶成,25.95,0.00,0.00%,"46,828","81,078","-34,249"
22,2313 華通,233.00,-7.00,-2.92%,"14,039","47,194","-33,154"
23,00984D主動聯博全球非投,10.14,+ 0.03,+0.30%,"30,129","62,517","-32,388"
24,2312 金寶,36.40,-1.60,-4.21%,"46,253","78,159","-31,905"
25,00882 中信中國高股息,14.95,-0.06,-0.40%,"21,513","51,816","-30,302"
26,3576 聯合再生,17.25,-0.55,-3.09%,"15,040","45,197","-30,157"
27,00753L中信中國50正2,8.30,-0.25,-2.92%,"30,376","60,112","-29,736"
28,00990A主動元大AI新經濟,21.18,+ 0.67,+3.27%,"78,331","105,412","-27,080"
29,2603 長榮,185.00,-1.50,-0.80%,"23,072","50,094","-27,021"
30,00632R元大台灣50反1,10.04,0.00,0.00%,"208,616","234,405","-25,788"
31,1409 新纖,27.05,-0.90,-3.22%,"32,175","57,506","-25,331"
32,1319 東陽,79.60,+ 0.10,+0.13%,"20,936","45,999","-25,062"
33,00927 群益半導體收益,42.36,+ 0.21,+0.50%,"27,224","51,449","-24,224"
34,2330 台積電,"2,390.00",0.00,0.00%,"56,142","80,244","-24,101"
35,4958 臻鼎-KY,602.00,+ 15.00,+2.56%,"38,936","62,118","-23,182"
36,00947 台新臺灣IC設計,40.93,+ 0.23,+0.57%,"15,661","36,390","-20,728"
37,2332 友訊,18.10,-0.35,-1.90%,"28,962","48,988","-20,026"
38,2105 正新,29.60,+ 0.35,+1.20%,"36,146","55,885","-19,739"
39,6239 力成,326.00,-12.00,-3.55%,"21,944","40,996","-19,051"
40,9105 泰金寶-DR,9.62,-0.38,-3.80%,"55,720","74,177","-18,457"
41,6005 群益證,38.80,+ 0.25,+0.65%,"29,047","47,220","-18,173"
42,3042 晶技,187.00,-3.50,-1.84%,"17,283","35,191","-17,907"
43,2885 元大金,66.70,+ 0.60,+0.91%,"87,410","103,809","-16,398"
44,2308 台達電,"1,980.00",-20.00,-1.00%,"13,516","29,646","-16,129"
45,6282 康舒,58.70,-3.30,-5.32%,"28,517","44,563","-16,046"
46,3673 TPK-KY,81.90,-1.70,-2.03%,"9,262","24,703","-15,440"
47,2353 宏碁,33.80,-0.40,-1.17%,"34,560","48,370","-13,809"
48,00984A主動安聯台灣高息,16.86,+ 0.11,+0.66%,"14,152","27,374","-13,221"
49,1605 華新,37.70,-0.45,-1.18%,"67,769","80,853","-13,084"
50,00685L群益臺灣加權正2,305.05,+ 0.85,+0.28%,"5,838","18,580","-12,741"
