名次,股票名稱,收盤價,漲跌,漲跌幅,5日買進張數,5日賣出張數,5日買賣超張數
1,00715L期街口布蘭特正2,10.43,-0.09,-0.86%,"190,342","84,145","106,197"
2,00712 復華富時不動產,9.28,0.03,0.32%,"132,224","56,070","76,154"
3,1303 南亞,64.40,3.30,5.40%,"144,215","84,287","59,928"
4,00878 國泰永續高股息,21.01,0.15,0.72%,"94,203","35,461","58,741"
5,3481 群創,14.00,0.40,2.94%,"134,015","75,800","58,214"
6,1802 台玻,37.10,1.85,5.25%,"117,596","72,932","44,664"
7,2303 聯電,47.20,0.70,1.51%,"96,263","54,074","42,188"
8,3037 欣興,196.00,-1.00,-0.51%,"67,346","32,885","34,461"
9,00891 中信關鍵半導體,19.23,0.04,0.21%,"52,000","21,947","30,053"
10,00940 元大台灣價值高息,9.25,0.00,0.00%,"47,289","22,664","24,625"
11,00900 富邦特選高股息30,13.25,-0.03,-0.23%,"54,266","29,789","24,477"
12,2867 三商壽,7.32,0.05,0.69%,"79,435","55,654","23,781"
13,2884 玉山金,30.85,0.30,0.98%,"76,892","53,646","23,245"
14,2889 國票金,17.15,0.15,0.88%,"40,120","18,406","21,713"
15,1301 台塑,43.45,1.55,3.70%,"39,751","19,562","20,189"
16,2880 華南金,30.20,0.75,2.55%,"43,862","24,738","19,124"
17,0056 元大高股息,36.11,0.11,0.31%,"55,557","37,631","17,926"
18,2890 永豐金,27.50,0.60,2.23%,"59,160","42,018","17,142"
19,8039 台虹,81.00,-1.60,-1.94%,"42,766","26,296","16,469"
20,00637L元大滬深300正2,19.96,0.07,0.35%,"51,764","35,417","16,346"
21,3231 緯創,143.00,2.00,1.42%,"59,461","43,203","16,258"
22,2883 凱基金,15.85,0.20,1.28%,"68,191","52,506","15,684"
23,2885 元大金,36.55,0.80,2.24%,"62,571","46,981","15,590"
24,2027 大成鋼,38.45,0.05,0.13%,"49,853","34,377","15,476"
25,2882 國泰金,66.60,1.80,2.78%,"80,050","64,931","15,118"
26,9904 寶成,31.00,-0.10,-0.32%,"30,906","15,859","15,047"
27,2834 臺企銀,15.90,0.10,0.63%,"36,077","21,191","14,885"
28,2454 聯發科,"1,415.00",-30.00,-2.08%,"31,725","17,450","14,275"
29,2891 中信金,44.10,0.70,1.61%,"87,180","73,797","13,382"
30,2605 新興,28.20,0.85,3.11%,"24,786","12,022","12,764"
31,00680L元大美債20正2,7.48,-0.08,-1.06%,"104,961","93,218","11,742"
32,2002 中鋼,18.85,0.25,1.34%,"41,477","29,811","11,665"
33,00929 復華台灣科技優息,17.63,0.02,0.11%,"25,365","15,515","9,849"
34,1304 台聚,12.25,1.10,9.87%,"19,591","9,894","9,697"
35,00919 群益台灣精選高息,21.61,0.16,0.75%,"70,434","60,765","9,669"
36,2316 楠梓電,109.50,-11.50,-9.50%,"30,373","20,751","9,622"
37,2449 京元電子,226.50,9.00,4.14%,"48,372","39,461","8,911"
38,1326 台化,35.45,1.80,5.35%,"25,591","16,832","8,759"
39,6153 嘉聯益,15.90,-0.25,-1.55%,"13,673","5,129","8,543"
40,2313 華通,85.20,2.50,3.02%,"23,368","15,404","7,964"
41,2382 廣達,288.50,1.50,0.52%,"27,062","19,105","7,956"
42,9933 中鼎,34.35,1.15,3.46%,"17,390","9,638","7,752"
43,00941 中信上游半導體,16.80,0.14,0.84%,"14,618","6,999","7,619"
44,1314 中石化,8.32,0.16,1.96%,"32,912","25,430","7,482"
45,3535 晶彩科,89.80,-1.80,-1.97%,"13,599","6,674","6,925"
46,2801 彰銀,20.45,0.25,1.24%,"42,601","35,906","6,695"
47,2881 富邦金,92.10,0.30,0.33%,"86,036","79,456","6,580"
48,2408 南亞科,149.50,0.00,0.00%,"72,768","66,330","6,437"
49,2886 兆豐金,40.20,-0.10,-0.25%,"46,002","39,673","6,328"
50,00713 元大台灣高息低波,50.30,0.15,0.30%,"12,824","6,705","6,118"
