Rank,Stock,Price,Change,ChangePercent,NetSell
1,2344 華邦電,183.00,-5.00,-2.66%,"-57,990"
2,2887 台新新光金,42.40,-0.40,-0.93%,"-32,416"
3,2883 凱基金,36.75,-0.55,-1.47%,"-21,917"
4,2884 玉山金,44.25,-1.30,-2.85%,"-20,077"
5,2801 彰銀,26.85,-0.40,-1.47%,"-12,910"
6,2812 台中銀,19.15,-0.25,-1.29%,"-11,758"
7,2891 中信金,66.60,-1.60,-2.35%,"-11,360"
8,8112 至上,86.50,-3.00,-3.35%,"-9,362"
9,6949 沛爾生醫*-創,54.90,-5.50,-9.11%,"-6,626"
10,00712 復華富時不動產,8.60,-0.07,-0.81%,"-6,111"
11,9904 寶成,24.55,-0.15,-0.61%,"-5,706"
12,3033 威健,41.85,-1.45,-3.35%,"-4,930"
13,009816凱基台灣TOP50,16.11,-0.01,-0.06%,"-4,799"
14,2408 南亞科,523.00,-8.00,-1.51%,"-4,399"
15,00919 群益台灣精選高息,32.58,-0.13,-0.40%,"-3,932"
16,1303 南亞,236.50,+ 1.50,+0.64%,"-3,926"
17,5871 中租-KY,112.00,-3.00,-2.61%,"-3,432"
18,2327 國巨*,565.00,-2.00,-0.35%,"-3,386"
19,2882 國泰金,110.50,-3.00,-2.64%,"-3,185"
20,00953B群益優選非投等債,9.50,-0.01,-0.11%,"-3,098"
21,2492 華新科,319.50,+ 1.00,+0.31%,"-2,712"
22,2481 強茂,152.00,-0.50,-0.33%,"-2,696"
23,2330 台積電,"2,465.00",-5.00,-0.20%,"-2,559"
24,1717 長興,72.30,0.00,0.00%,"-2,410"
25,1528 恩德,20.25,-0.80,-3.80%,"-2,381"
26,4763 材料*-KY,48.30,-0.85,-1.73%,"-2,245"
27,2027 大成鋼,48.60,-0.75,-1.52%,"-2,132"
28,4958 臻鼎-KY,502.00,-3.00,-0.59%,"-2,080"
29,2855 統一證,52.10,-0.10,-0.19%,"-2,045"
30,6005 群益證,32.20,-0.45,-1.38%,"-2,043"
31,2376 技嘉,349.50,-7.50,-2.10%,"-1,955"
32,3714 富采,63.70,-1.20,-1.85%,"-1,942"
33,2881 富邦金,147.00,-2.00,-1.34%,"-1,856"
34,8131 福懋科,63.50,+ 1.60,+2.58%,"-1,731"
35,6226 光鼎,29.65,+ 0.05,+0.17%,"-1,716"
36,009820元大納斯達克精選,9.86,-0.05,-0.50%,"-1,514"
37,6446 藥華藥,"1,345.00",-60.00,-4.27%,"-1,342"
38,1722 台肥,44.20,-0.35,-0.79%,"-1,315"
39,2489 瑞軒,39.45,+ 0.30,+0.77%,"-1,308"
40,3706 神達,81.80,+ 1.50,+1.87%,"-1,273"
41,3026 禾伸堂,758.00,+ 11.00,+1.47%,"-1,265"
42,2464 盟立,197.50,+ 3.00,+1.54%,"-1,221"
43,2009 第一銅,40.50,-0.10,-0.25%,"-1,183"
44,0052 富邦科技,63.75,+ 0.15,+0.24%,"-1,177"
45,2610 華航,20.45,-0.15,-0.73%,"-1,155"
46,2368 金像電,"1,100.00",+ 25.00,+2.33%,"-1,101"
47,3605 宏致,129.50,+ 5.50,+4.44%,"-1,101"
48,1476 儒鴻,295.50,-4.50,-1.50%,"-1,013"
49,3406 玉晶光,"1,110.00",+ 100.00,+9.90%,-994
50,3016 嘉晶,100.00,-1.50,-1.48%,-926
