Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetBuy
1,00712 復華富時不動產,8.84,+ 0.06,+0.68%,"439,272","190,785","248,486"
2,00918 大華優利高填息30,32.58,+ 0.08,+0.25%,"231,591","102,749","128,842"
3,2887 台新新光金,34.95,+ 0.80,+2.34%,"692,561","577,417","115,144"
4,2892 第一金,34.80,+ 0.50,+1.46%,"502,027","405,557","96,469"
5,2884 玉山金,36.40,+ 0.45,+1.25%,"493,974","399,449","94,524"
6,5880 合庫金,25.95,+ 0.30,+1.17%,"200,295","106,634","93,660"
7,00940 元大台灣價值高息,12.16,-0.04,-0.33%,"182,111","89,367","92,744"
8,6505 台塑化,77.90,-7.90,-9.21%,"225,031","138,219","86,811"
9,3231 緯創,177.00,-2.00,-1.12%,"359,152","276,392","82,760"
10,2883 凱基金,30.70,+ 0.05,+0.16%,"512,830","431,235","81,595"
11,2618 長榮航,41.95,+ 1.25,+3.07%,"544,799","469,723","75,075"
12,5876 上海商銀,47.00,+ 0.85,+1.84%,"166,949","108,692","58,256"
13,2880 華南金,41.40,+ 0.70,+1.72%,"258,485","200,658","57,827"
14,00665L富邦恒生國企正2,9.31,+ 0.18,+1.97%,"222,927","165,687","57,239"
15,2886 兆豐金,49.40,+ 0.95,+1.96%,"418,378","361,444","56,933"
16,2002 中鋼,19.25,+ 0.10,+0.52%,"318,125","261,245","56,879"
17,00402A主動安聯美國科技,9.59,-0.04,-0.42%,"123,421","66,675","56,745"
18,2801 彰銀,24.70,+ 0.35,+1.44%,"364,926","308,520","56,406"
19,2867 三商壽,9.31,+ 0.03,+0.32%,"205,266","149,265","56,001"
20,00999A主動野村臺灣高息,10.33,+ 0.05,+0.49%,"145,241","91,019","54,221"
21,009820元大納斯達克精選,9.83,-0.04,-0.41%,"143,744","92,385","51,359"
22,2324 仁寶,37.15,-0.05,-0.13%,"275,911","225,202","50,709"
23,00953B群益優選非投等債,9.82,+ 0.03,+0.31%,"377,369","326,795","50,573"
24,2377 微星,146.50,0.00,0.00%,"111,667","63,721","47,946"
25,2603 長榮,203.50,-2.50,-1.21%,"120,485","79,286","41,199"
26,2027 大成鋼,44.55,+ 1.00,+2.30%,"167,532","126,743","40,788"
27,2615 萬海,84.00,-3.00,-3.45%,"90,274","50,821","39,452"
28,3576 聯合再生,17.85,-0.45,-2.46%,"144,385","107,381","37,003"
29,2105 正新,30.80,-0.45,-1.44%,"134,451","99,484","34,967"
30,00713 元大台灣高息低波,61.20,+ 0.20,+0.33%,"77,918","43,041","34,876"
31,1301 台塑,61.70,-1.00,-1.59%,"303,457","269,953","33,504"
32,2812 台中銀,20.75,+ 0.30,+1.47%,"183,181","151,685","31,496"
33,1216 統一,77.10,-0.30,-0.39%,"217,047","186,472","30,574"
34,00900 富邦特選高股息30,18.36,+ 0.03,+0.16%,"66,225","35,754","30,470"
35,2609 陽明,51.10,-0.40,-0.78%,"146,110","117,777","28,333"
36,4938 和碩,87.40,-1.00,-1.13%,"120,827","94,217","26,610"
37,2845 遠東銀,13.40,+ 0.05,+0.37%,"118,253","91,842","26,411"
38,00753L中信中國50正2,9.30,+ 0.12,+1.31%,"144,298","119,631","24,666"
39,2890 永豐金,39.60,+ 1.05,+2.72%,"496,551","472,198","24,352"
40,3706 神達,91.20,-0.10,-0.11%,"98,156","75,974","22,182"
41,1314 中石化,8.04,-0.23,-2.78%,"426,405","406,448","19,957"
42,00632R元大台灣50反1,10.56,-0.01,-0.09%,"898,370","879,064","19,306"
43,8039 台虹,216.00,-24.00,-10.00%,"100,290","81,068","19,222"
44,2301 光寶科,212.00,-2.50,-1.17%,"102,489","83,306","19,183"
45,1709 和益,25.95,-0.30,-1.14%,"45,982","28,145","17,837"
46,00983A主動中信ARK創新,11.33,-0.03,-0.26%,"39,214","22,772","16,442"
47,009819中信數據及電力,10.05,+ 0.01,+0.10%,"72,413","57,099","15,314"
48,009805台新美國電力基建,16.40,-0.04,-0.24%,"66,595","51,583","15,011"
49,9105 泰金寶-DR,8.39,-0.05,-0.59%,"118,666","104,081","14,585"
50,3605 宏致,91.00,0.00,0.00%,"48,471","34,289","14,181"
