Rank,Stock,Price,Change,ChangePercent,NetSell
1,2324 仁寶,39.05,-1.00,-2.50%,"-80,239"
2,3231 緯創,186.50,-10.50,-5.33%,"-56,678"
3,2353 宏碁,31.05,-1.25,-3.87%,"-30,533"
4,2356 英業達,64.00,-2.10,-3.18%,"-29,432"
5,00919 群益台灣精選高息,32.71,-0.20,-0.61%,"-27,591"
6,2303 聯電,137.00,-6.00,-4.20%,"-25,310"
7,2887 台新新光金,42.80,+ 1.70,+4.14%,"-20,615"
8,2313 華通,231.00,-9.00,-3.75%,"-17,703"
9,2426 鼎元,97.50,-1.60,-1.61%,"-16,993"
10,2317 鴻海,251.50,-4.50,-1.76%,"-15,899"
11,2481 強茂,152.50,-5.50,-3.48%,"-15,242"
12,2382 廣達,328.00,-19.50,-5.61%,"-14,214"
13,4938 和碩,91.70,-1.90,-2.03%,"-12,946"
14,2301 光寶科,291.00,-8.00,-2.68%,"-12,657"
15,2801 彰銀,27.25,+ 0.75,+2.83%,"-11,294"
16,1717 長興,72.30,-1.20,-1.63%,"-10,864"
17,1101 台泥,24.30,0.00,0.00%,"-10,259"
18,009816凱基台灣TOP50,16.12,-0.05,-0.31%,"-10,116"
19,3706 神達,91.30,-1.30,-1.40%,"-8,592"
20,2377 微星,152.50,-6.00,-3.79%,"-8,542"
21,00685L群益臺灣加權正2,12.35,-0.17,-1.36%,"-8,462"
22,2312 金寶,31.30,-1.00,-3.10%,"-8,392"
23,00712 復華富時不動產,8.67,-0.02,-0.23%,"-8,255"
24,2891 中信金,68.20,+ 0.80,+1.19%,"-8,172"
25,00929 復華台灣科技優息,28.89,-0.49,-1.67%,"-7,843"
26,00918 大華優利高填息30,35.44,-0.34,-0.95%,"-7,819"
27,2634 漢翔,65.90,-0.40,-0.60%,"-7,210"
28,8039 台虹,294.50,-32.50,-9.94%,"-6,835"
29,2464 盟立,194.50,-8.50,-4.19%,"-6,501"
30,00878 國泰永續高股息,34.07,-0.32,-0.93%,"-5,806"
31,2027 大成鋼,49.35,+ 0.25,+0.51%,"-5,121"
32,00961 FT臺灣永續高息,13.44,-0.11,-0.81%,"-5,047"
33,2357 華碩,968.00,-31.00,-3.10%,"-4,810"
34,1312 國喬,13.90,-0.20,-1.42%,"-4,795"
35,2388 威盛,76.10,-1.60,-2.06%,"-4,684"
36,2103 台橡,25.75,-1.65,-6.02%,"-4,502"
37,2354 鴻準,64.50,-1.20,-1.83%,"-4,387"
38,3189 景碩,800.00,-13.00,-1.60%,"-4,277"
39,2542 興富發,47.70,-0.30,-0.63%,"-4,210"
40,8112 至上,89.50,-0.90,-1.00%,"-4,014"
41,3090 日電貿,167.50,-4.00,-2.33%,"-3,937"
42,009828中信台日韓PCB,9.63,-0.09,-0.93%,"-3,849"
43,009829大華韓國KOSPI50,11.18,+ 0.21,+1.91%,"-3,711"
44,3022 威強電,86.40,-5.10,-5.57%,"-3,491"
45,6257 矽格,209.00,-4.00,-1.88%,"-3,454"
46,2884 玉山金,45.55,+ 2.00,+4.59%,"-3,411"
47,6213 聯茂,510.00,-3.00,-0.58%,"-3,409"
48,2882 國泰金,113.50,-1.00,-0.87%,"-3,395"
49,00992A主動群益科技創新,18.05,-0.36,-1.96%,"-3,297"
50,2352 佳世達,28.65,-0.35,-1.21%,"-3,186"
