Rank,Stock,Price,Change,ChangePercent,NetBuy
1,2881 富邦金,97.20,+ 2.00,+2.10%,"74,415"
2,2887 台新新光金,23.60,+ 0.15,+0.64%,"67,214"
3,2317 鴻海,245.00,-3.50,-1.41%,"65,699"
4,2882 國泰金,77.80,+ 1.00,+1.30%,"57,499"
5,009820元大納斯達克精選,10.06,0.00,0.00%,"53,390"
6,2891 中信金,55.40,+ 0.60,+1.09%,"50,071"
7,2890 永豐金,30.10,+ 0.10,+0.33%,"42,698"
8,2027 大成鋼,40.00,+ 0.60,+1.52%,"40,662"
9,2886 兆豐金,40.65,+ 1.10,+2.78%,"29,358"
10,3045 台灣大,116.50,+ 2.50,+2.19%,"22,457"
11,3481 群創,37.45,-1.25,-3.23%,"19,545"
12,00400A主動國泰動能高息,12.70,-0.35,-2.68%,"18,748"
13,2409 友達,19.15,-0.10,-0.52%,"18,081"
14,00953B群益優選非投等債,9.58,+ 0.01,+0.10%,"17,155"
15,2412 中華電,142.50,+ 5.50,+4.01%,"17,040"
16,2880 華南金,32.20,+ 0.35,+1.10%,"16,770"
17,5876 上海商銀,40.55,+ 0.75,+1.88%,"16,537"
18,2356 英業達,51.70,-0.20,-0.39%,"16,448"
19,3576 聯合再生,19.25,+ 1.75,+10.00%,"15,104"
20,2615 萬海,80.40,+ 3.50,+4.55%,"15,055"
21,00997A主動群益美國增長,11.70,-0.49,-4.02%,"14,036"
22,2867 三商壽,7.75,+ 0.06,+0.78%,"13,323"
23,2885 元大金,54.70,+ 0.40,+0.74%,"11,992"
24,1216 統一,74.80,+ 0.10,+0.13%,"11,256"
25,2312 金寶,27.75,-0.70,-2.46%,"10,257"
26,6285 啟碁,292.00,+ 6.00,+2.10%,"9,894"
27,2355 敬鵬,63.40,+ 5.70,+9.88%,"9,470"
28,3090 日電貿,162.50,+ 14.50,+9.80%,"8,776"
29,2606 裕民,63.50,+ 0.10,+0.16%,"7,972"
30,2542 興富發,43.70,-0.90,-2.02%,"7,308"
31,2884 玉山金,32.00,+ 0.30,+0.95%,"6,928"
32,00985B群益ESG投等債0-5,10.18,0.00,0.00%,"6,886"
33,009805新光美國電力基建,16.30,-0.63,-3.72%,"6,291"
34,3048 益登,56.10,-1.20,-2.09%,"6,231"
35,6239 力成,227.00,-23.00,-9.20%,"5,956"
36,6770 力積電,58.50,-3.50,-5.65%,"5,946"
37,2313 華通,256.00,-3.00,-1.16%,"5,694"
38,00922 國泰台灣領袖50,35.04,-0.60,-1.68%,"5,618"
39,3704 合勤控,38.10,-0.50,-1.30%,"5,180"
40,2492 華新科,220.00,+ 2.50,+1.15%,"5,020"
41,8028 昇陽半導體,262.00,-16.50,-5.92%,"4,640"
42,3376 新日興,204.50,-1.00,-0.49%,"4,491"
43,3042 晶技,148.00,+ 1.00,+0.68%,"4,482"
44,3702 大聯大,108.50,-2.00,-1.81%,"4,281"
45,9914 美利達,68.50,+ 0.10,+0.15%,"4,202"
46,2851 中再保,35.00,+ 0.45,+1.30%,"4,147"
47,4904 遠傳,98.00,+ 1.20,+1.24%,"4,085"
48,2379 瑞昱,555.00,-5.00,-0.89%,"4,056"
49,2489 瑞軒,41.50,+ 1.75,+4.40%,"4,039"
50,1582 信錦,117.00,+ 10.50,+9.86%,"3,931"
