Rank,Stock,Price,Change,ChangePercent,NetBuy
1,00403A主動統一升級50,10.70,-0.12,-1.11%,"442,307"
2,00878 國泰永續高股息,32.49,+ 0.50,+1.56%,"277,469"
3,6770 力積電,85.90,-1.10,-1.26%,"263,451"
4,2324 仁寶,44.35,+ 4.00,+9.91%,"239,452"
5,2317 鴻海,301.50,+ 8.00,+2.73%,"225,179"
6,3231 緯創,191.00,+ 17.00,+9.77%,"202,852"
7,2881 富邦金,113.50,+ 3.00,+2.71%,"201,503"
8,2882 國泰金,89.20,+ 1.00,+1.13%,"192,028"
9,2344 華邦電,184.50,+ 16.50,+9.82%,"174,716"
10,00992A主動群益科技創新,18.14,-0.43,-2.32%,"166,426"
11,1303 南亞,112.50,+ 5.00,+4.65%,"159,242"
12,2303 聯電,141.50,-4.50,-3.08%,"156,138"
13,2408 南亞科,419.50,+ 38.00,+9.96%,"136,139"
14,2337 旺宏,175.50,+ 8.00,+4.78%,"126,817"
15,0056 元大高股息,52.80,+ 0.90,+1.73%,"121,220"
16,00982A主動群益台灣強棒,23.83,-0.52,-2.14%,"109,743"
17,00999A主動野村臺灣高息,11.20,+ 0.04,+0.36%,"109,693"
18,00891 中信關鍵半導體,36.41,-0.01,-0.03%,"102,781"
19,2353 宏碁,42.55,+ 3.85,+9.95%,"100,590"
20,2609 陽明,53.60,-1.30,-2.37%,"87,406"
21,2885 元大金,59.60,+ 0.40,+0.68%,"77,160"
22,2027 大成鋼,43.65,+ 0.45,+1.04%,"68,545"
23,2312 金寶,41.30,+ 0.70,+1.72%,"68,351"
24,1605 華新,40.45,+ 0.75,+1.89%,"66,747"
25,2891 中信金,64.10,+ 2.00,+3.22%,"65,021"
26,6282 康舒,63.00,-2.80,-4.26%,"54,691"
27,2449 京元電子,306.50,-11.50,-3.62%,"52,225"
28,1802 台玻,71.00,-3.80,-5.08%,"47,403"
29,00929 復華台灣科技優息,30.94,+ 0.14,+0.45%,"45,581"
30,3706 神達,95.20,+ 1.70,+1.82%,"44,352"
31,1326 台化,54.40,+ 0.60,+1.12%,"44,023"
32,00400A主動國泰動能高息,14.76,-0.19,-1.27%,"43,957"
33,00900 富邦特選高股息30,19.92,+ 0.34,+1.74%,"43,363"
34,00919 群益台灣精選高息,30.30,+ 0.30,+1.00%,"35,785"
35,1717 長興,78.70,-2.80,-3.44%,"34,485"
36,6005 群益證,41.25,+ 1.65,+4.17%,"33,695"
37,00940 元大台灣價值高息,12.49,+ 0.22,+1.79%,"33,046"
38,00980A主動野村臺灣優選,24.70,-0.20,-0.80%,"31,369"
39,1402 遠東新,26.25,+ 1.20,+4.79%,"28,419"
40,2369 菱生,36.65,-3.05,-7.68%,"26,072"
41,9105 泰金寶-DR,10.50,+ 0.82,+8.47%,"22,317"
42,00993A主動安聯台灣,13.63,-0.23,-1.66%,"20,833"
43,2349 錸德,14.70,+ 0.40,+2.80%,"20,586"
44,2646 星宇航空,20.90,+ 0.20,+0.97%,"20,104"
45,2610 華航,19.50,-0.05,-0.26%,"19,793"
46,6116 彩晶,20.65,+ 1.85,+9.84%,"19,444"
47,2492 華新科,456.00,+ 40.00,+9.62%,"18,416"
48,009820元大納斯達克精選,10.84,+ 0.15,+1.40%,"18,384"
49,3037 欣興,975.00,-75.00,-7.14%,"18,199"
50,3062 建漢,31.40,+ 0.30,+0.96%,"18,111"
