Rank,Stock,Price,Change,ChangePercent,NetBuy
1,2002 中鋼,19.65,+ 0.60,+3.15%,"76,103"
2,2408 南亞科,502.00,+ 45.00,+9.85%,"32,657"
3,1605 華新,38.00,+ 3.45,+9.99%,"31,167"
4,0056 元大高股息,52.45,+ 1.40,+2.74%,"27,634"
5,3231 緯創,193.00,+ 9.50,+5.18%,"26,840"
6,1216 統一,75.50,-0.20,-0.26%,"25,333"
7,2618 長榮航,42.65,-1.75,-3.94%,"21,644"
8,2887 台新新光金,35.90,+ 0.75,+2.13%,"20,909"
9,1402 遠東新,27.25,-0.25,-0.91%,"20,268"
10,00988A主動統一全球創新,16.67,+ 0.28,+1.71%,"19,238"
11,2409 友達,27.00,+ 2.45,+9.98%,"17,719"
12,2354 鴻準,63.10,+ 1.30,+2.10%,"14,337"
13,8112 至上,92.40,+ 1.20,+1.32%,"12,402"
14,2609 陽明,51.60,+ 1.10,+2.18%,"12,285"
15,2603 長榮,214.00,+ 6.50,+3.13%,"11,484"
16,2615 萬海,87.50,+ 2.60,+3.06%,"11,030"
17,6213 聯茂,427.50,+ 38.50,+9.90%,"10,301"
18,009821野村稀土關鍵資源,14.91,+ 0.57,+3.97%,"9,787"
19,00990A主動元大AI新經濟,16.03,+ 0.35,+2.23%,"9,757"
20,2014 中鴻,17.95,+ 0.30,+1.70%,"9,565"
21,2885 元大金,68.20,+ 0.50,+0.74%,"9,327"
22,2356 英業達,66.00,+ 2.00,+3.13%,"8,673"
23,00999A主動野村臺灣高息,11.03,+ 0.20,+1.85%,"7,946"
24,2891 中信金,66.50,+ 0.90,+1.37%,"7,813"
25,2353 宏碁,31.00,+ 0.75,+2.48%,"7,611"
26,2867 三商壽,9.70,-0.11,-1.12%,"7,373"
27,2882 國泰金,101.00,+ 1.60,+1.61%,"7,217"
28,1101 台泥,24.55,+ 0.20,+0.82%,"7,153"
29,009819中信數據及電力,10.41,+ 0.10,+0.97%,"6,601"
30,2103 台橡,27.50,+ 2.50,+10.00%,"6,465"
31,1904 正隆,24.20,+ 1.40,+6.14%,"5,928"
32,2436 偉詮電,67.40,+ 5.80,+9.42%,"5,841"
33,00898 國泰基因免疫革命,10.12,+ 0.44,+4.55%,"5,807"
34,00631L元大台灣50正2,34.70,+ 1.02,+3.03%,"5,637"
35,3006 晶豪科,275.50,+ 19.00,+7.41%,"5,605"
36,2027 大成鋼,47.30,+ 0.70,+1.50%,"5,554"
37,8422 可寧衛*,26.80,+ 0.50,+1.90%,"5,325"
38,2881 富邦金,128.50,+ 1.50,+1.18%,"5,271"
39,2606 裕民,66.80,-0.70,-1.04%,"5,267"
40,1608 華榮,35.75,+ 0.80,+2.29%,"5,211"
41,2010 春源,23.40,+ 0.45,+1.96%,"5,122"
42,00830 國泰費城半導體,88.45,+ 2.10,+2.43%,"5,115"
43,1717 長興,70.00,+ 3.80,+5.74%,"5,025"
44,2301 光寶科,271.50,+ 24.50,+9.92%,"4,702"
45,9904 寶成,24.10,+ 0.20,+0.84%,"4,611"
46,2031 新光鋼,46.50,+ 1.50,+3.33%,"4,609"
47,00400A主動國泰動能高息,13.94,+ 0.20,+1.46%,"4,306"
48,9945 潤泰新,27.25,+ 0.50,+1.87%,"4,272"
49,2034 允強,20.35,+ 0.25,+1.24%,"4,257"
50,9921 巨大,101.50,+ 9.10,+9.85%,"4,208"
