Rank,Stock,Price,Change,ChangePercent,NetSell
1,00632R元大台灣50反1,9.70,0.00,0.00%,"-118,883"
2,2884 玉山金,44.25,-1.30,-2.85%,"-107,488"
3,3231 緯創,189.00,+ 2.50,+1.34%,"-63,524"
4,2317 鴻海,252.00,+ 0.50,+0.20%,"-58,200"
5,00712 復華富時不動產,8.60,-0.07,-0.81%,"-57,039"
6,00919 群益台灣精選高息,32.58,-0.13,-0.40%,"-56,900"
7,2887 台新新光金,42.40,-0.40,-0.93%,"-52,439"
8,6919 康霈*,82.40,+ 0.80,+0.98%,"-39,585"
9,2891 中信金,66.60,-1.60,-2.35%,"-39,405"
10,2327 國巨*,565.00,-2.00,-0.35%,"-36,940"
11,8112 至上,86.50,-3.00,-3.35%,"-36,350"
12,2481 強茂,152.00,-0.50,-0.33%,"-36,222"
13,2449 京元電子,270.00,+ 1.50,+0.56%,"-34,548"
14,5388 中磊,73.00,-0.50,-0.68%,"-33,470"
15,00918 大華優利高填息30,35.46,+ 0.02,+0.06%,"-32,816"
16,00685L群益臺灣加權正2,12.39,+ 0.04,+0.32%,"-31,404"
17,3036 文曄,191.50,+ 2.00,+1.06%,"-30,032"
18,3033 威健,41.85,-1.45,-3.35%,"-28,027"
19,2834 臺企銀,17.95,+ 0.25,+1.41%,"-25,382"
20,1303 南亞,236.50,+ 1.50,+0.64%,"-23,823"
21,2610 華航,20.45,-0.15,-0.73%,"-23,215"
22,1101 台泥,24.75,+ 0.45,+1.85%,"-22,712"
23,9904 寶成,24.55,-0.15,-0.61%,"-22,302"
24,009816凱基台灣TOP50,16.11,-0.01,-0.06%,"-20,451"
25,009828中信台日韓PCB,9.71,+ 0.08,+0.83%,"-19,856"
26,3702 大聯大,105.00,+ 0.50,+0.48%,"-19,794"
27,2492 華新科,319.50,+ 1.00,+0.31%,"-19,591"
28,6257 矽格,213.00,+ 4.00,+1.91%,"-17,550"
29,2645 長榮航太,174.50,+ 2.00,+1.16%,"-17,153"
30,2332 友訊,19.15,+ 0.40,+2.13%,"-16,049"
31,2368 金像電,"1,100.00",+ 25.00,+2.33%,"-15,190"
32,2105 正新,30.80,+ 0.20,+0.65%,"-15,109"
33,00830 國泰費城半導體,83.10,-0.60,-0.72%,"-14,832"
34,009820元大納斯達克精選,9.86,-0.05,-0.50%,"-14,277"
35,2352 佳世達,28.80,+ 0.15,+0.52%,"-13,783"
36,8039 台虹,289.50,-5.00,-1.70%,"-13,674"
37,4906 正文,36.60,+ 0.50,+1.39%,"-12,865"
38,2885 元大金,69.70,-0.90,-1.27%,"-12,637"
39,4958 臻鼎-KY,502.00,-3.00,-0.59%,"-12,604"
40,4763 材料*-KY,48.30,-0.85,-1.73%,"-11,903"
41,3596 智易,157.50,+ 2.00,+1.29%,"-11,844"
42,3704 合勤控,39.40,+ 0.50,+1.29%,"-11,695"
43,2486 一詮,249.50,+ 4.00,+1.63%,"-11,182"
44,3209 全科,45.50,+ 0.15,+0.33%,"-11,170"
45,3049 精金,12.50,0.00,0.00%,"-10,753"
46,8996 高力,"1,345.00",+ 120.00,+9.80%,"-10,520"
47,8033 雷虎,174.50,0.00,0.00%,"-10,446"
48,2633 台灣高鐵,26.10,0.00,0.00%,"-10,419"
49,2002 中鋼,19.25,+ 0.15,+0.79%,"-10,293"
50,1714 和桐,16.80,+ 0.55,+3.38%,"-10,200"
