Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetBuy
1,2303 聯電,123.50,+ 7.00,+6.01%,"196,623","58,538","138,085"
2,2324 仁寶,41.60,+ 2.65,+6.80%,"136,887","42,759","94,127"
3,6770 力積電,70.80,+ 2.40,+3.51%,"162,099","116,273","45,826"
4,2426 鼎元,82.60,+ 0.40,+0.49%,"63,455","28,510","34,945"
5,2489 瑞軒,36.90,+ 1.25,+3.51%,"70,238","35,364","34,874"
6,6116 彩晶,14.20,+ 0.40,+2.90%,"38,042","12,417","25,625"
7,009821野村稀土關鍵資源,15.69,+ 0.60,+3.98%,"26,199","3,703","22,495"
8,1301 台塑,57.00,-2.40,-4.04%,"41,809","20,206","21,602"
9,009816凱基台灣TOP50,15.12,-0.13,-0.85%,"67,435","46,229","21,206"
10,1303 南亞,180.00,-12.00,-6.25%,"74,410","54,269","20,142"
11,2409 友達,25.25,-0.35,-1.37%,"72,335","53,048","19,288"
12,6505 台塑化,69.90,-5.90,-7.78%,"39,343","20,466","18,877"
13,1605 華新,38.10,+ 0.80,+2.14%,"31,646","12,912","18,734"
14,2301 光寶科,287.00,+ 26.00,+9.96%,"44,389","25,886","18,504"
15,00406A主動中信台灣收益,9.36,-0.07,-0.74%,"203,403","186,618","16,785"
16,1326 台化,57.10,-3.00,-4.99%,"33,374","19,453","13,920"
17,00881 國泰台灣科技龍頭,48.46,-0.13,-0.27%,"29,784","17,948","11,836"
18,4763 材料*-KY,46.80,-2.85,-5.74%,"17,473","5,897","11,576"
19,1101 台泥,24.70,-0.15,-0.60%,"46,815","35,370","11,445"
20,6226 光鼎,23.30,+ 2.10,+9.91%,"19,067","7,638","11,429"
21,00988A主動統一全球創新,16.07,-0.32,-1.95%,"31,200","20,042","11,158"
22,3006 晶豪科,282.00,+ 25.50,+9.94%,"19,416","9,306","10,111"
23,00953B群益優選非投等債,9.66,-0.02,-0.21%,"34,488","24,565","9,922"
24,2337 旺宏,124.00,+ 1.50,+1.22%,"39,967","30,188","9,779"
25,9105 泰金寶-DR,8.42,0.00,0.00%,"20,277","10,950","9,327"
26,3605 宏致,115.50,+ 7.00,+6.45%,"14,381","5,102","9,278"
27,8112 至上,95.40,+ 1.90,+2.03%,"18,118","9,151","8,967"
28,00637L元大滬深300正2,19.67,-0.58,-2.86%,"21,286","12,350","8,936"
29,2399 映泰,47.75,+ 2.05,+4.49%,"13,957","5,191","8,766"
30,2601 益航,7.22,-0.17,-2.30%,"20,912","12,207","8,706"
31,1504 東元,71.50,-0.60,-0.83%,"16,077","7,713","8,364"
32,00753L中信中國50正2,9.39,-0.40,-4.09%,"12,194","4,752","7,442"
33,2009 第一銅,41.90,+ 2.10,+5.28%,"8,264","1,038","7,226"
34,009820元大納斯達克精選,9.73,-0.05,-0.51%,"9,540","2,349","7,191"
35,2312 金寶,31.75,+ 0.70,+2.25%,"13,287","6,551","6,736"
36,2613 中櫃,23.90,-1.00,-4.02%,"10,527","3,808","6,719"
37,2027 大成鋼,51.00,+ 0.70,+1.39%,"15,833","9,437","6,396"
38,2408 南亞科,501.00,-27.00,-5.11%,"71,724","65,354","6,370"
39,2464 盟立,187.50,+ 8.50,+4.75%,"11,959","5,601","6,358"
40,00665L富邦恒生國企正2,9.42,-0.27,-2.79%,"11,691","5,637","6,054"
41,2369 菱生,32.20,+ 1.45,+4.72%,"8,377","2,670","5,708"
42,6168 宏齊,27.15,+ 1.80,+7.10%,"7,647","1,957","5,690"
43,00403A主動統一升級50,9.87,-0.05,-0.50%,"105,563","100,145","5,418"
44,1709 和益,34.65,+ 1.35,+4.05%,"20,641","15,257","5,383"
45,00712 復華富時不動產,8.84,-0.05,-0.56%,"14,468","9,097","5,371"
46,2351 順德,200.50,+ 17.50,+9.56%,"7,898","2,541","5,357"
47,2392 正崴,44.25,+ 2.65,+6.37%,"7,795","2,546","5,249"
48,3714 富采,57.20,-0.10,-0.17%,"12,115","6,990","5,125"
49,00635U期元大S＆P黃金,48.07,+ 1.11,+2.36%,"9,620","4,619","5,002"
50,00992A主動群益科技創新,17.37,-0.14,-0.80%,"26,483","21,483","5,000"
