Rank,Stock,Price,Change,ChangePercent,NetSell
1,6770 力積電,84.60,-1.30,-1.51%,"-150,439"
2,2880 華南金,36.40,+ 2.35,+6.90%,"-143,224"
3,2618 長榮航,37.70,+ 0.45,+1.21%,"-121,916"
4,00919 群益台灣精選高息,30.78,+ 0.48,+1.58%,"-73,754"
5,2887 台新新光金,28.30,+ 2.20,+8.43%,"-51,331"
6,009820元大納斯達克精選,10.89,+ 0.05,+0.46%,"-41,864"
7,0050 元大台灣50,107.60,+ 1.90,+1.80%,"-39,804"
8,2382 廣達,417.00,+ 16.50,+4.12%,"-39,538"
9,2883 凱基金,25.70,+ 2.30,+9.83%,"-38,294"
10,2105 正新,34.55,+ 0.55,+1.62%,"-35,187"
11,2891 中信金,70.50,+ 6.40,+9.98%,"-32,773"
12,00918 大華優利高填息30,31.73,+ 0.32,+1.02%,"-32,010"
13,00991A主動復華未來50,19.99,+ 0.18,+0.91%,"-30,301"
14,1504 東元,83.00,+ 7.50,+9.93%,"-27,682"
15,2409 友達,28.75,+ 2.60,+9.94%,"-27,327"
16,8150 南茂,95.80,-2.80,-2.84%,"-25,894"
17,1802 台玻,71.80,+ 0.80,+1.13%,"-22,355"
18,1216 統一,73.30,-0.90,-1.21%,"-22,153"
19,4938 和碩,98.50,+ 0.70,+0.72%,"-21,132"
20,2603 長榮,237.00,+ 6.00,+2.60%,"-19,880"
21,2356 英業達,85.40,+ 4.80,+5.96%,"-19,865"
22,1717 長興,78.10,-0.60,-0.76%,"-19,170"
23,2347 聯強,91.10,-0.40,-0.44%,"-19,033"
24,2542 興富發,43.00,+ 0.55,+1.30%,"-18,886"
25,2801 彰銀,21.10,+ 0.50,+2.43%,"-17,633"
26,2355 敬鵬,59.30,-0.80,-1.33%,"-17,066"
27,2912 統一超,239.00,+ 6.00,+2.58%,"-16,651"
28,3673 TPK-KY,94.00,+ 2.00,+2.17%,"-16,557"
29,2886 兆豐金,41.65,-0.05,-0.12%,"-16,474"
30,00953B群益優選非投等債,9.54,0.00,0.00%,"-16,025"
31,2002 中鋼,19.40,+ 0.45,+2.37%,"-15,568"
32,3714 富采,70.00,+ 0.80,+1.16%,"-15,202"
33,5871 中租-KY,117.50,+ 3.00,+2.62%,"-13,435"
34,2369 菱生,35.50,-1.15,-3.14%,"-12,654"
35,00631L元大台灣50正2,39.22,+ 1.31,+3.46%,"-12,222"
36,2855 統一證,54.30,+ 4.85,+9.81%,"-12,016"
37,2481 強茂,159.00,+ 13.00,+8.90%,"-11,999"
38,2312 金寶,43.40,+ 2.10,+5.08%,"-11,945"
39,3048 益登,69.20,-6.00,-7.98%,"-11,543"
40,2426 鼎元,74.30,+ 2.80,+3.92%,"-11,525"
41,4927 泰鼎-KY,52.00,-0.60,-1.14%,"-10,965"
42,4904 遠傳,100.50,+ 1.00,+1.01%,"-10,844"
43,2489 瑞軒,50.10,+ 2.30,+4.81%,"-10,770"
44,2412 中華電,141.00,-1.00,-0.70%,"-10,453"
45,00935 野村臺灣新科技50,62.65,+ 0.65,+1.05%,"-10,344"
46,2313 華通,266.50,-4.00,-1.48%,"-9,755"
47,2208 台船,18.20,+ 0.25,+1.39%,"-9,664"
48,1210 大成,53.70,+ 0.90,+1.70%,"-9,663"
49,9910 豐泰,82.50,+ 3.50,+4.43%,"-9,607"
50,00988A主動統一全球創新,22.66,+ 0.96,+4.42%,"-9,226"
