Rank,Stock,Price,Change,ChangePercent,NetBuy
1,3481 群創,38.70,+ 2.60,+7.20%,"64,508"
2,2317 鴻海,248.50,0.00,0.00%,"60,842"
3,2881 富邦金,95.20,-0.90,-0.94%,"59,986"
4,009820元大納斯達克精選,10.06,-0.09,-0.89%,"47,923"
5,6770 力積電,62.00,-0.80,-1.27%,"37,782"
6,2887 台新新光金,23.45,-0.35,-1.47%,"34,804"
7,2882 國泰金,76.80,-1.10,-1.41%,"32,095"
8,2027 大成鋼,39.40,-0.45,-1.13%,"29,724"
9,00400A主動國泰動能高息,13.05,-0.15,-1.14%,"22,180"
10,00953B群益優選非投等債,9.57,+ 0.02,+0.21%,"19,443"
11,2891 中信金,54.80,0.00,0.00%,"19,387"
12,2409 友達,19.25,+ 0.20,+1.05%,"16,001"
13,2356 英業達,51.90,-0.30,-0.57%,"13,534"
14,6239 力成,250.00,+ 2.00,+0.81%,"12,835"
15,2890 永豐金,30.00,-0.20,-0.66%,"11,837"
16,00997A主動群益美國增長,12.19,-0.18,-1.46%,"11,787"
17,1216 統一,74.70,-1.00,-1.32%,"9,661"
18,3045 台灣大,114.00,-0.50,-0.44%,"9,436"
19,6285 啟碁,286.00,+ 26.00,+10.00%,"8,274"
20,2542 興富發,44.60,+ 0.85,+1.94%,"7,863"
21,2312 金寶,28.45,+ 0.60,+2.15%,"7,767"
22,2886 兆豐金,39.55,+ 0.15,+0.38%,"7,380"
23,2606 裕民,63.40,+ 0.60,+0.96%,"7,203"
24,2867 三商壽,7.69,-0.03,-0.39%,"6,811"
25,00988A主動統一全球創新,19.26,-0.26,-1.33%,"6,629"
26,00631L元大台灣50正2,30.91,-0.35,-1.12%,"6,584"
27,2615 萬海,76.90,+ 2.70,+3.64%,"6,545"
28,5876 上海商銀,39.80,-0.30,-0.75%,"5,793"
29,8028 昇陽半導體,278.50,-9.00,-3.13%,"5,279"
30,00922 國泰台灣領袖50,35.64,-0.16,-0.45%,"5,018"
31,9105 泰金寶-DR,5.70,+ 0.01,+0.18%,"4,831"
32,1582 信錦,106.50,+ 7.10,+7.14%,"4,783"
33,3576 聯合再生,17.50,+ 0.50,+2.94%,"4,448"
34,3042 晶技,147.00,+ 3.00,+2.08%,"4,420"
35,3704 合勤控,38.60,+ 0.40,+1.05%,"4,223"
36,9914 美利達,68.40,-1.70,-2.43%,"3,991"
37,3048 益登,57.30,+ 1.20,+2.14%,"3,749"
38,2489 瑞軒,39.75,-0.60,-1.49%,"3,652"
39,4916 事欣科,74.40,+ 6.70,+9.90%,"3,557"
40,3665 貿聯-KY,"2,025.00",-70.00,-3.34%,"3,362"
41,2105 正新,32.35,-0.05,-0.15%,"3,343"
42,2355 敬鵬,57.70,+ 5.20,+9.90%,"3,219"
43,3062 建漢,28.25,+ 0.80,+2.91%,"3,218"
44,2880 華南金,31.85,-0.55,-1.70%,"3,204"
45,00891 中信關鍵半導體,33.90,-0.25,-0.73%,"3,145"
46,2851 中再保,34.55,+ 1.90,+5.82%,"3,132"
47,00662 富邦NASDAQ,117.80,-1.00,-0.84%,"2,998"
48,3702 大聯大,110.50,+ 0.50,+0.45%,"2,967"
49,4960 誠美材,33.50,-0.75,-2.19%,"2,891"
50,3034 聯詠,475.50,+ 9.00,+1.93%,"2,877"
