Rank,Stock,Price,Change,ChangePercent,NetSell
1,2409 友達,34.20,-0.50,-1.44%,"-79,999"
2,6770 力積電,72.00,-1.10,-1.50%,"-42,587"
3,00406A主動中信台灣收益,10.00,+ 0.08,+0.81%,"-35,897"
4,2303 聯電,154.00,-6.00,-3.75%,"-35,153"
5,0050 元大台灣50,112.40,-0.05,-0.04%,"-31,362"
6,2317 鴻海,250.50,-5.50,-2.15%,"-23,873"
7,2408 南亞科,503.00,-12.00,-2.33%,"-19,953"
8,1709 和益,43.50,-4.80,-9.94%,"-19,296"
9,2344 華邦電,171.50,-1.00,-0.58%,"-17,824"
10,2610 華航,20.30,-0.15,-0.73%,"-14,209"
11,1101 台泥,25.25,-0.40,-1.56%,"-12,699"
12,2618 長榮航,42.00,-0.85,-1.98%,"-11,905"
13,1314 中石化,8.86,-0.15,-1.66%,"-11,482"
14,2337 旺宏,117.00,-2.00,-1.68%,"-9,083"
15,2812 台中銀,19.00,-0.15,-0.78%,"-9,019"
16,00685L群益臺灣加權正2,12.87,-0.02,-0.16%,"-8,008"
17,6116 彩晶,14.90,-0.10,-0.67%,"-7,764"
18,00927 群益半導體收益,39.77,-0.12,-0.30%,"-7,358"
19,00919 群益台灣精選高息,31.83,-0.23,-0.72%,"-7,010"
20,2324 仁寶,36.50,-0.30,-0.82%,"-6,316"
21,2342 茂矽,48.20,+ 1.85,+3.99%,"-6,141"
22,00631L元大台灣50正2,38.87,-0.12,-0.31%,"-5,521"
23,0056 元大高股息,56.65,+ 0.05,+0.09%,"-5,371"
24,4958 臻鼎-KY,475.50,+ 2.50,+0.53%,"-5,333"
25,2834 臺企銀,17.85,-0.05,-0.28%,"-5,092"
26,2891 中信金,68.50,-0.40,-0.58%,"-4,929"
27,2889 國票金,16.55,-0.25,-1.49%,"-4,870"
28,00929 復華台灣科技優息,29.18,+ 0.04,+0.14%,"-4,813"
29,2330 台積電,"2,475.00",-25.00,-1.00%,"-4,668"
30,2356 英業達,59.90,-1.10,-1.80%,"-4,408"
31,00712 復華富時不動產,7.82,-0.16,-2.01%,"-4,380"
32,6005 群益證,32.00,-0.55,-1.69%,"-4,358"
33,2002 中鋼,18.65,0.00,0.00%,"-4,157"
34,009816凱基台灣TOP50,16.57,-0.03,-0.18%,"-3,973"
35,2887 台新新光金,42.50,-0.45,-1.05%,"-3,764"
36,6257 矽格,243.00,-4.00,-1.62%,"-3,686"
37,2382 廣達,338.50,-3.00,-0.88%,"-3,654"
38,009829大華韓國KOSPI50,11.04,-0.08,-0.72%,"-3,447"
39,2882 國泰金,110.50,-1.00,-0.90%,"-3,351"
40,00405A主動富邦台灣龍耀,9.39,+ 0.03,+0.32%,"-3,160"
41,3019 亞光,135.00,0.00,0.00%,"-3,134"
42,00878 國泰永續高股息,34.88,-0.21,-0.60%,"-3,122"
43,2104 國際中橡,11.15,-0.50,-4.29%,"-3,084"
44,00407A主動凱基台灣,10.16,+ 0.04,+0.40%,"-3,082"
45,6443 元晶,28.25,+ 0.55,+1.99%,"-3,032"
46,00680L元大美債20正2,6.12,-0.22,-3.47%,"-2,985"
47,2881 富邦金,150.00,-3.00,-1.96%,"-2,939"
48,3094 聯傑,54.30,0.00,0.00%,"-2,870"
49,3042 晶技,203.00,+ 5.00,+2.53%,"-2,803"
50,2633 台灣高鐵,25.55,-0.05,-0.20%,"-2,711"
