Rank,Stock,Price,Change,ChangePercent,NetSell
1,2883 凱基金,27.40,+ 1.70,+6.61%,"-150,843"
2,2324 仁寶,42.35,-4.70,-9.99%,"-99,951"
3,2353 宏碁,39.10,-4.30,-9.91%,"-64,385"
4,3231 緯創,176.00,-18.00,-9.28%,"-43,098"
5,0050 元大台灣50,106.10,-1.50,-1.39%,"-38,480"
6,00981A主動統一台股增長,31.36,-0.45,-1.41%,"-34,987"
7,00919 群益台灣精選高息,30.52,-0.26,-0.84%,"-34,722"
8,2382 廣達,404.00,-13.00,-3.12%,"-32,713"
9,2317 鴻海,293.00,-16.00,-5.18%,"-28,178"
10,2880 華南金,37.70,+ 1.30,+3.57%,"-25,643"
11,1504 東元,87.00,+ 4.00,+4.82%,"-24,803"
12,00988A主動統一全球創新,22.09,-0.57,-2.52%,"-21,062"
13,1402 遠東新,27.55,+ 0.25,+0.92%,"-20,580"
14,00990A主動元大AI新經濟,20.70,-0.41,-1.94%,"-19,225"
15,2105 正新,34.55,0.00,0.00%,"-18,334"
16,2618 長榮航,37.90,+ 0.20,+0.53%,"-17,770"
17,1101 台泥,24.45,-0.40,-1.61%,"-17,408"
18,00631L元大台灣50正2,38.30,-0.92,-2.35%,"-17,135"
19,2855 統一證,55.50,+ 1.20,+2.21%,"-16,983"
20,1802 台玻,68.90,-2.90,-4.04%,"-16,922"
21,00918 大華優利高填息30,30.88,-0.85,-2.68%,"-15,679"
22,00999A主動野村臺灣高息,11.39,-0.03,-0.26%,"-15,581"
23,009816凱基台灣TOP50,15.48,-0.26,-1.65%,"-14,971"
24,2312 金寶,41.05,-2.35,-5.41%,"-14,687"
25,4938 和碩,97.00,-1.50,-1.52%,"-13,695"
26,009820元大納斯達克精選,10.55,-0.34,-3.12%,"-13,094"
27,2371 大同,32.05,+ 0.40,+1.26%,"-13,029"
28,2887 台新新光金,28.55,+ 0.25,+0.88%,"-12,975"
29,00400A主動國泰動能高息,14.86,-0.16,-1.07%,"-12,162"
30,2408 南亞科,395.00,-6.50,-1.62%,"-11,908"
31,2330 台積電,"2,385.00",-40.00,-1.65%,"-11,256"
32,9904 寶成,26.40,-0.10,-0.38%,"-10,362"
33,2542 興富發,43.10,+ 0.10,+0.23%,"-10,121"
34,2603 長榮,236.00,-1.00,-0.42%,"-10,045"
35,2337 旺宏,156.50,-5.50,-3.40%,"-9,623"
36,2344 華邦電,179.50,+ 2.00,+1.13%,"-9,552"
37,00878 國泰永續高股息,32.68,-0.62,-1.86%,"-9,230"
38,00403A主動統一升級50,10.59,-0.20,-1.85%,"-9,071"
39,2409 友達,29.25,+ 0.50,+1.74%,"-8,471"
40,0056 元大高股息,52.65,-1.15,-2.14%,"-8,394"
41,2347 聯強,89.90,-1.20,-1.32%,"-8,266"
42,3481 群創,55.80,-3.60,-6.06%,"-7,770"
43,3706 神達,93.90,-6.10,-6.10%,"-7,572"
44,00712 復華富時不動產,8.68,-0.08,-0.91%,"-7,571"
45,1609 大亞,43.00,+ 0.85,+2.02%,"-7,344"
46,00991A主動復華未來50,19.61,-0.38,-1.90%,"-6,968"
47,2313 華通,265.50,-1.00,-0.38%,"-6,795"
48,0052 富邦科技,62.30,-1.30,-2.04%,"-6,662"
49,2327 國巨*,743.00,-77.00,-9.39%,"-6,558"
50,00992A主動群益科技創新,18.20,-0.32,-1.73%,"-6,330"
