Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetSell
1,2409 友達,26.10,-0.90,-3.33%,"24,899","146,661","-121,762"
2,3481 群創,50.10,-2.20,-4.21%,"24,557","96,378","-71,821"
3,5880 合庫金,24.00,-0.70,-2.83%,"10,386","38,017","-27,630"
4,2610 華航,20.25,-0.20,-0.98%,"7,884","32,720","-24,835"
5,2892 第一金,32.70,-0.95,-2.82%,"33,366","55,385","-22,018"
6,00881 國泰台灣科技龍頭,53.50,+ 0.30,+0.56%,"6,000","26,420","-20,419"
7,00632R元大台灣50反1,10.16,-0.01,-0.10%,"17,577","34,056","-16,479"
8,00673R期元大S＆P原油反1,12.85,-0.66,-4.89%,"7,032","22,631","-15,598"
9,00878 國泰永續高股息,33.47,+ 0.07,+0.21%,"4,516","19,124","-14,607"
10,2834 臺企銀,16.40,-0.10,-0.61%,"9,601","23,485","-13,884"
11,00891 中信關鍵半導體,35.46,-0.04,-0.11%,"3,561","15,359","-11,797"
12,00961 FT臺灣永續高息,13.13,+ 0.01,+0.08%,"3,937","15,576","-11,638"
13,00982A主動群益台灣強棒,22.50,-0.18,-0.79%,"5,943","17,318","-11,375"
14,2344 華邦電,178.00,-1.50,-0.84%,"40,264","51,091","-10,827"
15,2337 旺宏,132.50,-1.00,-0.75%,"14,612","25,426","-10,813"
16,6116 彩晶,14.20,-0.70,-4.70%,"7,611","17,927","-10,316"
17,2884 玉山金,36.90,-0.90,-2.38%,"11,067","20,948","-9,880"
18,2332 友訊,22.60,-1.00,-4.24%,"3,178","12,842","-9,664"
19,1409 新纖,24.25,-0.50,-2.02%,"3,541","12,582","-9,040"
20,2408 南亞科,489.00,-13.00,-2.59%,"20,688","29,564","-8,875"
21,2886 兆豐金,49.40,-1.60,-3.14%,"13,335","20,597","-7,262"
22,6239 力成,282.50,-6.00,-2.08%,"3,674","10,867","-7,192"
23,00984D主動聯博全球非投,10.16,0.00,0.00%,"4,370","11,246","-6,876"
24,009826貝萊德世界股票,10.32,0.00,0.00%,"10,284","16,962","-6,677"
25,00680L元大美債20正2,6.43,-0.07,-1.08%,"7,073","12,431","-5,358"
26,2801 彰銀,23.10,-0.10,-0.43%,"6,885","11,819","-4,934"
27,2478 大毅,121.00,-1.00,-0.82%,"2,173","7,003","-4,830"
28,6005 群益證,30.00,+ 0.45,+1.52%,"2,902","7,677","-4,774"
29,2618 長榮航,41.75,-0.90,-2.11%,"9,414","13,877","-4,463"
30,00923 群益台ESG低碳50,41.93,+ 0.21,+0.50%,"2,113","6,417","-4,303"
31,1402 遠東新,27.30,+ 0.05,+0.18%,"8,179","12,464","-4,284"
32,00929 復華台灣科技優息,29.17,+ 0.01,+0.03%,"6,541","10,744","-4,202"
33,2352 佳世達,28.90,-0.70,-2.36%,"1,731","5,768","-4,036"
34,3706 神達,90.00,-2.90,-3.12%,"1,621","5,574","-3,953"
35,00406A主動中信台灣收益,9.40,+ 0.03,+0.32%,"6,143","9,966","-3,823"
36,3045 台灣大,109.50,-1.00,-0.90%,"4,739","8,477","-3,737"
37,2301 光寶科,268.50,-3.00,-1.10%,"7,293","10,783","-3,490"
38,1314 中石化,7.70,-0.04,-0.52%,"10,171","13,656","-3,484"
39,00664R國泰臺灣加權反1,1.64,0.00,0.00%,"9,440","12,730","-3,289"
40,2887 台新新光金,35.55,-0.35,-0.97%,"15,026","18,312","-3,286"
41,1102 亞泥,32.45,-0.50,-1.52%,"3,062","6,331","-3,269"
42,7855 和運租車,43.75,+ 1.75,+4.17%,"2,572","5,813","-3,241"
43,2812 台中銀,18.50,-0.20,-1.07%,"5,083","8,173","-3,090"
44,3090 日電貿,174.50,+ 13.50,+8.39%,"1,878","4,839","-2,961"
45,6282 康舒,49.85,-0.15,-0.30%,"1,219","4,082","-2,862"
46,2359 所羅門,140.50,-13.00,-8.47%,630,"3,373","-2,743"
47,2027 大成鋼,46.45,-0.85,-1.80%,"4,243","6,818","-2,574"
48,2441 超豐,124.00,-5.00,-3.88%,"2,180","4,743","-2,562"
49,3149 正達,67.50,-1.50,-2.17%,"1,233","3,709","-2,475"
50,2371 大同,25.95,-0.85,-3.17%,"2,260","4,657","-2,396"
