Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetSell
1,00406A主動中信台灣收益,9.34,+ 0.06,+0.65%,"255,322","1,083,425","-828,102"
2,00919 群益台灣精選高息,31.99,+ 0.35,+1.11%,"158,574","759,716","-601,142"
3,00918 大華優利高填息30,35.68,+ 0.25,+0.71%,"123,701","698,249","-574,548"
4,00712 復華富時不動產,8.21,-0.08,-0.97%,"127,419","580,929","-453,509"
5,009828中信台日韓PCB,9.36,+ 0.10,+1.08%,"95,883","423,395","-327,512"
6,00673R期元大S＆P原油反1,9.95,-0.04,-0.40%,"132,991","419,931","-286,940"
7,00961 FT臺灣永續高息,13.17,+ 0.03,+0.23%,"63,337","274,628","-211,291"
8,00929 復華台灣科技優息,28.84,+ 0.38,+1.34%,"62,957","271,262","-208,304"
9,00981A主動統一台股增長,28.33,+ 0.10,+0.35%,"296,263","476,206","-179,943"
10,00404A主動聯博動能50,9.46,+ 0.10,+1.07%,"46,093","151,908","-105,815"
11,00896 中信綠能及電動車,26.42,+ 0.18,+0.69%,"31,934","119,893","-87,959"
12,009803玉山市值動能50,20.63,+ 0.07,+0.34%,"29,087","102,286","-73,199"
13,00685L群益臺灣加權正2,11.73,+ 0.18,+1.56%,"489,760","556,632","-66,871"
14,009826貝萊德世界股票,9.98,0.00,0.00%,"38,268","96,955","-58,687"
15,2324 仁寶,37.35,+ 0.40,+1.08%,"142,286","198,157","-55,870"
16,009816凱基台灣TOP50,15.89,+ 0.14,+0.89%,"265,479","317,715","-52,235"
17,00400A主動國泰動能高息,14.52,+ 0.10,+0.69%,"84,249","132,032","-47,783"
18,00999A主動野村臺灣高息,10.95,+ 0.06,+0.55%,"31,513","73,024","-41,511"
19,1101 台泥,24.05,+ 0.25,+1.05%,"77,793","118,396","-40,602"
20,00962 台新AI優息動能,14.74,+ 0.08,+0.55%,"18,437","56,203","-37,766"
21,1303 南亞,224.00,+ 2.50,+1.13%,"73,690","109,441","-35,751"
22,2344 華邦電,169.00,+ 9.50,+5.96%,"233,044","267,441","-34,397"
23,00984D主動聯博全球非投,9.85,-0.01,-0.10%,"46,965","80,257","-33,292"
24,3706 神達,79.00,+ 1.40,+1.80%,"18,820","48,171","-29,351"
25,00953B群益優選非投等債,9.54,-0.02,-0.21%,"125,083","153,634","-28,550"
26,00991A主動復華未來50,17.11,+ 0.24,+1.42%,"141,278","169,683","-28,405"
27,00992A主動群益科技創新,17.52,+ 0.21,+1.21%,"76,078","103,558","-27,479"
28,2301 光寶科,277.00,+ 3.00,+1.09%,"35,852","62,045","-26,193"
29,2002 中鋼,18.65,0.00,0.00%,"83,535","109,685","-26,149"
30,2408 南亞科,492.50,+ 27.00,+5.80%,"91,632","117,111","-25,479"
31,2313 華通,225.00,+ 6.50,+2.97%,"35,986","60,942","-24,955"
32,3231 緯創,183.00,+ 0.50,+0.27%,"163,311","188,019","-24,708"
33,009827玉山未來全球算力,9.91,-0.03,-0.30%,"28,959","53,376","-24,416"
34,1717 長興,70.70,+ 2.60,+3.82%,"13,247","37,625","-24,377"
35,009829大華韓國KOSPI50,10.41,+ 0.05,+0.48%,"78,857","102,091","-23,234"
36,6949 沛爾生醫*-創,53.10,+ 1.70,+3.31%,"42,664","64,401","-21,737"
37,8112 至上,82.50,-0.10,-0.12%,"11,735","33,129","-21,394"
38,0050 元大台灣50,106.90,+ 0.65,+0.61%,"233,611","254,810","-21,199"
39,1409 新纖,23.95,+ 0.05,+0.21%,"43,862","63,139","-19,276"
40,00409A主動復華全球50,9.46,-0.03,-0.32%,"112,891","130,786","-17,894"
41,2356 英業達,61.70,+ 1.20,+1.98%,"49,965","67,848","-17,882"
42,6919 康霈*,81.60,+ 1.70,+2.13%,"10,557","28,061","-17,504"
43,9904 寶成,24.50,+ 0.25,+1.03%,"34,290","51,463","-17,172"
44,1301 台塑,62.40,+ 0.40,+0.65%,"64,635","81,270","-16,634"
45,00935 野村臺灣新科技50,56.35,+ 0.80,+1.44%,"41,037","55,780","-14,742"
46,1714 和桐,15.60,+ 0.45,+2.97%,"20,023","34,297","-14,274"
47,00753L中信中國50正2,8.82,-0.06,-0.68%,"35,957","50,144","-14,186"
48,2027 大成鋼,46.55,+ 1.55,+3.44%,"59,683","73,483","-13,799"
49,00985B群益ESG投等債0-5,10.11,0.00,0.00%,"32,986","46,639","-13,653"
50,00401A主動摩根台灣鑫收,13.86,+ 0.10,+0.73%,"25,082","38,506","-13,423"
