Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetBuy
1,00631L元大台灣50正2,35.44,+ 1.64,+4.85%,"252,529","732,940","-480,410"
2,0050 元大台灣50,103.50,+ 2.55,+2.53%,"246,039","524,952","-278,913"
3,00403A主動統一升級50,10.41,+ 0.28,+2.76%,"424,730","687,072","-262,342"
4,009816凱基台灣TOP50,15.16,+ 0.48,+3.27%,"131,246","374,455","-243,209"
5,00981A主動統一台股增長,31.23,+ 1.34,+4.48%,"233,150","410,034","-176,884"
6,00919 群益台灣精選高息,30.72,+ 1.24,+4.21%,"143,901","287,348","-143,448"
7,00632R元大台灣50反1,10.49,-0.28,-2.60%,"183,725","312,369","-128,644"
8,00988A主動統一全球創新,20.90,+ 0.65,+3.21%,"57,018","150,738","-93,720"
9,00918 大華優利高填息30,30.88,+ 1.27,+4.29%,"56,843","129,480","-72,637"
10,00990A主動元大AI新經濟,19.50,+ 0.60,+3.17%,"38,612","110,068","-71,456"
11,0056 元大高股息,51.25,+ 1.80,+3.64%,"58,646","126,733","-68,087"
12,2002 中鋼,18.75,+ 0.10,+0.54%,"55,158","113,184","-58,026"
13,00878 國泰永續高股息,32.31,+ 1.20,+3.86%,"85,554","142,766","-57,211"
14,00991A主動復華未來50,19.60,+ 0.91,+4.87%,"67,112","122,886","-55,774"
15,0052 富邦科技,60.15,+ 1.30,+2.21%,"20,250","72,781","-52,532"
16,1605 華新,36.50,+ 0.70,+1.96%,"45,362","93,563","-48,202"
17,6770 力積電,71.50,+ 4.00,+5.93%,"57,681","104,481","-46,800"
18,2317 鴻海,277.50,+ 8.00,+2.97%,"74,649","117,864","-43,215"
19,00953B群益優選非投等債,9.55,0.00,0.00%,"36,998","72,571","-35,573"
20,00929 復華台灣科技優息,29.43,+ 1.35,+4.81%,"35,270","66,694","-31,424"
21,1101 台泥,23.95,+ 0.10,+0.42%,"27,355","51,861","-24,505"
22,00400A主動國泰動能高息,14.63,+ 0.55,+3.91%,"39,840","63,382","-23,542"
23,00982A主動群益台灣強棒,23.48,+ 0.89,+3.94%,"31,775","54,857","-23,081"
24,6155 鈞寶,80.70,+ 3.40,+4.40%,"40,930","63,979","-23,049"
25,00940 元大台灣價值高息,12.36,+ 0.42,+3.52%,"25,058","47,224","-22,166"
26,00680L元大美債20正2,6.79,-0.01,-0.15%,"12,533","34,236","-21,704"
27,2353 宏碁,36.95,+ 1.65,+4.67%,"49,585","70,827","-21,242"
28,00830 國泰費城半導體,91.75,+ 3.85,+4.38%,"6,547","26,957","-20,410"
29,00935 野村臺灣新科技50,60.20,+ 2.70,+4.70%,"18,218","34,656","-16,438"
30,2881 富邦金,125.00,+ 9.00,+7.76%,"88,311","104,686","-16,375"
31,2885 元大金,64.80,+ 2.80,+4.52%,"31,001","47,188","-16,186"
32,00891 中信關鍵半導體,34.95,+ 1.19,+3.52%,"20,436","36,237","-15,801"
33,2618 長榮航,37.00,+ 0.60,+1.65%,"37,213","52,726","-15,513"
34,00997A主動群益美國增長,13.08,+ 0.46,+3.65%,"13,788","29,028","-15,241"
35,00881 國泰台灣科技龍頭,54.35,+ 1.95,+3.72%,"9,147","24,143","-14,996"
36,1504 東元,73.10,+ 1.50,+2.09%,"21,656","36,115","-14,459"
37,00688L國泰20年美債正2,6.77,-0.01,-0.15%,"4,187","18,573","-14,386"
38,2449 京元電子,291.00,+ 2.50,+0.87%,"23,113","37,192","-14,079"
39,2330 台積電,"2,305.00",+ 10.00,+0.44%,"38,848","52,274","-13,426"
40,00663L國泰臺灣加權正2,103.20,+ 5.55,+5.68%,"13,146","26,182","-13,035"
41,00922 國泰台灣領袖50,39.65,+ 1.18,+3.07%,"8,531","21,373","-12,842"
42,3702 大聯大,110.50,+ 2.50,+2.31%,"14,918","27,570","-12,653"
43,2382 廣達,375.00,-1.50,-0.40%,"50,921","63,428","-12,507"
44,3036 文曄,250.00,0.00,0.00%,"16,056","28,335","-12,279"
45,1717 長興,72.30,+ 1.00,+1.40%,"12,693","24,469","-11,776"
46,2337 旺宏,145.50,+ 2.00,+1.39%,"22,931","34,561","-11,630"
47,00927 群益半導體收益,38.46,+ 1.56,+4.23%,"14,170","25,661","-11,491"
48,1409 新纖,24.90,+ 0.10,+0.40%,"13,881","25,157","-11,277"
49,00646 元大S＆P500,73.70,+ 0.35,+0.48%,"3,409","12,915","-9,507"
50,00664R國泰臺灣加權反1,1.69,-0.05,-2.87%,"52,197","61,104","-8,908"
