Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetBuy
1,2892 第一金,27.75,-1.25,-4.31%,"175,497","28,480","147,017"
2,2891 中信金,57.80,+ 2.40,+4.33%,"114,703","60,743","53,961"
3,2355 敬鵬,59.10,-4.30,-6.78%,"91,114","40,845","50,269"
4,4916 事欣科,89.90,+ 8.10,+9.90%,"36,727","3,579","33,148"
5,2489 瑞軒,42.55,+ 1.05,+2.53%,"66,609","33,625","32,983"
6,2603 長榮,212.50,+ 15.50,+7.87%,"48,099","16,655","31,444"
7,2401 凌陽,26.90,+ 1.95,+7.82%,"34,828","4,948","29,880"
8,00632R元大台灣50反1,11.73,+ 0.07,+0.60%,"152,124","124,759","27,365"
9,2455 全新,400.50,+ 17.50,+4.57%,"27,557","2,381","25,177"
10,4958 臻鼎-KY,439.00,+ 30.50,+7.47%,"62,231","37,676","24,555"
11,2027 大成鋼,41.15,+ 1.15,+2.88%,"46,971","25,956","21,015"
12,8112 至上,84.00,+ 0.40,+0.48%,"37,658","17,741","19,917"
13,2388 威盛,81.70,+ 7.40,+9.96%,"25,436","6,992","18,444"
14,3673 TPK-KY,71.70,-3.70,-4.91%,"48,980","31,020","17,960"
15,3033 威健,51.40,+ 2.60,+5.33%,"44,033","26,851","17,182"
16,00664R國泰臺灣加權反1,1.89,+ 0.01,+0.53%,"33,190","16,655","16,535"
17,3036 文曄,279.00,+ 14.00,+5.28%,"23,526","9,225","14,301"
18,3042 晶技,148.00,0.00,0.00%,"21,519","7,322","14,197"
19,00738U期元大道瓊白銀,59.75,-1.70,-2.77%,"17,283","4,592","12,691"
20,1582 信錦,107.00,-10.00,-8.55%,"36,876","24,978","11,898"
21,5243 乙盛-KY,104.50,-10.00,-8.73%,"16,940","5,134","11,806"
22,00680L元大美債20正2,6.50,-0.09,-1.37%,"23,802","13,454","10,348"
23,1710 東聯,12.95,+ 1.15,+9.75%,"11,973","1,867","10,106"
24,2887 台新新光金,23.90,+ 0.30,+1.27%,"102,509","92,956","9,553"
25,6919 康霈*,101.00,-3.00,-2.88%,"14,298","5,566","8,732"
26,6133 金橋,24.35,+ 1.75,+7.74%,"11,799","3,081","8,719"
27,4919 新唐,165.00,+ 15.00,+10.00%,"27,510","19,187","8,323"
28,2449 京元電子,277.50,-11.50,-3.98%,"33,608","25,944","7,664"
29,2316 楠梓電,137.50,-1.50,-1.08%,"22,940","15,454","7,486"
30,4989 榮科,92.80,+ 4.10,+4.62%,"13,964","6,517","7,447"
31,2371 大同,28.05,-0.35,-1.23%,"20,703","13,389","7,314"
32,2618 長榮航,34.30,-0.15,-0.44%,"28,781","21,605","7,176"
33,3702 大聯大,119.00,+ 10.50,+9.68%,"16,664","10,051","6,613"
34,2472 立隆電,255.00,+ 23.00,+9.91%,"14,327","7,772","6,555"
35,1301 台塑,45.40,-0.55,-1.20%,"18,859","12,464","6,396"
36,00688L國泰20年美債正2,6.48,-0.07,-1.07%,"10,252","3,921","6,332"
37,3028 增你強,84.40,+ 2.60,+3.18%,"10,971","4,932","6,039"
38,6155 鈞寶,55.90,+ 5.00,+9.82%,"8,528","2,799","5,730"
39,8261 富鼎,149.00,+ 13.50,+9.96%,"11,264","5,924","5,340"
40,3694 海華,71.20,+ 6.40,+9.88%,"12,437","7,109","5,328"
41,00999A主動野村臺灣高息,9.99,-0.04,-0.40%,"54,021","48,747","5,274"
42,6742 澤米,56.10,+ 3.90,+7.47%,"11,289","6,094","5,194"
43,2484 希華,44.30,+ 4.00,+9.93%,"23,422","18,307","5,115"
44,2495 普安,37.50,+ 1.75,+4.90%,"7,636","2,576","5,060"
45,00635U期元大S＆P黃金,46.86,-0.69,-1.45%,"7,133","2,164","4,969"
46,2408 南亞科,275.00,+ 0.50,+0.18%,"123,868","118,907","4,961"
47,6962 奕力-KY,38.10,+ 2.15,+5.98%,"7,139","2,330","4,808"
48,2609 陽明,50.30,+ 0.80,+1.62%,"23,984","19,202","4,782"
49,3504 揚明光,82.30,+ 4.10,+5.24%,"10,778","5,997","4,780"
50,2880 華南金,32.05,-0.15,-0.47%,"31,590","26,823","4,767"
